opening_id	warehouse_code	item_code	qty	valuation_rate	posting_date	note
OPEN-CENTER-SAFE-000005	WH-CENTER	SAFE-000005	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-MAT-CEM-000004	WH-CENTER	MAT-CEM-000004	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-PIPE-000097	WH-CENTER	PIPE-000097	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-PIPE-000468	WH-CENTER	PIPE-000468	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-ELEC-000004	WH-CENTER	ELEC-000004	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-ELEC-000177	WH-CENTER	ELEC-000177	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-FAST-000025	WH-CENTER	FAST-000025	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-CENTER-METAL-000043	WH-CENTER	METAL-000043	0	0	2026-07-01	库存初始化口径：当前无期初库存；按品类推测保留零库存占位，参考价见供应商策略。
OPEN-HL-13-SAFE-000005	WH-HL-13	SAFE-000005	0	0	2026-07-01	库存初始化口径：当前无期初库存；合流1.3标在建项目零库存占位。
OPEN-HL-13-MAT-CEM-000004	WH-HL-13	MAT-CEM-000004	0	0	2026-07-01	库存初始化口径：当前无期初库存；合流1.3标在建项目零库存占位。
OPEN-HL-13-PIPE-000097	WH-HL-13	PIPE-000097	0	0	2026-07-01	库存初始化口径：当前无期初库存；合流1.3标在建项目零库存占位。
OPEN-HL-13-ELEC-000004	WH-HL-13	ELEC-000004	0	0	2026-07-01	库存初始化口径：当前无期初库存；合流1.3标在建项目零库存占位。
OPEN-WCL-BASE-SAFE-000005	WH-WCL-BASE	SAFE-000005	0	0	2026-07-01	库存初始化口径：当前无期初库存；蕰川路基地零库存占位。
OPEN-WCL-BASE-MAT-CEM-000004	WH-WCL-BASE	MAT-CEM-000004	0	0	2026-07-01	库存初始化口径：当前无期初库存；蕰川路基地零库存占位。
OPEN-WCL-BASE-PIPE-000097	WH-WCL-BASE	PIPE-000097	0	0	2026-07-01	库存初始化口径：当前无期初库存；蕰川路基地零库存占位。
OPEN-WCL-BASE-ELEC-000004	WH-WCL-BASE	ELEC-000004	0	0	2026-07-01	库存初始化口径：当前无期初库存；蕰川路基地零库存占位。
