source_item_code	source_item_name	source_required_specs	source_item_group	source_stock_uom	source_aliases	decision	canonical_item_code	canonical_item_name	canonical_required_specs	canonical_item_group	canonical_stock_uom	canonical_aliases	reason
SAFE-000001	帆布手套	类型：双重/双层帆布	劳保耗材/手套	双	双重帆布手套	keep_update	SAFE-000001	帆布手套	材质：帆布；结构：双层	劳保用品/手套	双	双重帆布手套；双层帆布手套；帆布双层手套	作为双层帆布手套标准 SKU 保留。
SAFE-000005	帆布手套	材质：帆布；特征：加厚、双层	劳保耗材/手套	双	加厚双层帆布手套	keep_update	SAFE-000005	帆布手套	材质：帆布；结构：双层；特征：加厚	劳保用品/手套	双	加厚双层帆布手套；帆布加厚双层手套；加厚双层布手套；布加厚双层手套	作为加厚双层帆布手套标准 SKU 保留。
SAFE-000006	乳胶手套	材质：乳胶；特征：加厚	劳保耗材/手套	双	加厚乳胶手套	keep_update	SAFE-000006	乳胶手套	材质：乳胶；特征：加厚	劳保用品/手套	双	加厚乳胶手套	材质明确，保留。
SAFE-000007	牛筋手套	材质/类型：牛筋；特征：加厚	劳保耗材/手套	双	牛筋加厚手套	keep_update	SAFE-000007	牛筋手套	材质/俗称：牛筋；特征：加厚	劳保用品/手套	双	牛筋加厚手套；加厚牛筋手套	作为加厚牛筋手套保留。
SAFE-000016	挂胶手套	特征：厚；类型：挂胶	劳保耗材/手套	双	厚挂胶手套	keep_update	SAFE-000016	挂胶手套	工艺：挂胶；特征：厚	劳保用品/手套	双	厚挂胶手套；挂胶手套	挂胶工艺明确，保留候选。
SAFE-000020	布手套	特征：加厚、双层	劳保耗材/手套	双	加厚双层布手套	merge_to	SAFE-000005	帆布手套	材质：帆布；结构：双层；特征：加厚	劳保用品/手套	双	加厚双层帆布手套；帆布加厚双层手套；加厚双层布手套；布加厚双层手套	加厚双层布手套按常用口径并入加厚双层帆布手套。
SAFE-000022	焊工手套	用途：电焊防护	劳保耗材/手套	双	电焊手套	keep_update	SAFE-000022	焊工手套	用途：电焊防护	劳保用品/手套	双	焊工手套；电焊手套	普通焊工/电焊防护手套保留候选。
SAFE-000054	焊工手套	用途：焊工；特征：加长	劳保耗材/手套	双	加长焊工手套	keep_update	SAFE-000054	焊工手套	用途：焊工防护；特征：加长	劳保用品/手套	双	加长焊工手套；加长电焊手套	加长焊工手套与普通焊工手套区分。
SAFE-000055	全胶手套	类型：全胶	劳保耗材/手套	双	全胶手套	keep_update	SAFE-000055	全胶手套	结构：全胶	劳保用品/手套	双	全胶手套	全胶手套过于泛化但可保留待复核。
SAFE-000059	电焊手套	用途：电焊；特征：双层、加厚	劳保耗材/手套	双	双层电焊手套厚	keep_update	SAFE-000059	焊工手套	用途：电焊防护；结构：双层；特征：加厚	劳保用品/手套	双	双层电焊手套；加厚电焊手套；双层加厚电焊手套	双层加厚电焊手套单独保留。
SAFE-000062	胶手套	类型：胶手套	劳保耗材/手套	双	胶手套	keep_update	SAFE-000062	胶手套	类型：胶手套	劳保用品/手套	双	胶手套	胶手套含义泛化，保留但需追问。
SAFE-000066	帆布手套	材质：帆布；结构：双层	劳保耗材/手套	双	帆布双层手套；双层帆布手套	merge_to	SAFE-000001	帆布手套	材质：帆布；结构：双层	劳保用品/手套	双	双重帆布手套；双层帆布手套；帆布双层手套	双层帆布手套同义表达，合并。
SAFE-000070	帆布手套	材质：帆布；结构：双层；特征：加厚	劳保耗材/手套	双	加厚双层帆布手套	merge_to	SAFE-000005	帆布手套	材质：帆布；结构：双层；特征：加厚	劳保用品/手套	双	加厚双层帆布手套；帆布加厚双层手套；加厚双层布手套；布加厚双层手套	加厚双层帆布手套重复，合并。
SAFE-000085	布手套	材质：布；结构：双层；特征：加厚	劳保耗材/手套	双	布加厚双层手套	merge_to	SAFE-000005	帆布手套	材质：帆布；结构：双层；特征：加厚	劳保用品/手套	双	加厚双层帆布手套；帆布加厚双层手套；加厚双层布手套；布加厚双层手套	布加厚双层手套按常用口径并入加厚双层帆布手套。
SAFE-000091	布手套	材质：布；特征：加厚	劳保耗材/手套	双	加厚布手套	keep_update	SAFE-000091	布手套	材质：布；特征：加厚	劳保用品/手套	双	加厚布手套	加厚布手套未说明双层，暂不并入加厚双层帆布手套。
SAFE-000096	帆布手套	材质：帆布	劳保耗材/手套	付	帆布手套	keep_update	SAFE-000096	帆布手套	材质：帆布；结构：普通	劳保用品/手套	双	帆布手套；普通帆布手套	普通帆布手套保留为候选。
SAFE-000097	橡胶手套	材质：橡胶	劳保耗材/手套	付	橡胶手套	keep_update	SAFE-000097	橡胶手套	材质：橡胶	劳保用品/手套	双	橡胶手套	橡胶手套保留为候选。
SAFE-000100	牛筋手套	材质/俗称：牛筋	劳保耗材/手套	付	牛筋手套	keep_update	SAFE-000100	牛筋手套	材质/俗称：牛筋；结构：普通	劳保用品/手套	双	牛筋手套	普通牛筋手套保留，和加厚牛筋手套区分。
SAFE-000108	焊工手套	用途：焊工防护	劳保耗材/手套	付	焊工手套	merge_to	SAFE-000022	焊工手套	用途：电焊防护	劳保用品/手套	双	焊工手套；电焊手套	焊工防护手套并入普通焊工手套。
SAFE-000113	浸胶手套	类型：浸胶手套	劳保耗材/手套	付	浸胶手套	keep_update	SAFE-000113	浸胶手套	工艺：浸胶	劳保用品/手套	双	浸胶手套	浸胶工艺明确，保留但需追问材质/涂层。
SAFE-000133	帆布手套	材质：帆布	劳保用品/手套	付	帆布手套	merge_to	SAFE-000096	帆布手套	材质：帆布；结构：普通	劳保用品/手套	双	帆布手套；普通帆布手套	普通帆布手套重复，合并。
SAFE-000141	浸塑手套	工艺：浸塑	劳保用品/手套	付	浸塑手套	keep_update	SAFE-000141	浸塑手套	工艺：浸塑	劳保用品/手套	双	浸塑手套	浸塑工艺明确，保留但需追问。
SAFE-000142	橡胶手套	材质：橡胶	劳保用品/手套	付	橡胶手套	merge_to	SAFE-000097	橡胶手套	材质：橡胶	劳保用品/手套	双	橡胶手套	橡胶手套重复，合并。
