item_code	item_name	required_specs	optional_specs	item_group	stock_uom	purchase_uom	conversion_factor	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_refs	governance_note	updated_at
SAFE-000001	帆布手套	材质：帆布；结构：双层		劳保用品/手套	双			双重帆布手套；双层帆布手套；帆布双层手套	SAFE-000001 帆布手套 材质：帆布；结构：双层 劳保用品/手套 双 双重帆布手套；双层帆布手套；帆布双层手套			active	standard	auto_select_allowed	merged_source_item_codes=SAFE-000001;SAFE-000066	双层帆布手套，合并同义表达。；来源物料：SAFE-000001;SAFE-000066	2026-07-03
SAFE-000005	帆布手套	材质：帆布；结构：双层；特征：加厚		劳保用品/手套	双			加厚双层帆布手套；帆布加厚双层手套；加厚双层布手套；布加厚双层手套	SAFE-000005 帆布手套 材质：帆布；结构：双层；特征：加厚 劳保用品/手套 双 加厚双层帆布手套；帆布加厚双层手套；加厚双层布手套；布加厚双层手套			active	standard	auto_select_allowed	merged_source_item_codes=SAFE-000005;SAFE-000020;SAFE-000070;SAFE-000085	常用加厚双层帆布/布手套，归为同一采购 SKU。；来源物料：SAFE-000005;SAFE-000020;SAFE-000070;SAFE-000085	2026-07-03
SAFE-000006	乳胶手套	材质：乳胶；特征：加厚		劳保用品/手套	双			加厚乳胶手套	SAFE-000006 乳胶手套 材质：乳胶；特征：加厚 劳保用品/手套 双 加厚乳胶手套			active	standard	auto_select_allowed	merged_source_item_codes=SAFE-000006	材质明确，保留。；来源物料：SAFE-000006	2026-07-03
SAFE-000007	牛筋手套	材质/俗称：牛筋；特征：加厚		劳保用品/手套	双			牛筋加厚手套；加厚牛筋手套	SAFE-000007 牛筋手套 材质/俗称：牛筋；特征：加厚 劳保用品/手套 双 牛筋加厚手套；加厚牛筋手套			active	standard	auto_select_allowed	merged_source_item_codes=SAFE-000007	加厚牛筋手套，和普通牛筋手套区分。；来源物料：SAFE-000007	2026-07-03
SAFE-000016	挂胶手套	工艺：挂胶；特征：厚		劳保用品/手套	双			厚挂胶手套；挂胶手套	SAFE-000016 挂胶手套 工艺：挂胶；特征：厚 劳保用品/手套 双 厚挂胶手套；挂胶手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000016	挂胶和浸胶/浸塑不强行合并，先保留。；来源物料：SAFE-000016	2026-07-03
SAFE-000022	焊工手套	用途：电焊防护		劳保用品/手套	双			焊工手套；电焊手套	SAFE-000022 焊工手套 用途：电焊防护 劳保用品/手套 双 焊工手套；电焊手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000022;SAFE-000108	普通焊工/电焊手套，缺材质长度，确认后使用。；来源物料：SAFE-000022;SAFE-000108	2026-07-03
SAFE-000054	焊工手套	用途：焊工防护；特征：加长		劳保用品/手套	双			加长焊工手套；加长电焊手套	SAFE-000054 焊工手套 用途：焊工防护；特征：加长 劳保用品/手套 双 加长焊工手套；加长电焊手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000054	加长焊工手套，与普通焊工手套区分。；来源物料：SAFE-000054	2026-07-03
SAFE-000055	全胶手套	结构：全胶		劳保用品/手套	双			全胶手套	SAFE-000055 全胶手套 结构：全胶 劳保用品/手套 双 全胶手套			candidate	needs_review	clarify_specs_before_use	merged_source_item_codes=SAFE-000055	全胶材质/厚度不清，保留但采购前需确认。；来源物料：SAFE-000055	2026-07-03
SAFE-000059	焊工手套	用途：电焊防护；结构：双层；特征：加厚		劳保用品/手套	双			双层电焊手套；加厚电焊手套；双层加厚电焊手套	SAFE-000059 焊工手套 用途：电焊防护；结构：双层；特征：加厚 劳保用品/手套 双 双层电焊手套；加厚电焊手套；双层加厚电焊手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000059	双层加厚电焊手套，与普通和加长焊工手套区分。；来源物料：SAFE-000059	2026-07-03
SAFE-000062	胶手套	类型：胶手套		劳保用品/手套	双			胶手套	SAFE-000062 胶手套 类型：胶手套 劳保用品/手套 双 胶手套			candidate	needs_review	clarify_specs_before_use	merged_source_item_codes=SAFE-000062	胶手套过于泛化，不能自动并入乳胶或橡胶。；来源物料：SAFE-000062	2026-07-03
SAFE-000091	布手套	材质：布；特征：加厚		劳保用品/手套	双			加厚布手套	SAFE-000091 布手套 材质：布；特征：加厚 劳保用品/手套 双 加厚布手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000091	布手套但未说明双层，保留为加厚普通布手套候选。；来源物料：SAFE-000091	2026-07-03
SAFE-000096	帆布手套	材质：帆布；结构：普通		劳保用品/手套	双			帆布手套；普通帆布手套	SAFE-000096 帆布手套 材质：帆布；结构：普通 劳保用品/手套 双 帆布手套；普通帆布手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000096;SAFE-000133	普通帆布手套口径；原始数据缺结构，按常用品候选保留，采购前确认即可。；来源物料：SAFE-000096;SAFE-000133	2026-07-03
SAFE-000097	橡胶手套	材质：橡胶		劳保用品/手套	双			橡胶手套	SAFE-000097 橡胶手套 材质：橡胶 劳保用品/手套 双 橡胶手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000097;SAFE-000142	橡胶手套，缺厚度/长度，确认后使用。；来源物料：SAFE-000097;SAFE-000142	2026-07-03
SAFE-000100	牛筋手套	材质/俗称：牛筋；结构：普通		劳保用品/手套	双			牛筋手套	SAFE-000100 牛筋手套 材质/俗称：牛筋；结构：普通 劳保用品/手套 双 牛筋手套			candidate	usable	confirm_before_use	merged_source_item_codes=SAFE-000100	牛筋为现场俗称，普通款保留为候选。；来源物料：SAFE-000100	2026-07-03
SAFE-000113	浸胶手套	工艺：浸胶		劳保用品/手套	双			浸胶手套	SAFE-000113 浸胶手套 工艺：浸胶 劳保用品/手套 双 浸胶手套			candidate	needs_review	clarify_specs_before_use	merged_source_item_codes=SAFE-000113	浸胶手套缺材质/涂层/尺码，保留但需追问。；来源物料：SAFE-000113	2026-07-03
SAFE-000141	浸塑手套	工艺：浸塑		劳保用品/手套	双			浸塑手套	SAFE-000141 浸塑手套 工艺：浸塑 劳保用品/手套 双 浸塑手套			candidate	needs_review	clarify_specs_before_use	merged_source_item_codes=SAFE-000141	浸塑手套缺材质/防护等级，保留但需追问。；来源物料：SAFE-000141	2026-07-03
