current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
紧固件与连接件	螺丝	51	紧固件与连接件	螺丝/螺栓	合并	高	当前旧族为普通外螺纹紧固件，目标二级族已统一承接螺丝、螺栓、内六角、自攻等外螺纹件。	合并到螺丝/螺栓，第三层再按头型、驱动型式、用途和强度等级治理。	SPARE-000014 螺丝；SPARE-000015 螺丝；SPARE-000016 螺丝；SPARE-000017 螺丝
紧固件与连接件	螺丝套件	34	紧固件与连接件	螺丝/螺栓	合并	中	当前旧族核心仍是外螺纹紧固件，但成套属性可能包含螺母或垫圈；目标表暂无单独紧固件套件族。	先合并到螺丝/螺栓，保留成套属性和套件内容字段，后续数量增大再评估紧固件套件候选族。	FAST-000013 螺丝套件；FAST-000015 螺丝套件；FAST-000022 螺丝套件；FAST-000032 螺丝套件
紧固件与连接件	管卡	29	紧固件与连接件	管卡/抱箍	合并	高	当前旧族包含水管钩、重型管卡、PVC管卡、抱箍钢卡等固定管线或构件的卡箍类紧固件。	合并到管卡/抱箍，第三层区分管卡、PVC管卡、抱箍钢卡、重型管卡等。	PIPE-000013 水管钩；PIPE-000037 重型管卡；PIPE-000063 抱箍钢卡；PIPE-000072 管卡
紧固件与连接件	膨胀锚栓	27	紧固件与连接件	膨胀锚栓	保留	高	当前旧族均为膨胀锚栓或现场叫法膨胀螺丝，依靠膨胀或锚固结构固定在基材中。	保留为膨胀锚栓，第三层再区分膨胀螺栓、膨胀钩、化学锚栓等。	FAST-000001 膨胀锚栓；FAST-000002 膨胀锚栓；FAST-000004 膨胀锚栓；FAST-000008 膨胀锚栓
紧固件与连接件	螺母	18	紧固件与连接件	螺母	保留	高	当前旧族为内螺纹配套紧固件，名称和目标二级族一致，规格以M号或螺纹规格为主。	保留为螺母，第三层按六角螺母、防松螺母等商品名治理。	SPARE-000040 螺母；SPARE-000041 螺母；SPARE-000049 螺母；SPARE-000056 螺母
紧固件与连接件	垫圈	14	紧固件与连接件	垫圈/垫片	合并	高	当前旧族为紧固件配套承压、防松或局部密封垫圈，目标二级族已统一垫圈和垫片口径。	合并到垫圈/垫片，第三层按平垫、弹垫、橡胶垫片等复核用途边界。	SPARE-000023 垫圈；FAST-000003 垫圈；SPARE-000050 垫圈；FAST-000006 垫圈
紧固件与连接件	螺杆	10	紧固件与连接件	螺杆/丝杆	合并	高	当前旧族为长杆状外螺纹件，目标二级族将螺杆和丝杆统一管理。	合并到螺杆/丝杆，第三层保留长螺杆、通丝螺杆、全螺纹丝杆等名称。	SPARE-000057 螺杆；FAST-000017 螺杆；FAST-000018 螺杆；FAST-000020 螺杆
紧固件与连接件	垫圈/垫片	3	紧固件与连接件	垫圈/垫片	保留	高	当前旧族名称已与目标二级族一致，包含垫片及橡胶垫片等承压或密封垫件。	保留为垫圈/垫片，第三层治理时对法兰密封垫、非标加工垫片进行用途复核。	SPARE-000011 垫片；FAST-000078 橡胶垫片；FAST-000101 橡胶垫片
紧固件与连接件	脚手架扣件	3	紧固件与连接件	扣件/连接件	合并	高	脚手架扣件是构件连接和固定件，目标二级族扣件/连接件可以承接。	合并到扣件/连接件，第三层保留万向扣件、十字扣件、直接扣件等。	CONST-000035 万向扣件；CONST-000036 十字扣件；CONST-000037 直接扣件
紧固件与连接件	弹性销	2	紧固件与连接件	销/卡簧	合并	高	弹性销属于定位或限位类标准件，目标二级族已将销与卡簧统一。	合并到销/卡簧，第三层保留弹性销并补直径、长度、材质。	MAT-000143 弹性销；MAT-000144 弹性销
