current_top_category	current_material_family	sku_count	target_top_category	target_second_layer_family	decision	confidence	manual_judgment	next_action	examples
电动气动工具	吹尘枪	1	电动气动工具	气动工具	合并	高	吹尘枪以压缩空气为动力，属于气动工具本体，不是气动接头或气管附件。	合并到气动工具，第三层保留吹尘枪并补接口规格和工作压力。	TOOL-000240 吹尘枪 品牌：世达；类型：吹尘枪
电动气动工具	电镐	1	电动气动工具	电动工具	合并	高	电镐是电动破拆工具整机，和电镐尖凿、碳刷等耗材附件边界清楚。	合并到电动工具，第三层保留电镐，补品牌、功率、型号。	TOOL-000108 电镐 规格：15寸；特征：专业长款
电动气动工具	电钻	5	电动气动工具	电动工具	合并	高	当前族均为电钻或锂电手电钻套装，锂电、充电、套装配置是属性，不改变工具本体。	合并到电动工具，第三层保留电钻/手电钻，夹头钥匙另归工具附件。	TOOL-000007 电钻 动力：锂电池；TOOL-000026 锂电池电钻 品牌：大艺；电压：21V；动力：锂电池；TOOL-000096 充电电钻 供电：充电；TOOL-000099 锂电钻 特征：大功率；供电：锂电池
电动气动工具	电钻夹头钥匙	1	电动气动工具	工具附件	合并	高	电钻夹头钥匙是电钻夹头配套附件，不是钻头耗材，也不是电钻整机。	合并到工具附件，第三层保留夹头钥匙，补适配夹头规格。	TOOL-000289 电钻夹头钥匙 适配：电钻夹头；部件：钥匙
电动气动工具	风镐	1	电动气动工具	气动工具	合并	高	风镐以压缩空气驱动，是气动工具整机，不能并入电镐或凿具耗材。	合并到气动工具，第三层保留风镐，补品牌和工作压力。	TOOL-000067 风镐 型号：G150
电动气动工具	角磨机	4	电动气动工具	电动工具	合并	高	角磨机是电动工具本体，锂电和套装只影响供电和配置；切割片、磨片应留在工具耗材。	合并到电动工具，第三层保留角磨机，耗材另走切磨耗材。	TOOL-000027 锂电池角磨机 品牌：大艺；动力：锂电池；TOOL-000040 锂电角磨机 品牌：大艺；供电：锂电池；TOOL-000238 角磨机 品牌：东城；类型：角磨机；TOOL-000254 锂电角磨机套装 品牌：东成；供电：锂电；配置：二电一充
电动气动工具	批头	1	电动气动工具	工具附件	合并	高	十字批头是电批或螺丝刀的可换附件，套装是包装配置，不是螺丝紧固件。	合并到工具附件，第三层保留批头/批头套装，补头型、规格、件数。	TOOL-000266 十字批头套装 品牌：世达；类型：十字批头；配置：套装
电动气动工具	气动扳手	2	电动气动工具	气动工具	合并	高	气动扳手是气动驱动的拧紧工具本体，应和手动扳手、扳手套筒分开。	合并到气动工具，第三层保留气动扳手，补接口、扭矩、品牌型号。	TOOL-000195 气动扳手 规格：1寸；TOOL-000200 气动扳手 规格：大号
电动气动工具	切割机防护罩	1	电动气动工具	工具附件	合并	高	防护罩是切割机配件，属于工具附件，不是切割片耗材或切割机整机。	合并到工具附件，第三层保留防护罩，补适配切割机型号和材质。	TOOL-000206 切割机防护罩 适配设备：400切割机；部件：防护罩
电动气动工具	热风机	1	电动气动工具	电动工具	合并	高	热风机是电热式手持工具本体，按功率和温度范围区分 SKU，不应放入耗材。	合并到电动工具，第三层保留热风机。	TOOL-000140 热风机 功率：2000W
电动气动工具	热熔机	1	电动气动工具	电动工具	合并	高	热熔机是 PPR 管道施工用电动加热工具，属于电动工具本体。	合并到电动工具，第三层统一为PPR热熔机或热熔机，补适用口径和功率。	PIPE-000114 热熔机 品牌：公元；用途：PPR热熔
电动气动工具	台式砂轮机	1	电动气动工具	电动工具	合并	高	台式砂轮机是电动磨削设备本体，砂轮片才是耗材。	合并到电动工具，第三层保留台式砂轮机，补砂轮规格、电压和品牌。	TOOL-000047 台式砂轮机 功率：1.1kW；类型：台式砂轮机
电动气动工具	碳刷	3	电动气动工具	工具附件	合并	高	碳刷是电动工具或电机的易损附件，不是刷涂耗材。	合并到工具附件，第三层保留碳刷，补尺寸和适配机型。	TOOL-000189 电镐碳刷 适用设备：电镐；部件：碳刷；TOOL-000304 碳刷 规格：900#；TOOL-000305 碳刷 规格：43#
电动气动工具	钻夹头	1	电动气动工具	工具附件	合并	高	钻夹头是电钻夹持部件，属于工具附件；钻头本体应留在工具耗材。	合并到工具附件，第三层保留钻夹头，补夹持范围、接口和适配设备。	TOOL-000319 自紧钻夹头 品牌：马牌；夹持范围：0.3-16；接口：B18
电动气动工具	PPR热熔机	1	电动气动工具	电动工具	合并	高	PPR热熔机是管道热熔施工电动工具，品牌和用途是属性，不应留在管件族。	合并到电动工具，第三层与热熔机口径统一，补型号、功率、适用口径。	PIPE-000004 PPR热熔机 品牌：公元；用途：PPR热熔
工具耗材	百叶轮	1	工具耗材	切磨耗材	合并	高	百叶轮用于打磨抛光，是切磨类消耗件，不是砂纸或刷具。	合并到切磨耗材，第三层保留百叶轮，补外径、孔径、粒度。	MAT-000171 百叶轮 类型：百叶轮
工具耗材	边角刷伸缩杆	1	工具耗材	刷具附件（候选新增）	复核	中	边角刷伸缩杆是刷具配套杆件，不是刷头耗材本体；目标二级表目前没有刷具附件。	next_action: 保留候选新增刷具附件或统一到工具附件前，先确认是否只服务刷涂工具；不要并入滚筒刷本体。	TOOL-000335 边角刷伸缩杆 适配工具：边角刷；部件：伸缩杆
工具耗材	冲孔冲头	2	工具耗材	刀具耗材（候选新增）	复核	中	冲孔冲头是冲孔机用刃具或模具耗材，不属于钻头、切割片、刷具或砂纸；目标二级表缺少刀具耗材族。	next_action: 建议新增刀具耗材或明确并入刀具/刃具，第三层保留冲孔冲头并补材质、适配设备。	TOOL-000231 冲孔冲头 直径：Φ14；长度：150；TOOL-000232 冲孔冲头 直径：Φ16；长度：150
工具耗材	刀片	1	工具量具	刀具/刃具	移出	中	刀片是刃具类耗材，目标表已把刀片放在工具量具的刀具/刃具族；它不是钻切磨刷类工具耗材。	移到刀具/刃具，第三层保留刀片；若后续单独治理耗材，可再拆刀片耗材。	TOOL-000276 刀片 品牌：锐锋；类型：刀片
工具耗材	钢刷	2	工具耗材	刷涂耗材	合并	高	钢刷是表面清理和除锈刷具，和钢丝刷同类；不属于电机碳刷。	合并到刷涂耗材，第三层统一为钢丝刷或钢刷，补尺寸和柄型。	TOOL-000245 钢刷 材质：钢丝；类型：钢刷；TOOL-000251 钢刷 材质：钢丝；类型：钢刷
