item_code	current_item_name	current_required_specs	current_uom	target_top_category	target_second_layer_family	target_third_layer_name	decision	confidence	assumed_specs	manual_judgment	next_action
SPARE-000014	螺丝	规格：16*50	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000015	螺丝	规格：14*50	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000016	螺丝	规格：8*250	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000017	螺丝	规格：8*30	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000018	螺丝	规格：16*30	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000019	螺丝	规格：12*60	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000020	螺丝	规格：12*50	套	紧固件与连接件	螺丝/螺栓	普通螺栓	裸奔数据近似	low	材质：碳钢；强度等级：8.8；表面处理：镀锌	裸奔近似：仅有规格尺寸，缺头型/材质/强度；按土建常用普通螺栓近似。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000026	螺丝	规格：M10*60；类型：鱼尾	套	紧固件与连接件	螺丝/螺栓	鱼尾螺栓	三级名称修正	high	材质：碳钢；强度等级：8.8；表面处理：镀锌	特种螺栓：出现鱼尾类型，按轨道/桥梁等特种鱼尾螺栓处理。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000027	螺丝	规格：M14*70；类型：鱼尾	套	紧固件与连接件	螺丝/螺栓	鱼尾螺栓	三级名称修正	high	材质：碳钢；强度等级：8.8；表面处理：镀锌	特种螺栓：出现鱼尾类型，按轨道/桥梁等特种鱼尾螺栓处理。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
SPARE-000028	螺丝	规格：M16*90；类型：鱼尾	套	紧固件与连接件	螺丝/螺栓	鱼尾螺栓	三级名称修正	high	材质：碳钢；强度等级：8.8；表面处理：镀锌	特种螺栓：出现鱼尾类型，按轨道/桥梁等特种鱼尾螺栓处理。	后续采购前确认真实材质、强度等级、表面处理和执行标准。
