item_code	current_item_name	current_family	recommended_family	action	confidence	review_reason	missing_or_ambiguous_fields	owner_question	source_required_specs
FAST-000013	六角螺栓组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、强度等级、套件组成	材质；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M22*100；成套：是；类型：六角
FAST-000015	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M8*25；成套：是
FAST-000022	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M6*25；成套：是
FAST-000032	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M20*35；成套：是
FAST-000033	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M20*40；成套：是
FAST-000035	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M4*15；成套：是
FAST-000036	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M5*15；成套：是
FAST-000037	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M6*15；成套：是
FAST-000038	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M8*15；成套：是
FAST-000039	螺丝组件	螺丝	螺丝	keep_as_kit_review	medium	成套/组件 SKU 可能包含螺母、平垫、弹垫，不应轻易拆成普通螺丝。；缺失/不明确字段：材质、头型/驱动、强度等级、套件组成	材质；头型/驱动；强度等级；套件组成	请确认该 SKU 是否作为成套采购；套件是否包含螺母、平垫、弹垫及各自数量。	规格：M10*15；成套：是
