"top_group"	"material_family"	"sku_count"	"current_name_count"	"quality_summary"	"status"	"batch_id"	"input_file"	"output_file"
"定制加工件"	"定制管路件"	"64"	"40"	"needs_review:64"	"completed"	"batch_001"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_001.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_001_mixed_third_layer_mapping_v0_1.tsv"
"工具耗材"	"钻头"	"56"	"8"	"needs_review:22；standard:13；usable:21"	"completed"	"batch_001"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_001.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_001_mixed_third_layer_mapping_v0_1.tsv"
"液压气动"	"液压接头"	"73"	"40"	"needs_review:59；usable:14"	"completed"	"batch_001"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_001.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_001_mixed_third_layer_mapping_v0_1.tsv"
"化工胶粘涂料"	"油漆涂料"	"53"	"14"	"needs_review:43；usable:10"	"completed"	"batch_002"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_002.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_002_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"低压电器"	"52"	"33"	"needs_review:36；standard:5；usable:11"	"completed"	"batch_002"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_002.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_002_mixed_third_layer_mapping_v0_1.tsv"
"电气电料"	"开关插座"	"50"	"26"	"needs_review:32；standard:4；usable:14"	"completed"	"batch_002"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_002.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_002_mixed_third_layer_mapping_v0_1.tsv"
"工具量具"	"测量工具"	"41"	"21"	"needs_review:16；standard:5；usable:20"	"completed"	"batch_003"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_003.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_003_mixed_third_layer_mapping_v0_1.tsv"
"清洁办公后勤"	"清洁工具"	"49"	"24"	"needs_review:23；standard:13；usable:13"	"completed"	"batch_003"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_003.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_003_mixed_third_layer_mapping_v0_1.tsv"
"清洁办公后勤"	"生活后勤"	"44"	"35"	"needs_review:32；standard:2；usable:10"	"completed"	"batch_003"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_003.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_003_mixed_third_layer_mapping_v0_1.tsv"
"清洁办公后勤"	"门窗五金"	"42"	"19"	"needs_review:25；standard:9；usable:8"	"completed"	"batch_003"	"data/material_master/governance_v0_2/third_layer_work_inputs/batch_003.tsv"	"data/material_master/governance_v0_2/manual_third_layer_mapping/batch_003_mixed_third_layer_mapping_v0_1.tsv"
