priority_rank	top_group	material_family	row_count	item_name_count	generic_name_rows	dimension_in_item_name_rows	uom_count	uoms	duplicate_signature_groups	priority_score	recommended_action
1	紧固件与连接件	螺丝/螺栓	104	20	0	0	5	个；只；套；根；盒	0	124	5种库存单位
2	工具耗材	钻头	54	10	27	0	2	只；支	0	113	27条名称等于物料族；2种库存单位
3	液压气动	胶管总成	34	1	34	0	1	根	0	102	34条名称等于物料族
4	管材管件阀门	弯头	32	2	31	0	1	个	0	94	31条名称等于物料族
5	清洁办公后勤	生活后勤	36	30	0	0	11	个；双；只；台；块；套；张；把；支；条；瓶	0	86	11种库存单位
6	定制加工件	定制管路件	62	17	0	0	5	个；只；套；条；根	0	82	5种库存单位
7	管材管件阀门	直接/接头	71	9	0	0	3	个；只；套	0	81	3种库存单位
8	液压气动	液压接头	69	20	0	0	3	个；只；套	0	79	3种库存单位
9	清洁办公后勤	清洁工具	30	16	0	0	7	个；千克；台；张；把；支；条	1	68	7种库存单位；1组同名同规格疑似重复
10	管材管件阀门	阀门	60	11	0	0	2	个；只	0	65	2种库存单位
11	管材管件阀门	三通	25	4	20	0	1	个	0	65	20条名称等于物料族
12	电气电料	低压电器	48	27	0	0	4	个；只；台；套	0	63	4种库存单位
13	紧固件与连接件	膨胀锚栓	22	2	19	0	1	个	0	60	19条名称等于物料族
14	化工胶粘涂料	油漆涂料	40	9	0	0	3	千克；桶；瓶	1	58	3种库存单位；1组同名同规格疑似重复
15	化工胶粘涂料	胶粘密封	27	14	0	0	7	包；千克；卷；套；支；桶；瓶	0	57	7种库存单位
16	定制加工件	定制结构件	30	18	0	0	6	个；件；块；套；根；米	0	55	6种库存单位
17	紧固件与连接件	管卡/抱箍	29	9	0	0	6	个；只；套；条；米；组	0	54	6种库存单位
18	电气电料	电工辅材	24	16	0	0	7	个；包；千克；卷；只；根；米	0	54	7种库存单位
19	工具量具	测量工具	27	17	0	0	6	个；台；套；把；支；根	0	52	6种库存单位
20	工具量具	扳手	25	11	4	0	4	个；套；把；支	0	48	4条名称等于物料族；4种库存单位
21	电气电料	电线电缆	31	9	0	0	4	套；支；条；米	0	46	4种库存单位
22	电气电料	开关插座	35	7	0	0	3	个；只；套	0	45	3种库存单位
23	劳保防护	手套	17	2	14	0	1	双	0	45	14条名称等于物料族
24	吊装索具	钢丝绳	14	4	10	0	3	个；根；米	0	44	10条名称等于物料族；3种库存单位
25	清洁办公后勤	门窗五金	28	10	0	0	4	个；付；套；把	0	43	4种库存单位
26	工具量具	套筒	15	2	14	0	1	个	0	43	14条名称等于物料族
27	电气电料	照明光源	17	11	0	0	6	个；只；台；套；支；米	0	42	6种库存单位
28	紧固件与连接件	螺母	15	2	13	0	1	个	0	41	13条名称等于物料族
29	建筑材料	防水保温材料	11	7	0	0	7	千克；平方米；支；根；桶；米；袋	0	41	7种库存单位
30	电气电料	接线端子/线鼻子	28	7	0	0	3	个；包；只	0	38	3种库存单位
31	管材管件阀门	水龙头/洁具配件	18	10	0	0	5	个；只；台；套；条	0	38	5种库存单位
32	管材管件阀门	管材	27	5	0	0	3	套；根；米	0	37	3种库存单位
33	安全消防	安全警示	12	9	0	0	6	个；卷；套；根；片；米	0	37	6种库存单位
34	建筑材料	装饰装修材料	16	11	0	0	5	付；卷；块；平方米；米	0	36	5种库存单位
