item_code	original_item_name	proposed_item_name	original_sku_name	proposed_sku_name	original_required_specs	proposed_required_specs	original_optional_specs	proposed_optional_specs	original_stock_uom	proposed_stock_uom	original_aliases	proposed_aliases	original_brand	proposed_brand	original_model	proposed_model	duplicate_with_item_code	change_reason
TOOL-000012	冲击钻头	冲击钻头	冲击钻头 6*100	冲击钻头 Φ6×100mm	直径：6mm；长度：100mm	直径：6mm；总长：100mm			支	支	6厘冲击钻头；冲击钻头	6厘冲击钻头；冲击钻头						原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000013	冲击钻头	冲击钻头	冲击钻头 20*200	冲击钻头 Φ20×200mm	直径：20mm；长度：200mm	直径：20mm；总长：200mm			支	支	20厘冲击钻头；冲击钻头	20厘冲击钻头；冲击钻头						原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000048	钻头	硬质合金钻头	钨钢钻头 8mm	硬质合金钻头 Φ8×150mm	材质：钨钢；直径：8mm；长度：150mm	材质：硬质合金；直径：8mm；总长：150mm			支	支	钨钢钻头8厘；钨钢钻头	钨钢钻头8厘；钨钢钻头						钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000049	钻头	硬质合金钻头	钨钢钻头 10*80	硬质合金钻头 Φ10×80mm	材质：钨钢；直径：10mm；长度：80mm	材质：硬质合金；直径：10mm；总长：80mm			支	支	钨钢钻头10厘；钨钢钻头	钨钢钻头10厘；钨钢钻头						钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000050	钻头	硬质合金钻头	钨钢钻头 12*90	硬质合金钻头 Φ12×90mm	材质：钨钢；直径：12mm；长度：90mm	材质：硬质合金；直径：12mm；总长：90mm			支	支	钨钢钻头12厘；钨钢钻头	钨钢钻头12厘；钨钢钻头						钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000051	钻头	硬质合金钻头	钨钢钻头 16*100	硬质合金钻头 Φ16×100mm	材质：钨钢；直径：16mm；长度：100mm	材质：硬质合金；直径：16mm；总长：100mm			支	支	钨钢钻头16厘；钨钢钻头	钨钢钻头16厘；钨钢钻头						钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000052	钻头	硬质合金钻头	合金钻头 6*80	硬质合金钻头 Φ6×80mm	材质：合金；直径：6mm；长度：80mm	材质：硬质合金；直径：6mm；总长：80mm			支	支	合金钻头6厘；合金钻头	合金钻头6厘；合金钻头						合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000053	钻头	硬质合金钻头	合金钻头 8*100	硬质合金钻头 Φ8×100mm	材质：合金；直径：8mm；长度：100mm	材质：硬质合金；直径：8mm；总长：100mm			支	支	合金钻头8厘；合金钻头	合金钻头8厘；合金钻头						合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000054	钻头	硬质合金钻头	合金钻头 10*120	硬质合金钻头 Φ10×120mm	材质：合金；直径：10mm；长度：120mm	材质：硬质合金；直径：10mm；总长：120mm			支	支	合金钻头10厘；合金钻头	合金钻头10厘；合金钻头						合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000055	钻头	硬质合金钻头	合金钻头 12*140	硬质合金钻头 Φ12×140mm	材质：合金；直径：12mm；长度：140mm	材质：硬质合金；直径：12mm；总长：140mm			支	支	合金钻头12厘；合金钻头	合金钻头12厘；合金钻头						合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000056	钻头	硬质合金钻头	合金钻头 14*160	硬质合金钻头 Φ14×160mm	材质：合金；直径：14mm；长度：160mm	材质：硬质合金；直径：14mm；总长：160mm			支	支	合金钻头14厘；合金钻头	合金钻头14厘；合金钻头						合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000057	钻头	硬质合金钻头	合金钻头 16*180	硬质合金钻头 Φ16×180mm	材质：合金；直径：16mm；长度：180mm	材质：硬质合金；直径：16mm；总长：180mm			支	支	合金钻头16厘；合金钻头	合金钻头16厘；合金钻头						合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000063	冲击钻头	冲击钻头	冲击钻头 18*800	冲击钻头 Φ18×800mm	规格/直径: 18mm；长度: 800mm	直径：18mm；总长：800mm			支	支	方大同18*800冲击钻头；冲击钻头	方大同18*800冲击钻头；冲击钻头	方大同	方大同				原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000064	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 40*1200	SDS-Max五坑冲击钻头 Φ40×1200mm	材质：合金钢；直径：40mm；长度：1200mm	接口：SDS-Max五坑；材质：合金钢；直径：40mm；总长：1200mm			支	支	方大同40*1200五孔钻头；五坑钻头	方大同40*1200五孔钻头；五坑钻头	方大同	方大同				五坑钻头对应SDS-Max五坑接口，归入SDS-Max五坑冲击钻头。
TOOL-000066	钻头	高速钢麻花钻头	钻头 16mm 短型	高速钢麻花钻头 Φ16×100mm	材质：高速钢；直径：16mm；长度：100mm	材质：高速钢；直径：16mm；总长：100mm		类型：短型	支	支	16*100钻头；钻头	16*100钻头；钻头						原材质为高速钢且无冲击结构，归入高速钢麻花钻头，总长体现短型信息。
TOOL-000075	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 35*500	SDS-Max五坑冲击钻头 Φ35×500mm	材质：合金钢；直径：35mm；长度：500mm	接口：SDS-Max五坑；材质：合金钢；直径：35mm；总长：500mm			支	支	方大同35*500五坑钻头；五坑钻头	方大同35*500五坑钻头；五坑钻头	方大同	方大同				五坑钻头对应SDS-Max五坑接口，归入SDS-Max五坑冲击钻头。
TOOL-000076	冲击钻头	冲击钻头	冲击钻头 18*400	冲击钻头 Φ18×400mm	规格/直径: 18mm；长度: 400mm	直径：18mm；总长：400mm			支	支	方大同18x400冲击钻头；冲击钻头	方大同18x400冲击钻头；冲击钻头	方大同	方大同				原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000077	冲击钻头	冲击钻头	冲击钻头 30*400	冲击钻头 Φ30×400mm	规格/直径: 30mm；长度: 400mm	直径：30mm；总长：400mm			支	支	方大同30x400冲击钻头；冲击钻头	方大同30x400冲击钻头；冲击钻头	方大同	方大同				原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000078	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 28*800	SDS-Max五坑冲击钻头 Φ28×800mm	材质：合金钢；直径：28mm；长度：800mm	接口：SDS-Max五坑；材质：合金钢；直径：28mm；总长：800mm			支	支	28*800五孔钻头；五坑钻头	28*800五孔钻头；五坑钻头						五坑/五孔属SDS-Max五坑接口，归为统一三级名称并保留材质与尺寸。
TOOL-000080	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 14*400	SDS-Max五坑冲击钻头 Φ14×400mm	材质：合金钢；直径：14mm；长度：400mm	接口：SDS-Max五坑；材质：合金钢；直径：14mm；总长：400mm			支	支	方大同14*400五孔钻头；五坑钻头	方大同14*400五孔钻头；五坑钻头	方大同	方大同				五坑/五孔属SDS-Max五坑接口，品牌放brand，SKU用直径×长度区分。
TOOL-000081	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 14*600	SDS-Max五坑冲击钻头 Φ14×600mm	材质：合金钢；直径：14mm；长度：600mm	接口：SDS-Max五坑；材质：合金钢；直径：14mm；总长：600mm			支	支	方大同14*600五坑钻头；五坑钻头	方大同14*600五坑钻头；五坑钻头	方大同	方大同				五坑/五孔属SDS-Max五坑接口，品牌放brand，SKU用直径×长度区分。
TOOL-000082	五坑钻头	SDS-Max五坑冲击钻头	五坑钻头 16*280	SDS-Max五坑冲击钻头 Φ16×280mm	材质：合金钢；直径：16mm；长度：280mm	接口：SDS-Max五坑；材质：合金钢；直径：16mm；总长：280mm			支	支	方大同16*280五孔钻头；五坑钻头	方大同16*280五孔钻头；五坑钻头	方大同	方大同				五坑/五孔属SDS-Max五坑接口，品牌放brand，SKU用直径×长度区分。
TOOL-000087	钻头	不锈钢用钻头	不锈钢钻头 5*85	不锈钢用钻头 Φ5×85mm	用途：不锈钢；直径：5mm；长度：85mm	用途：不锈钢；直径：5mm；总长：85mm			支	支	5.0不锈钢钻头；钻头	5.0不锈钢钻头；钻头						原始资料只确认不锈钢用途，不推断高速钢材质或麻花结构；保留直径和总长。
TOOL-000121	钻头	高速钢麻花钻头	钻头 4mm	高速钢麻花钻头 Φ4×100mm	材质：高速钢；直径：4mm；长度：100mm	材质：高速钢；直径：4mm；总长：100mm			支	支	4.0钻头；钻头	4.0钻头；钻头						材质为高速钢且无冲击结构信息，归为高速钢麻花钻头。
