item_code	proposed_item_name	proposed_sku_name	proposed_required_specs	proposed_optional_specs	proposed_stock_uom	proposed_aliases	proposed_brand	proposed_model	duplicate_with_item_code	change_reason
TOOL-000012	冲击钻头	冲击钻头 Φ6×100mm	直径：6mm；总长：100mm		支	6厘冲击钻头；冲击钻头				原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000013	冲击钻头	冲击钻头 Φ20×200mm	直径：20mm；总长：200mm		支	20厘冲击钻头；冲击钻头				原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
TOOL-000048	硬质合金钻头	硬质合金钻头 Φ8×150mm	材质：硬质合金；直径：8mm；总长：150mm		支	钨钢钻头8厘；钨钢钻头				钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000049	硬质合金钻头	硬质合金钻头 Φ10×80mm	材质：硬质合金；直径：10mm；总长：80mm		支	钨钢钻头10厘；钨钢钻头				钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000050	硬质合金钻头	硬质合金钻头 Φ12×90mm	材质：硬质合金；直径：12mm；总长：90mm		支	钨钢钻头12厘；钨钢钻头				钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000051	硬质合金钻头	硬质合金钻头 Φ16×100mm	材质：硬质合金；直径：16mm；总长：100mm		支	钨钢钻头16厘；钨钢钻头				钨钢为硬质合金钻头俗称，归入硬质合金钻头并统一材质。
TOOL-000052	硬质合金钻头	硬质合金钻头 Φ6×80mm	材质：硬质合金；直径：6mm；总长：80mm		支	合金钻头6厘；合金钻头				合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000053	硬质合金钻头	硬质合金钻头 Φ8×100mm	材质：硬质合金；直径：8mm；总长：100mm		支	合金钻头8厘；合金钻头				合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000054	硬质合金钻头	硬质合金钻头 Φ10×120mm	材质：硬质合金；直径：10mm；总长：120mm		支	合金钻头10厘；合金钻头				合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000055	硬质合金钻头	硬质合金钻头 Φ12×140mm	材质：硬质合金；直径：12mm；总长：140mm		支	合金钻头12厘；合金钻头				合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000056	硬质合金钻头	硬质合金钻头 Φ14×160mm	材质：硬质合金；直径：14mm；总长：160mm		支	合金钻头14厘；合金钻头				合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000057	硬质合金钻头	硬质合金钻头 Φ16×180mm	材质：硬质合金；直径：16mm；总长：180mm		支	合金钻头16厘；合金钻头				合金为硬质合金钻头常见简称，归入硬质合金钻头并统一材质。
TOOL-000063	冲击钻头	冲击钻头 Φ18×800mm	直径：18mm；总长：800mm		支	方大同18*800冲击钻头；冲击钻头	方大同			原始资料只确认冲击结构，不推断混凝土用途；保留为通用冲击钻头。
