item_code	proposed_item_name	proposed_sku_name	proposed_required_specs	proposed_optional_specs	proposed_stock_uom	proposed_aliases	proposed_brand	proposed_model	duplicate_with_item_code	change_reason
PIPE-000318	胶管总成	胶管总成 36*2 2层 12米	规格：36*2；层数：2层；长度：12米；接头形式：两端接头		根	胶管36*2-2层-12米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000319	胶管总成	胶管总成 36*2 2层 17.7米	规格：36*2；层数：2层；长度：17.7米；接头形式：两端接头		根	胶管36*2-2层-17.7米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000320	胶管总成	胶管总成 36*2 2层 5.2米	规格：36*2；层数：2层；长度：5.2米；接头形式：两端接头		根	胶管36*2-2层-5.2米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000321	胶管总成	胶管总成 36*2 2层 7.9米	规格：36*2；层数：2层；长度：7.9米；接头形式：两端接头		根	胶管36*2-2层-7.9米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000322	胶管总成	胶管总成 36*2 2层 15.9米	规格：36*2；层数：2层；长度：15.9米；接头形式：两端接头		根	胶管36*2-2层-15.9米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000323	胶管总成	胶管总成 36*2 2层 2.3米	规格：36*2；层数：2层；长度：2.3米；接头形式：两端接头		根	胶管36*2-2层-2.3米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000324	胶管总成	胶管总成 36*2 2层 3.4米	规格：36*2；层数：2层；长度：3.4米；接头形式：两端接头		根	胶管36*2-2层-3.4米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000325	胶管总成	胶管总成 36*2 2层 3.9米	规格：36*2；层数：2层；长度：3.9米；接头形式：两端接头		根	胶管36*2-2层-3.9米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000326	胶管总成	胶管总成 36*2 2层 1.1米	规格：36*2；层数：2层；长度：1.1米；接头形式：两端接头		根	胶管36*2-2层-1.1米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000327	胶管总成	胶管总成 36*2 2层 7.5米	规格：36*2；层数：2层；长度：7.5米；接头形式：两端接头		根	胶管36*2-2层-7.5米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000328	胶管总成	胶管总成 36*2 2层 1米	规格：36*2；层数：2层；长度：1米；接头形式：两端接头		根	胶管36*2-2层-1米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000329	胶管总成	胶管总成 36*2 2层 1.3米	规格：36*2；层数：2层；长度：1.3米；接头形式：两端接头		根	胶管36*2-2层-1.3米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000330	胶管总成	胶管总成 36*2 2层 5.9米	规格：36*2；层数：2层；长度：5.9米；接头形式：两端接头		根	胶管36*2-2层-5.9米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000331	胶管总成	胶管总成 36*2 2层 3.3米	规格：36*2；层数：2层；长度：3.3米；接头形式：两端接头		根	胶管36*2-2层-3.3米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000342	胶管总成	胶管总成 36*2 2层 8.3米	规格：36*2；层数：2层；长度：8.3米；接头形式：两端接头		根	胶管36*2-2层-8.3米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
PIPE-000343	胶管总成	胶管总成 36*2 2层 4.2米	规格：36*2；层数：2层；长度：4.2米；接头形式：两端接头		根	胶管36*2-2层-4.2米；胶管总成				保留原始通径或螺纹标识，仅将长度、层数和接头形式结构化。
