item_code	original_item_name	proposed_item_name	original_sku_name	proposed_sku_name	original_required_specs	proposed_required_specs	original_optional_specs	proposed_optional_specs	original_stock_uom	proposed_stock_uom	original_aliases	proposed_aliases	original_brand	proposed_brand	original_model	proposed_model	duplicate_with_item_code	change_reason
METAL-000100	三通	三通	不锈钢三通 25mm	不锈钢三通 25mm	材质：不锈钢；规格/口径：25mm	材质：不锈钢；规格/口径：25mm			个	个	25三通不锈钢；三通	25三通不锈钢；三通						按三通族规范归为三通，保留不锈钢材质与25mm口径，未推断其他属性。
PIPE-000007	三通	三通	PPR三通 25mm	PPR三通 25mm	材质：PPR；规格/口径：25mm	材质：PPR；规格/口径：25mm			个	个	PPR三通；25PPR三通	PPR三通；25PPR三通						按三通族规范归为三通，保留PPR材质与25mm口径，未推断连接方式。
PIPE-000008	三通	三通	PPR内牙三通 25mm	PPR内丝三通 25mm	材质：PPR；规格/口径：25mm；接口：内丝	材质：PPR；规格/口径：25mm；接口：内丝			个	个	PPR内牙三通	PPR内牙三通						按三通族规范归为三通，接口同义词内牙归一为内丝，保留25mm口径。
PIPE-000019	三通	三通	排水用PVC三通 75mm	排水用PVC三通 75mm	材质：PVC；用途/系统：排水；规格/口径：75mm	材质：PVC；用途/系统：排水；规格/口径：75mm			个	个	排水三通	排水三通						按三通族规范归为三通，保留PVC材质、排水用途与75mm口径。
PIPE-000022	三通	三通	排水用PVC三通 50mm	排水用PVC三通 50mm	材质：PVC；用途/系统：排水；规格/口径：50mm	材质：PVC；用途/系统：排水；规格/口径：50mm			个	个	排水三通	排水三通						按三通族规范归为三通，保留PVC材质、排水用途与50mm口径。
PIPE-000024	异径三通	异径三通	PVC异径三通 75*50mm	PVC异径三通 75×50mm	材质：PVC；规格/口径：75mm*50mm	材质：PVC；规格/口径：75×50mm			个	个	75*50三通；排水异径三通	75*50三通；排水异径三通						按族规范归为异径三通，规格统一为大口径×小口径75×50mm。
PIPE-000033	三通	三通	不锈钢三通 4分	不锈钢三通 DN15	材质：不锈钢；规格/口径：4分	材质：不锈钢；规格/口径：DN15			个	个	4分不锈钢三通；不锈钢三通	4分不锈钢三通；不锈钢三通						按三通族规范归为三通，英制俗称4分按行业口径换算为DN15，保留不锈钢材质。
PIPE-000069	三通	三通	UPVC三通 32mm	UPVC三通 32mm	材质：UPVC；规格/口径：32mm	材质：UPVC；规格/口径：32mm			个	个	UPVC三通	UPVC三通						按三通族规范归为三通，保留UPVC材质与32mm口径，未推断用途。
PIPE-000071	斜三通	斜三通	UPVC斜三通 32mm 45°	UPVC斜三通 32mm 45°	材质：UPVC；规格/口径：32mm；角度：45°	材质：UPVC；规格/口径：32mm；角度：45°			个	个	32斜三通；UPVC斜三通	32斜三通；UPVC斜三通						按族规范归为斜三通，保留UPVC材质、32mm口径与已有45°角度。
PIPE-000092	异径三通	异径三通	PVC异径三通 40*32mm	PVC异径三通 40×32mm	材质：PVC；规格/口径：40mm*32mm	材质：PVC；规格/口径：40×32mm			个	个	40×32三通；异径三通	40×32三通；异径三通						按族规范归为异径三通，规格统一为大口径×小口径40×32mm。
PIPE-000093	异径三通	异径三通	PVC异径三通 40*25mm	PVC异径三通 40×25mm	材质：PVC；规格/口径：40mm*25mm	材质：PVC；规格/口径：40×25mm			个	个	40×25三通；异径三通	40×25三通；异径三通						按族规范归为异径三通，规格统一为大口径×小口径40×25mm。
PIPE-000139	三通	三通	镀锌三通 DN50	镀锌三通 DN50	材质：镀锌；规格/口径：DN50	材质：镀锌；规格/口径：DN50			个	个	50镀锌三通；镀锌三通	50镀锌三通；镀锌三通						按三通族规范归为三通，保留镀锌材质与DN50公称口径。
PIPE-000242	三通	三通	镀锌三通 DN80	镀锌三通 DN80	材质：镀锌；规格/口径：DN80	材质：镀锌；规格/口径：DN80			个	个	DN80镀锌三通；镀锌三通	DN80镀锌三通；镀锌三通						按三通族规范归为三通，保留镀锌材质与DN80公称口径。
PIPE-000260	三通	三通	碳钢焊接三通 168mm*10mm	碳钢焊接三通 168×10mm	材质：碳钢；规格/口径：168mm；壁厚：10mm；连接：焊接	材质：碳钢；规格/口径：168mm；壁厚：10mm；接口：焊接			个	个	168*10焊接三通；焊接三通	168*10焊接三通；焊接三通						按三通族规范归为三通，沿用外径×壁厚168×10表示，保留焊接接口，未推断材质牌号。
PIPE-000272	三通	三通	PPR三通 63mm	PPR三通 63mm	材质：PPR；规格/口径：63mm	材质：PPR；规格/口径：63mm			个	个	PPR三通	PPR三通						按三通族规范归为三通，保留PPR材质与63mm口径，未推断连接方式。
PIPE-000374	三通	三通	碳钢三通 DN50	碳钢三通 DN50	材质：碳钢；规格/口径：DN50	材质：碳钢；规格/口径：DN50			个	个	DN50三通；三通	DN50三通；三通						按三通族规范归为三通，保留碳钢材质与DN50公称口径。
PIPE-000375	三通	三通	碳钢三通 DN65	碳钢三通 DN65	材质：碳钢；规格/口径：DN65	材质：碳钢；规格/口径：DN65			个	个	DN65三通；三通	DN65三通；三通						按三通族规范归为三通，保留碳钢材质与DN65公称口径。
PIPE-000378	三通	三通	碳钢三通 DN40	碳钢三通 DN40	材质：碳钢；规格/口径：DN40	材质：碳钢；规格/口径：DN40			个	个	DN40三通；三通	DN40三通；三通						按三通族规范归为三通，保留碳钢材质与DN40公称口径。
