item_code	original_item_name	proposed_item_name	original_sku_name	proposed_sku_name	original_required_specs	proposed_required_specs	original_optional_specs	proposed_optional_specs	original_stock_uom	proposed_stock_uom	original_aliases	proposed_aliases	original_brand	proposed_brand	original_model	proposed_model	duplicate_with_item_code	change_reason
PIPE-000003	弯头	弯头	PPR弯头 25mm	PPR弯头 25mm	材质：PPR；规格/口径：25mm	材质：PPR；规格/口径：25mm			个	个	PPR弯头；25PPR弯头	PPR弯头；25PPR弯头						PPR按公称外径25mm规范为弯头，角度未标注不推断。
PIPE-000010	弯头	内丝弯头	PPR内丝弯头 25mm	PPR内丝弯头 25mm×4分	材质：PPR；规格/口径：25mm；接口：内丝	材质：PPR；规格/口径：25mm；接口：内丝；内丝端口径：4分			个	个	PPR内牙弯头；PPR25*4内牙弯头	PPR内牙弯头；PPR25×4内牙弯头						从原始别名保留管端口径和内丝端口径，避免不同接口规格混淆。
PIPE-000015	过桥弯	过桥弯	PPR过桥弯 25mm	PPR过桥弯 25mm	材质：PPR；口径：25mm	材质：PPR；规格/口径：25mm			个	个	PPR过桥弯	PPR过桥弯						按独立结构类型过桥弯归集，保留PPR材质与25mm口径。
PIPE-000021	弯头	弯头	PVC弯头 75mm	PVC弯头 75mm	材质：PVC；规格/口径：75mm	材质：PVC；规格/口径：75mm			个	个	排水弯头；PVC弯头	排水弯头；PVC弯头						PVC排水弯头按公称外径75mm规范，角度未标注不推断。
PIPE-000023	弯头	弯头	PVC弯头 50mm	PVC弯头 50mm	材质：PVC；规格/口径：50mm	材质：PVC；规格/口径：50mm			个	个	排水弯头	排水弯头						PVC排水弯头按公称外径50mm规范，角度未标注不推断。
PIPE-000042	弯头	弯头	不锈钢弯头 250mm 90°	不锈钢弯头 250mm 90度	材质：不锈钢；规格/口径：250mm；角度：90度	材质：不锈钢；规格/口径：250mm；角度：90度			个	个	250不锈钢弯头；不锈钢弯头	250不锈钢弯头；不锈钢弯头						不锈钢弯头按公称外径250mm与90度角度规范。
PIPE-000062	弯头	弯头	碳钢焊接弯头 325mm*8mm 加厚	碳钢焊接弯头 325×8mm 加厚	材质：碳钢；规格/口径：325mm；壁厚：8mm；特征：加厚；连接：焊接	材质：碳钢；规格/口径：325mm；壁厚：8mm；特征：加厚；连接方式：焊接			个	个	加厚325*8焊接弯头；焊接弯头	加厚325×8焊接弯头；焊接弯头						碳钢焊接弯头按325mm×8mm壁厚及加厚特征规范，未标注角度不推断。
PIPE-000065	弯头	弯头	碳钢焊接弯头 159mm*8mm 加厚	碳钢焊接弯头 159×8mm 加厚	材质：碳钢；规格/口径：159mm；壁厚：8mm；特征：加厚；连接：焊接	材质：碳钢；规格/口径：159mm；壁厚：8mm；特征：加厚；连接方式：焊接			个	个	159*8加厚弯头焊接；焊接弯头	159×8加厚弯头焊接；焊接弯头						碳钢焊接弯头按159mm×8mm壁厚及加厚特征规范，未标注角度不推断。
PIPE-000074	弯头	弯头	UPVC弯头 32mm 90°	UPVC弯头 32mm 90度	材质：UPVC；规格/口径：32mm；角度：90度	材质：UPVC；规格/口径：32mm；角度：90度			个	个	32弯头；UPVC弯头	32弯头；UPVC弯头						UPVC弯头按公称外径32mm与90度角度规范。
PIPE-000075	弯头	弯头	UPVC弯头 32mm 45°	UPVC弯头 32mm 45度	材质：UPVC；规格/口径：32mm；角度：45度	材质：UPVC；规格/口径：32mm；角度：45度			个	个	32*45弯头；UPVC45度弯头	32×45弯头；UPVC45度弯头						UPVC弯头按公称外径32mm与45度角度规范，与90度型号区隔。
PIPE-000095	弯头	弯头	PVC弯头 40mm 45°	PVC弯头 40mm 45度	材质：PVC；规格/口径：40mm；角度：45度	材质：PVC；规格/口径：40mm；角度：45度			个	个	PVC45度弯头	PVC45度弯头						PVC弯头按公称外径40mm与45度角度规范。
