type_id	attribute_key	display_name	requirement	value_type	unit	enum_values	affects_sku_identity	display_order	description
MT-001B29D8FB01	material	材质	required	text			true	1	如不锈钢
MT-001B29D8FB01	length	长度	required	number	m		true	2	如1
MT-00E9C8F1F6A5	specification	规格	required	text			true	1	如65*20*1
MT-00E9C8F1F6A5	connection	连接	optional	text			true	2	如内外牙
MT-00E9C8F1F6A5	pressure	压力	optional	text			true	3	如高压
MT-00E9C8F1F6A5	joint_type	接头形式	optional	text			true	4	如内外四方
MT-00E9C8F1F6A5	material	材质	optional	text			true	5	如不锈钢
MT-01196C656C04	length	长度	optional	number	m		true	1	如1
MT-01196C656C04	material	材质	optional	text			true	2	如不锈钢
MT-022ACA1C727A	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-022ACA1C727A	pressure_rating	压力等级	required	text	MPa		true	2	如1.0MPa、1.6MPa
MT-022ACA1C727A	material	材质	required	text			true	3	如不锈钢
MT-02478E6BF285	material	材质	required	text			true	1	如不锈钢
MT-02478E6BF285	dimension	规格/尺寸	required	text			true	2	如34*75cm。
MT-02478E6BF285	installation_environment	安装环境	required	text			true	3	如室外
MT-033B2F7CA899	spec	规格	required	text			true	1	如通用
MT-033B2F7CA899	material	材质	optional	text			true	2	如不锈钢
MT-033B2F7CA899	strength_grade	强度等级	optional	text			true	3	8.8、12.9等
MT-033B2F7CA899	surface_treatment	表面处理	optional	text			true	4	镀锌等
MT-04B3F7D6DC04	coil_voltage_v	线圈电压	required	number	V		true	1	如220V。
MT-04B3F7D6DC04	rated_current_a	额定电流	required	number	A		true	2	如100A。
MT-04B3F7D6DC04	current_type	电流类型	optional	enum		交流；直流	true	3	交流或直流接触器。
MT-04D5F9CE22B0	nominal_size	公称通径	required	text			true	1	如DN50、DN80
MT-04D5F9CE22B0	connection	连接	optional	text			true	2	如内外牙
MT-04D5F9CE22B0	feature	特征	optional	text			true	3	如厚
MT-04D5F9CE22B0	pressure	压力	optional	text			true	4	如高压
MT-04D5F9CE22B0	material	材质	optional	text			true	5	如不锈钢
MT-04DCB71A5950	size_spec	规格/口径	required	text			true	1	如14-17-19
MT-04DCB71A5950	page_count	页数	optional	text			true	2	如50页
MT-0508F13A1EA0	brand	品牌	optional	text			true	1	如海飞丝
MT-0508F13A1EA0	color	颜色	optional	text			true	2	如透明
MT-0508F13A1EA0	paint_type	油漆类型	optional	enum		通用；金属	true	3	区分通用色漆与金属漆。
MT-0508F13A1EA0	package_capacity	包装容量	optional	text			true	4	如20kg/桶。
MT-056167A2C6A9	nominal_diameter	公称直径	required	text			true	1	如DN25、DN50
MT-056167A2C6A9	material	材质	optional	text			true	2	如不锈钢
MT-05F875FF3F83	size	口径	required	text			true	1	如4寸（DN100）
MT-05F875FF3F83	thickness	厚度	optional	text			true	2	如3mm
MT-05F875FF3F83	color	颜色	optional	text			true	3	如透明
MT-06662BFACB6A	brand	品牌	optional	text			true	1	如海飞丝
MT-06662BFACB6A	speed	速率	required	text			true	2	
MT-06662BFACB6A	port_count	端口数	optional	text			true	3	
MT-06662BFACB6A	wireless_standard	无线标准	optional	text			true	4	
MT-066E886012C8	compatible_tool	适配工具	required	text			true	1	如滚筒、边角刷
MT-066E886012C8	length	长度	required	number	m		true	2	如1
MT-0696DA12AEBE	diameter	直径	required	text			true	1	如1.5米
MT-0696DA12AEBE	length	长度	required	number	m		true	2	如1
MT-0696DA12AEBE	material	材质	required	text			true	3	如不锈钢
MT-0696DA12AEBE	usage	用途	optional	text			true	4	如扣压。
MT-0696DA12AEBE	brand	品牌	optional	text			true	5	如海飞丝
MT-06D5260D2301	interface	接口	required	text			true	1	如外丝转内丝
MT-078AEAFF6B3C	mounting_method	安装方式	required	text			true	1	如明装。
MT-078AEAFF6B3C	cores	芯数	required	number	芯		true	2	如3芯。
MT-078AEAFF6B3C	rated_current_a	额定电流	required	number	A		true	3	如100A。
MT-078AEAFF6B3C	rated_voltage_v	额定电压	required	number	V		true	4	如250V。
MT-07960FE9A30F	material	材质	optional	text			true	1	如不锈钢
MT-07960FE9A30F	width	宽度	optional	number	mm		true	2	如50
MT-07960FE9A30F	feature	特征	optional	text			true	3	如厚
MT-07960FE9A30F	length_note	长度说明	optional	text			false	4	如按米计。
MT-07BEBC4451D0	size	口径	required	text			true	1	如4寸（DN100）
MT-07BEBC4451D0	material	材质	optional	text			true	2	如不锈钢
MT-07BEBC4451D0	brand	品牌	optional	text			true	3	如海飞丝
MT-07EE7149A508	size	口径	optional	text			true	1	如4寸（DN100）
MT-083F7940BC57	length	长度	required	number	m		true	1	如1
MT-083F7940BC57	tip_type	头型	optional	text			true	2	如双头
MT-083F7940BC57	pack_quantity	包装数量	optional	text			true	3	如100支
MT-08564248ADC3	package_size	包装规格	required	text			true	1	如20kg/桶
MT-08564248ADC3	material_system	材料/体系	optional	text			true	2	如聚氨酯
MT-08564248ADC3	model	型号	optional	text			true	3	如无则留空
MT-08564248ADC3	application	用途	optional	text			true	4	给水、排水、线缆保护等；同规格不同用途应区分为不同SKU
MT-08564248ADC3	brand	品牌	optional	text			true	5	如海飞丝
MT-08813BD25870	rated_load	额定载荷	required	text	T		true	1	如15T。
MT-08813BD25870	standard	标准	optional	enum		国标；美式	true	2	国标或美式。
MT-08813BD25870	strength	强度	optional	enum		高强度	true	3	如高强度。
MT-08B38CAC0777	size	口径	optional	text			true	1	如4寸（DN100）
MT-093DDC2D8A8E	material	材质	optional	text			true	1	如不锈钢
MT-093DDC2D8A8E	diameter	直径	optional	text			true	2	如1.5米
MT-093DDC2D8A8E	length	长度	optional	number	m		true	3	如1
MT-093DDC2D8A8E	package	包装	required	text			true	4	包装规格，如10kg/卷、500g/卷、5kg/件、散装
MT-093DDC2D8A8E	color	颜色	optional	text			true	5	如透明
MT-0981473E7197	packaging	包装	optional	text			true	1	如大包
MT-09F580A1E713	mounting_method	安装方式	required	text			true	1	如明装。
MT-09F580A1E713	specification	规格	required	text			true	2	如65*20*1
MT-09F580A1E713	material	材质	optional	text			true	3	如不锈钢
MT-0A950F7E0187	caliber	口径	required	text			true	1	如DN100
MT-0A950F7E0187	length	长度	optional	number	m		true	2	如1
