issue_id	batch_id	top_group	material_family	current_name	item_code	issue_type	severity	detail	status
MGI-80FD0F819C547D	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封			family_review_not_approved	high	密封胶和聚氨酯堵漏剂类型存在属性模板或边界重叠问题，需revise；其余类型及全部名称决定通过。	open
MGI-4B47BF7F986BC0	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	AB胶	CHEM-000022	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-48AEA5B613F8CE	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	万能胶	CHEM-000036	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-94C03BE15C018C	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	双面胶带	CHEM-000046	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-D785A6DF6FE7CB	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	双面胶带	CHEM-000027	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-DDC8FFBE0154DD	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	双面胶带	CHEM-000130	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-374D269AB517C0	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	堵漏剂	CHEM-000149	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-174ED8906F013C	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶	CHEM-000096	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-20B021927180FF	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶	CHEM-000094	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-7D0A6B22F929A7	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶	CHEM-000097	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-A723A5C8110254	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶	CHEM-000026	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C06848F09DF450	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶	CHEM-000139	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C9195840172D0C	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶		type_review_not_approved	high	定义中包含硅酮基材，与玻璃胶类型边界重叠；且observed_spec_keys中的'类型'键未在属性模板中体现，模板不足以覆盖现有SKU。	open
MGI-F6530EA102AA00	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	密封胶	CHEM-000082	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-9B278DAB0D3D6E	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	强力胶	CHEM-000051	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C08B121E8F2713	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	植筋胶	CHEM-000038	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-4B5642CCDF617C	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	泡沫填缝剂	CHEM-000005	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-01CC955053AB95	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	玻璃胶	CHEM-000025	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-434EA5026A2ED2	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	玻璃胶	CHEM-000156	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-01D7238B546440	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	瞬干胶	CHEM-000003	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-498DBC034B17B7	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	CHEM-000041	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-768C08D4C91FEF	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	MAT-000137	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B72F5ABCC55BA6	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	CHEM-000042	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-B9E7011A67DB9C	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	CHEM-000001	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C2169B8BC1D3CC	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂		type_review_not_approved	high	type属性（油性/水性）设为required，但现有SKU中20kg/桶、主剂、副剂均未提供该属性，无法建模，应改为optional。	open
MGI-CA1494FD8F36D8	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	聚氨酯堵漏剂	MAT-000136	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-3052E5EC151E82	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	胶水	CHEM-000045	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-5CF802E28450D9	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	胶水	CHEM-000098	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-635D16381D11E0	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	胶粘剂	CHEM-000069	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-849D51679475B3	MGR-EE0CA1C223EA	化工胶粘涂料	胶粘密封	螺纹锁固胶	CHEM-000106	sku_mapping_unresolved	high	该 SKU 尚未获得经生成、独立复核和程序校验共同确认的标准类型映射。	open
MGI-C5CBDA2E1DEF19	MGR-EE0CA1C223EA	工具量具	扳手			detailed_review_not_approved	high	TOOL-000132、TOOL-000133、TOOL-000134 别名明确为开口/梅花扳手，符合两用扳手定义，予以通过。TOOL-000146 仅有13mm和世达信息，缺少结构特征，固定扳手与两用扳手均可能匹配，判定为revise。	open
