top_group	material_family	current_name	action	target_type_ids	reason	decision_status	source_hash	review_summary
劳保防护	呼吸防护	口罩	keep	MT-DE332DACB15D	普通口罩类型稳定，材质、层数、包装数量留在SKU属性。	frozen	8f63983bc365fe3198bf731b7f01ad7d844df6f1ed72fbd2f957880f73b3849f	三类型均能表达商品结构，属性模板覆盖原SKU的材质、层数、包装、适配等区分维度，旧名称全部覆盖。
劳保防护	呼吸防护	防尘面罩	keep	MT-3EBDBA585441	防尘面罩为独立商品类型。	frozen	8f63983bc365fe3198bf731b7f01ad7d844df6f1ed72fbd2f957880f73b3849f	三类型均能表达商品结构，属性模板覆盖原SKU的材质、层数、包装、适配等区分维度，旧名称全部覆盖。
劳保防护	呼吸防护	防尘面罩滤芯	keep	MT-93AEECB9A5EC	滤芯为面罩耗材，适配关系通过属性表达。	frozen	8f63983bc365fe3198bf731b7f01ad7d844df6f1ed72fbd2f957880f73b3849f	三类型均能表达商品结构，属性模板覆盖原SKU的材质、层数、包装、适配等区分维度，旧名称全部覆盖。
劳保防护	安全带/安全绳	五点式安全带	keep	MT-B59BF9EA2E72	五点式安全带类型稳定。	frozen	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	安全带、双钩安全绳、普通安全绳、防坠器各有明确结构和计量属性，拆分覆盖旧名称，属性足以区分采购SKU。
劳保防护	安全带/安全绳	安全绳	split	MT-ED85E7CB58D8；MT-879D8DB4CDEB	同一压缩名称下既有按直径和米数销售的普通安全绳，也有成套销售的双钩安全绳，计量单位、结构和用途不同。	frozen	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	安全带、双钩安全绳、普通安全绳、防坠器各有明确结构和计量属性，拆分覆盖旧名称，属性足以区分采购SKU。
劳保防护	安全带/安全绳	防坠器	keep	MT-2B0AEB3EAED6	防坠器为独立坠落防护器具类型。	frozen	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	安全带、双钩安全绳、普通安全绳、防坠器各有明确结构和计量属性，拆分覆盖旧名称，属性足以区分采购SKU。
劳保防护	安全帽/头部防护	安全帽配件	keep	MT-A71425EF4FD1	安全帽配件为独立品类。	frozen	7b9dcd4149cb53c8ff289998371ebe1146048f7551693ca46917e703bd0708de	安全帽配件和草帽均能表达对应商品结构，属性覆盖原SKU的类型、材质、颜色、头围，旧名称全部覆盖。
劳保防护	安全帽/头部防护	草帽	keep	MT-34F669EA5A02	草帽类型稳定。	frozen	7b9dcd4149cb53c8ff289998371ebe1146048f7551693ca46917e703bd0708de	安全帽配件和草帽均能表达对应商品结构，属性覆盖原SKU的类型、材质、颜色、头围，旧名称全部覆盖。
劳保防护	急救用品	创可贴	keep	MT-5609B4074F35	创可贴为独立急救用品类型。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
劳保防护	急救用品	医用绷带	keep	MT-72DE55895C88	医用绷带类型稳定。	frozen	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	急救用品各类型定义清晰，属性覆盖尺寸、容量、浓度、包装数量等SKU区分键，旧名称全部覆盖。
