type_id	alias	normalized_alias	alias_kind
MT-001B29D8FB01	金属测绳	金属测绳	governance
MT-00E9C8F1F6A5	变头	变头	governance
MT-00E9C8F1F6A5	异径接头	异径接头	governance
MT-04B3F7D6DC04	交流接触器	交流接触器	governance
MT-04D5F9CE22B0	卡箍丝牙接头	卡箍丝牙接头	governance
MT-04D5F9CE22B0	高压卡箍双丝牙接头	高压卡箍双丝牙接头	governance
MT-0508F13A1EA0	金属漆	金属漆	governance
MT-066E886012C8	滚筒伸缩杆	滚筒伸缩杆	governance
MT-066E886012C8	边角刷伸缩杆	边角刷伸缩杆	governance
MT-0696DA12AEBE	钻头	钻头	governance
MT-07960FE9A30F	背胶防撞条	背胶防撞条	governance
MT-093DDC2D8A8E	钢筋扎丝	钢筋扎丝	governance
MT-093DDC2D8A8E	铁扎丝	铁扎丝	governance
MT-093DDC2D8A8E	黑扎丝	黑扎丝	governance
MT-0981473E7197	稀释剂12kg	稀释剂12kg	governance
MT-09F580A1E713	开关底盒	开关底盒	governance
MT-09F580A1E713	插座底合	插座底合	governance
MT-09F580A1E713	插座底盒	插座底盒	governance
MT-0B08DC7D356A	钢箱	钢箱	governance
MT-0C1270785789	消防管快速接头	消防管快速接头	governance
MT-0CF505AF57F5	12号铁丝	12号铁丝	governance
MT-0CF505AF57F5	14号铁丝	14号铁丝	governance
MT-0D4B880E822A	一次性雨衣	一次性雨衣	governance
MT-0D4B880E822A	加厚雨衣	加厚雨衣	governance
MT-0D4B880E822A	雨衣套装	雨衣套装	governance
MT-0EAB84101A24	消防箱子	消防箱子	governance
MT-1121AB3E7D64	双头抱箍接头	双头抱箍接头	governance
MT-11BC391A4AC6	卡槽钢圈接头	卡槽钢圈接头	governance
MT-11E336A50B5F	消防蝶阀	消防蝶阀	governance
MT-123715D35C06	PO42.5水泥	po42.5水泥	governance
MT-123E4A8A402B	水泵防护罩	水泵防护罩	governance
MT-131809A261F8	骑马螺丝	骑马螺丝	governance
MT-14C12CAC4D5E	28%PAC污水处理剂	28%pac污水处理剂	governance
MT-15CB416C64EE	万向转向套筒	万向转向套筒	governance
MT-15E584180E2F	方管	方管	governance
MT-15E584180E2F	矩形管	矩形管	governance
MT-16FC604DB01C	水龙头花洒	水龙头花洒	governance
MT-16FC604DB01C	龙头花洒套装	龙头花洒套装	governance
MT-181CE295C9C7	推进泵吸轮	推进泵吸轮	governance
MT-1927AFDD6E07	弹垫	弹垫	governance
MT-1927AFDD6E07	弹簧垫片	弹簧垫片	governance
MT-1B4591DB03EA	液压接头	液压接头	governance
MT-1B4591DB03EA	高压接头	高压接头	governance
MT-1BAA5262EAC8	弯头	弯头	governance
MT-1BB316C003E8	碘伏500ml	碘伏500ml	governance
MT-1BE70E3326DB	防滑胶垫	防滑胶垫	governance
MT-1C3317497F61	全树脂基碳带	全树脂基碳带	governance
MT-1C86AD74DABB	螺丝组件	螺丝组件	governance
MT-1C86AD74DABB	螺栓套件	螺栓套件	governance
MT-1C876845B9C7	大麻袋	大麻袋	governance
MT-1C87F5281145	蒸饭箱	蒸饭箱	governance
