type_id	top_group	material_family	standard_name	definition	includes	excludes	governance_status	revision	source_hash	prompt_version	generator_model	reviewer_model
MT-DE332DACB15D	劳保防护	呼吸防护	口罩	覆盖口鼻的普通卫生/劳保口罩，适用于一般粉尘和飞沫防护。	一次性口罩、棉纱口罩、棉口罩等普通口罩。	防尘面罩、防毒面具及其滤芯。	frozen	1	8f63983bc365fe3198bf731b7f01ad7d844df6f1ed72fbd2f957880f73b3849f	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-3EBDBA585441	劳保防护	呼吸防护	防尘面罩	可更换滤芯的防颗粒物面罩，用于粉尘等呼吸防护。	半面罩、全面罩防尘面罩。	一次性口罩、防尘面罩滤芯。	frozen	1	8f63983bc365fe3198bf731b7f01ad7d844df6f1ed72fbd2f957880f73b3849f	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-93AEECB9A5EC	劳保防护	呼吸防护	防尘面罩滤芯	防尘面罩的过滤元件，需与对应面罩配合使用。	普通颗粒物滤芯等防尘面罩过滤元件。	防尘面罩本体、一次性口罩。	frozen	1	8f63983bc365fe3198bf731b7f01ad7d844df6f1ed72fbd2f957880f73b3849f	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-B59BF9EA2E72	劳保防护	安全带/安全绳	五点式安全带	五点式全身安全带，用于高空作业防坠落。	欧式、带缓冲、通用型、大钩/小钩等五点式安全带。	普通安全绳、双钩安全绳、防坠器。	frozen	1	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-879D8DB4CDEB	劳保防护	安全带/安全绳	双钩安全绳	两端带挂钩的安全绳/系绳，与安全带或锚点连接，成套计量。	五点式双钩安全绳等带双钩的安全绳。	按直径销售的普通安全绳、五点式安全带本体。	frozen	1	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-ED85E7CB58D8	劳保防护	安全带/安全绳	安全绳	未装配固定挂钩的坠落防护用绳索，按直径和长度销售。	Φ8、Φ10、Φ14、Φ16等尼龙安全绳。	双钩安全绳、五点式安全带、防坠器。	frozen	1	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-2B0AEB3EAED6	劳保防护	安全带/安全绳	防坠器	速差防坠器，用于垂直坠落防护。	双锁防坠器等。	安全带、安全绳。	frozen	1	e93eed75f64046f83534fb4e508b2c12480e1c55e708274cb66bfdfc86d95b52	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-A71425EF4FD1	劳保防护	安全帽/头部防护	安全帽配件	安全帽用替换或附加配件，如帽衬、帽带等。	一字带等安全帽配件。	安全帽本体。	frozen	1	7b9dcd4149cb53c8ff289998371ebe1146048f7551693ca46917e703bd0708de	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-34F669EA5A02	劳保防护	安全帽/头部防护	草帽	草编遮阳帽，用于户外防晒。	58cm等草帽。	安全帽、头盔。	frozen	1	7b9dcd4149cb53c8ff289998371ebe1146048f7551693ca46917e703bd0708de	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
MT-5609B4074F35	劳保防护	急救用品	创可贴	小创口用的止血贴/创可贴。	100片/盒等创可贴。	医用绷带、医用胶带。	frozen	1	a805d2271e45fe51bdc8bd1eaf8493cebee5c4e989f6ceab65e6a4768be6da31	material-type-dictionary-v0.5	deepseek-v4-flash	deepseek-v4-flash
