item_code	type_id	standard_name	mapping_method	mapping_evidence	mapping_status	source_hash
ADMIN-000002	MT-852FF9EFC7D2	洁厕剂	exact_current_name	清洁剂功能独立，容量归SKU属性。	frozen	847bbfc6c0d9cfad6ca7bdd162b9d2cd2d88e8b998f4a4fc0158b7a3059d7d1e
ADMIN-000004	MT-A4B31D70F1B0	水桶	exact_current_name	水桶为独立盛水容器类型。	frozen	9735952eb4998d3845a61721b5bcb98ebb192fe383a6f2e74852763ca131377c
ADMIN-000005	MT-05F875FF3F83	垃圾袋	exact_current_name	类型稳定，尺寸/厚度/颜色归SKU属性。	frozen	1482938eb27a232107e36ed3bd0c9b4c09eca2b9b931416bd93eee6bd8aa5402
ADMIN-000006	MT-CA02AD4C115E	记号笔	exact_current_name	记号笔类型稳定，颜色归SKU属性。	frozen	b7d42db4386092e934cb111ccadb600411392ec7a8a733be2469a9f997fe57fc
ADMIN-000007	MT-9E65A5E71B56	油污清洗剂	exact_current_name	油污清洗剂为独立去油污清洗剂类型。	frozen	6179cd811010ded96f9451652f8b61bdc2ab7b2f2d6465e515dc4c7dd0f29905
ADMIN-000008	MT-05F875FF3F83	垃圾袋	exact_current_name	类型稳定，尺寸/厚度/颜色归SKU属性。	frozen	c5a2082bfebdf6e3f419afba3abaeb947713563eb6c25b58c905fd442963ce19
ADMIN-000011	MT-CA02AD4C115E	记号笔	exact_current_name	记号笔类型稳定，颜色归SKU属性。	frozen	408bf6ee08ecdaf1d1c2d0eb892e8dfa9ab4c7b7cf23b6e72df5f9ce54e15162
ADMIN-000015	MT-73BAC5D3B018	电源线	exact_current_name	现有名称即标准类型名称。	frozen	902a756ec410ef88a40dcdea2e4b0959517e516e8c295086fff695f2942d3555
ADMIN-000016	MT-B738E1F78153	数据线	exact_current_name	现有名称即标准类型名称。	frozen	0ac2482b4bb0d73d9fac6be7f45756cd743266071d4be235adc1deac32f22f71
ADMIN-000018	MT-83BB20A2CD56	鼠标	exact_current_name	设备类型稳定，连接方式和品牌归SKU属性。	frozen	7e2545f2af2e239c1b8191ff3d8c2b7bb1c532b98a5d8fa1c6250a47ebc6d65f
ADMIN-000021	MT-4ECDC4BBE3A7	除甲醛机	exact_current_name	功能设备独立，用途和适用面积归SKU属性。	frozen	b44887892ab7c3dc4d8f66098d73a4f43a2c7593e4607132e8a5ed4f5221d6e8
ADMIN-000022	MT-C5316F0242F6	多功能打印机	exact_current_name	设备类型稳定，品牌和类型归SKU属性。	frozen	dd5c704d82441df9e50ab67ac11a7b8f5cf4b4f5959276b70135a811e0f8e746
ADMIN-000026	MT-23A67A242AA9	擦拭布	exact_current_name	棉布在清洁场景中作为擦拭布原料/物料，合并进入擦拭布。	frozen	a88a765d7d6379751dbea5c36cc7e20fcf8a87f76dfbe173f0c5eb4803d29dc1
ADMIN-000027	MT-D26523FE2B24	吸油棉	exact_current_name	名称稳定；材质和尺寸作为SKU属性。	frozen	665092cf9ef19e085940444176d403e2a9421623013d75ce68139657f7766fa8
ADMIN-000029	MT-310EA2FFDD11	拖把	exact_current_name	名称稳定；拖头材质和规格作为SKU属性。	frozen	ceaa4bd53b93aa47ac3d9d2e62beb58beea7140f9fb9d39d746c64100b94b357
ADMIN-000030	MT-23A67A242AA9	擦拭布	exact_current_name	抹布属于擦拭布类成品，合并进入擦拭布。	frozen	3476c057cd3d42d0b7908d883eba9a86dd14ec82942a3d245152785168467c9c
ADMIN-000031	MT-40FB771794DF	垃圾桶	exact_current_name	名称稳定；容量、材质和配置作为SKU属性。	frozen	3ff0b9d6668f3ebd5ad0b4b5721168f24809792a976044308c745645f19deb02
ADMIN-000032	MT-05F875FF3F83	垃圾袋	exact_current_name	类型稳定，尺寸/厚度/颜色归SKU属性。	frozen	bdcdf6427e09b9fdbb9509c5c972039bfe627e5c445c8031650f616326f3edfa
ADMIN-000034	MT-05F875FF3F83	垃圾袋	exact_current_name	类型稳定，尺寸/厚度/颜色归SKU属性。	frozen	cb03f9e8712df927bbcf36779844fccea6617b65c6653f415d25457dc9b48973
ADMIN-000035	MT-C50DDC6D6023	扫把	exact_current_name	名称稳定；材质和规格作为SKU属性。	frozen	aa7b1dfb256690374c37f413c8c4565a92acc3f72d61581722fbfcb62cd9026a
ADMIN-000037	MT-C50DDC6D6023	扫把	exact_current_name	名称稳定；材质和规格作为SKU属性。	frozen	253ac50625b822a9827eee68136f839880985e578e43d8a25b4fc43ffb197d1a
ADMIN-000038	MT-8AB95E4FF3A2	扫斗	exact_current_name	名称稳定且商品结构清晰。	frozen	adb6f0e0e410057ae1859483a2105528b98b148724de08dc637418d6e4a55a01
ADMIN-000043	MT-23A67A242AA9	擦拭布	exact_current_name	抹布属于擦拭布类成品，合并进入擦拭布。	frozen	9cc0024ecfc35ab798dfb80d2748ff598161395c420a581165ee362ec131ae4c
ADMIN-000044	MT-D0EF7E647AA6	喷壶	exact_current_name	名称稳定；容量和材质作为SKU属性。	frozen	d7d6f6dc5c2a4d76a87dcd078f744347017b72baa99ebec23afebbd5a8ed5f67
ADMIN-000045	MT-D0EF7E647AA6	喷壶	exact_current_name	名称稳定；容量和材质作为SKU属性。	frozen	c341396de62fd7e09e2185bea664a8dc3cc46c118e6f0426dedbca26acb475d4
ADMIN-000048	MT-E6781F281E7C	烟灰桶	exact_current_name	名称稳定；材质和尺寸作为SKU属性。	frozen	bc45c72d78f2ddae04c11c9d63948801e9424a2efdd19f8f922bc3190aa5b329
ADMIN-000050	MT-9E65A5E71B56	油污清洗剂	exact_current_name	油污清洗剂为独立去油污清洗剂类型。	frozen	4e72cf29dadfe907f45b05d829d64cfe55569d22aac15effa3278025da40ec0f
ADMIN-000051	MT-533BD564EE08	洗洁精	exact_current_name	洗涤剂类型独立，容量归SKU属性。	frozen	c10ff0bb53413581ef5718e4d39cc16f2ad13efbcdc5dbee2b83ecb593bac0fc
ADMIN-000056	MT-40FB771794DF	垃圾桶	exact_current_name	名称稳定；容量、材质和配置作为SKU属性。	frozen	cf243d018d6a6c8926e1f10db86f415690355e1b5fd5cbca93de8a69339e07c5
ADMIN-000057	MT-CA02AD4C115E	记号笔	exact_current_name	记号笔类型稳定，颜色归SKU属性。	frozen	f0db2f7d364d6aa0088411bcb471fa5744cfc1f6407376ea53ce323844656670
ADMIN-000058	MT-05F875FF3F83	垃圾袋	exact_current_name	类型稳定，尺寸/厚度/颜色归SKU属性。	frozen	21cf4f838406516358ce61d019c20f9453026b35bd3b301b7eb419cb654ca472
ADMIN-000060	MT-533BD564EE08	洗洁精	exact_current_name	洗涤剂类型独立，容量归SKU属性。	frozen	c3a3191c7baf45cb379e7c34e2e4f2b2d09e0cc795cc3a653ec7f4d0916ee86a
ADMIN-000061	MT-E4F385D3AC19	铅笔	exact_current_name	铅笔类型稳定，硬度规格归SKU属性。	frozen	47df57ce8d5caba609db6200aca2dc47202ea75917bd5e500fe1e9e9bb1795f1
ADMIN-000062	MT-D26523FE2B24	吸油棉	exact_current_name	名称稳定；材质和尺寸作为SKU属性。	frozen	512f3366b3d2d022718d5252ea7b5cf3ec6c30f4cb8e35ce58b1bbbdab0683dd
ADMIN-000066	MT-8476FBB13E91	吸尘器	exact_current_name	名称稳定；样式和功率作为SKU属性。	frozen	740ebc82f433c26e3f2a5ecefb29c44891401ce9266c69db58f35da79035ebb4
ADMIN-000067	MT-40FB771794DF	垃圾桶	exact_current_name	名称稳定；容量、材质和配置作为SKU属性。	frozen	fcbbde0f1a83707feecac5454726e3ed11b35bb044e8e254483af6bb6b8d47ff
ADMIN-000070	MT-04DCB71A5950	记录本	exact_current_name	记录本类型稳定，规格和页数归SKU属性。	frozen	e14db02e7f201875a2d04d4c50459be61d4b787951600d9e3b8812ea812e51ec
ADMIN-000072	MT-C50DDC6D6023	扫把	exact_current_name	名称稳定；材质和规格作为SKU属性。	frozen	e5ef21e52d975a0782dde23abdbede56ab66d8d8c175dcf1a768f7d6cd2ca3bf
CHEM-000002	MT-F0BD53D94D9C	涂料	exact_current_name	源证据只有系列和环保特征，不足以支持并入乳胶漆；保留为未定成膜类型涂料。	frozen	bacc54a0b90b7f073a4e66e7decf92019668753111e30e7a03b3e52786d1df96
CHEM-000004	MT-AE1D847DF5D5	除胶剂	exact_current_name	除胶剂为独立去胶剂类型。	frozen	488aa34b376f8fc9c2ece7d9709bab4442317aeac058a86d32ed35a2892d54ec
CHEM-000006	MT-31866361124C	防锈润滑剂	exact_current_name	名称合格，品牌和容量留在SKU属性。	frozen	69c4c20c119237348342f743985a730f3fd471c12454cc195a0197470fc1f05a
CHEM-000007	MT-77D73CEF4ECF	调和漆	exact_current_name	直接刷涂的调和漆为独立类型。	frozen	52cc2cc1da0673ab755f32f9b46c092460db9ab5041dc823bae1a7ed9bdb7d21
CHEM-000008	MT-77D73CEF4ECF	调和漆	exact_current_name	直接刷涂的调和漆为独立类型。	frozen	1a93358f79b5de3a402dcf4bc34f801d2436bf158dda5ac1b81c3c6d6bdcfb6e
CHEM-000009	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	6aa6141929ce38d723c731211c44f07ab63625e7a14e7c650c8fb4b68ea435fb
CHEM-000010	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	77396c9e8a82fcdc7068257ec8a6f593b09039a18d673b7f49fc32fbd43698b0
CHEM-000011	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	63f8454bf3128e60a15998cec7991e8e15e734a1723d675631de171c3afed9ae
CHEM-000012	MT-C097BA8EA2A8	松香水	exact_current_name	松香水为独立油漆稀释溶剂类型。	frozen	9ddaa3296b12c87f9f7f37046b2acb9238c41573b6b5d76cb908504692518974
CHEM-000014	MT-C22E88CCC2FB	黄油嘴接头	exact_current_name	转接接头，与注油嘴结构边界清晰。	frozen	447218d5b6806061a482adf82c204a0043bce8b0981df3566f86c385fe445cd9
CHEM-000015	MT-F2BDF488FE05	黄油嘴	exact_current_name	弯头只是黄油嘴的一种角度形态，以角度属性区分，不单立类型。	frozen	52bf9f5008f33d83eda52787f3d17094edf9662e5cd2d05d7021e283e0e25350
CHEM-000017	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	8d6d5e65a6d03faf0587caa89114bb32e1a691536660bbee0a61cb2eb71dd27e
CHEM-000018	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	26d75e3239c5ed963f0705a52cc3295e8200f3e99dd579bd50b8a7cb4a51b6c0
CHEM-000019	MT-2F88AF306F4D	脱漆剂	exact_current_name	脱漆剂为独立去漆膜化学剂类型。	frozen	fe034baf7e74a4eccdd12150bd555d3e51323ce128a97e2029440d2e96a85ec6
CHEM-000020	MT-6E6D6F625138	电气清洗剂	exact_current_name	电气清洗剂为独立电力设备清洗剂类型。	frozen	aaf590a49a1540987a31b341d5f125b91184cb01c4b73eb77a1e79214da7f2e1
CHEM-000021	MT-B6BEC02712CE	黄油泵	exact_current_name	电动油脂泵类型稳定，容量/出口数作为属性。	frozen	a597d5f0e49bf88478ebebcdd8eef31b361afac96eeedc9b52114c66fbade1f4
CHEM-000023	MT-77D73CEF4ECF	调和漆	exact_current_name	直接刷涂的调和漆为独立类型。	frozen	65abdb7c811968228c7699d8159b921af2d34cf2f10b806af7be8ff94c942b80
CHEM-000028	MT-8155D2AB2365	固化剂	exact_current_name	按配套体系和层次采购的固化剂，类型边界清楚。	frozen	81393b1d418c942f923972c709c7dc816d38a08958f115e96268e74b47431677
CHEM-000029	MT-582B7CE5942A	底漆	exact_current_name	地坪底漆为独立层次商品。	frozen	706dad7f478834a8aa9629ceb52a586a1738acd8d876c86c7630e469ee0aad2a
CHEM-000030	MT-8155D2AB2365	固化剂	exact_current_name	按配套体系和层次采购的固化剂，类型边界清楚。	frozen	618284b5e1bcf1bc2b31b6a832a2060b1f551fed05f0d7f7b3d368fca697a3e9
CHEM-000031	MT-5904A7482737	美纹纸胶带	exact_current_name	类型特殊且独立，保留。	frozen	3868f6809a1f5986b3d34576bed97570820f819714161b97f58cadb65ce28c2d
CHEM-000032	MT-63EC0EF307BC	乳胶漆	exact_current_name	源SKU为外墙乳胶漆，“墙面漆”是乳胶漆俗名，不改变商品类型。	frozen	406a839ef270e4cdb5f62ce81c5ce6942f45eab9d8993b32d497bea07c584025
CHEM-000034	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	b03145f912be4a3c5d5e5a78ae457b63ffcb4858da6688abd12a0fbe14682155
CHEM-000035	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	f19fe263bdabcf14559a0e372c139ab3488fb4677597c7eadc427176338c1467
CHEM-000037	MT-7B5749411F6B	齿轮油	exact_current_name	齿轮油为独立齿轮传动用油类型。	frozen	841227c8edeaa9f0512acf76b632247bce8944f2661c43b3861dea66a7b30bbb
CHEM-000039	MT-2C6F9D2B1067	泡棉双面胶带	exact_current_name	该族现有双面胶带均为海绵/泡沫/泡沫棉泡棉基材；更名为泡棉双面胶带，与胶粘密封族通用双面胶带形成清晰边界。	frozen	bba7e7617e9c68a6d6ba92311a605d7a665508b00821137d4523928e335da4b2
CHEM-000040	MT-77D73CEF4ECF	调和漆	exact_current_name	直接刷涂的调和漆为独立类型。	frozen	41a7cfdb22e90e9d17e7dd11b4b4f69eb001a278d2edd2b6d01c05db09210c89
CHEM-000043	MT-74E5601A05D1	橡胶支座	exact_current_name	名称稳定，尺寸和材质留在SKU属性。	frozen	76549e1ba4fcb830ebc14ac05f3965b54a6e778f49645985f3ceb34bd7400b92
CHEM-000044	MT-2C6F9D2B1067	泡棉双面胶带	exact_current_name	该族现有双面胶带均为海绵/泡沫/泡沫棉泡棉基材；更名为泡棉双面胶带，与胶粘密封族通用双面胶带形成清晰边界。	frozen	3df26b8533a187ccfb1ee6d013fce476ab015f6389077ebe2c647bb9c13bfd10
CHEM-000047	MT-77D73CEF4ECF	调和漆	exact_current_name	直接刷涂的调和漆为独立类型。	frozen	1b282ab7620a59fe060c012144b38d6cc881d41d42de19aaeb7d1316459817b9
CHEM-000048	MT-77D73CEF4ECF	调和漆	exact_current_name	直接刷涂的调和漆为独立类型。	frozen	0befeffbd4f52b74c0755d5e409ac064384e14bbe8759f3cbdd735ccfaaf82d8
CHEM-000050	MT-A6DDF67DC33F	橡胶板	exact_current_name	橡胶板为独立橡胶材料类型。	frozen	6eee6f96764992094a6faffdb567a68fb4986d5474af3d377abaa72862beba20
CHEM-000052	MT-4F7924C8DD76	封箱胶带	exact_current_name	标准名称稳定，按宽度/长度/颜色区分SKU。	frozen	79a21354960ff799b17ab1295b9bb0d6afb07ad76586352d1ecc5aae580d7638
CHEM-000053	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	ccf6655852f6a0dfe9b6d2ca817e72a6d50c30874e71a76e9b78e3b69a6191e9
CHEM-000054	MT-31866361124C	防锈润滑剂	exact_current_name	名称合格，品牌和容量留在SKU属性。	frozen	411b709f63b1b3b907b7c5b16aaac27cb691046637836b7b22f007b0d73e1ea1
CHEM-000055	MT-8E0745C32BBC	胶枪	exact_current_name	胶枪名称合格，适用材料设为必填	frozen	e14597e1a33a74a9175bbc248b390ca9d561d0af2a34882f04a3c5d093b77f40
CHEM-000056	MT-B22918C71E30	油漆笔	exact_current_name	墨水类型独立，颜色和笔尖规格归SKU属性。	frozen	20f76422effc903981522c7d69df90ac7628b06841caf63fc1d2cd8f01251163
CHEM-000057	MT-20692D1C01E6	橡胶垫块	exact_current_name	名称稳定，尺寸和材质留在SKU属性。	frozen	78987123af134f43d74655f54a163d1a2d512e6938d2ff69c91a9ad2ce04cbe6
CHEM-000058	MT-FA69028218BF	干性润滑剂	exact_current_name	干性润滑剂为独立润滑产品类型。	frozen	a01b8a50b5434e8bd930cff22a80bdf44c1b2b9c757a49e751faf7841bbe1162
CHEM-000060	MT-67888F35BD96	通用润滑脂	exact_current_name	通用润滑脂类型边界清楚。	frozen	338f6decbfebe8cef4fd1cec6b76af8609ebfa7f524209e293fa32c52acbd354
CHEM-000062	MT-9E65A5E71B56	油污清洗剂	exact_current_name	油污清洗剂为独立去油污清洗剂类型。	frozen	fa6679fa2cf77c82395b7f2fde16e7a11ee5d62c275321fce0732458ef6b8acb
CHEM-000063	MT-20692D1C01E6	橡胶垫块	exact_current_name	名称稳定，尺寸和材质留在SKU属性。	frozen	d91a170961f6595f5b10d25b6a4aa34294e161242bb300c72efcab0688271319
CHEM-000065	MT-9D9CD04D7D99	气动油	exact_current_name	气动油为独立气动设备用油类型。	frozen	15a8d1891717f5331f6d15b819ea8a9fd89ed81713c15c2555e620782d24a0d5
CHEM-000067	MT-7B5749411F6B	齿轮油	exact_current_name	齿轮油为独立齿轮传动用油类型。	frozen	6a852dc4b8e568a2287cdada51537ee674e4a177133f48b38f37b6a1c7247aac
CHEM-000068	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	7b94e5eba59b6fa5c7b00da8e196f3de1e617b57100877ad7ff295891d2f67ac
CHEM-000071	MT-41A5C8A013A6	电子清洗剂	exact_current_name	电子清洗剂为独立电子元件清洗剂类型。	frozen	725ce4e2919863def5688922170be177a61f8ff2f3f857eefb785e0781f73544
CHEM-000072	MT-F2BDF488FE05	黄油嘴	exact_current_name	补充角度属性后已覆盖全部黄油嘴SKU，含角度规格的旧名称归入本类型。	frozen	a6ba526b4d9d36364506cc4ff61bb3c0947d18cea2b0dabbbd280a323e8d819c
CHEM-000073	MT-F2BDF488FE05	黄油嘴	exact_current_name	补充角度属性后已覆盖全部黄油嘴SKU，含角度规格的旧名称归入本类型。	frozen	060c072679238cd28a029485beb5cf5827835d1c6136f629a0fba6fcf6d7cf6b
CHEM-000074	MT-F2BDF488FE05	黄油嘴	exact_current_name	补充角度属性后已覆盖全部黄油嘴SKU，含角度规格的旧名称归入本类型。	frozen	51c44435b5182e66130d9e47083f6f5feb9e727a3ba71c10329824abefc9449f
CHEM-000075	MT-F2BDF488FE05	黄油嘴	exact_current_name	补充角度属性后已覆盖全部黄油嘴SKU，含角度规格的旧名称归入本类型。	frozen	c722a7143bcf1ddad0136340308abc1087736cf5a04f2e4690921dbaf6ef7c9c
CHEM-000076	MT-F2BDF488FE05	黄油嘴	exact_current_name	补充角度属性后已覆盖全部黄油嘴SKU，含角度规格的旧名称归入本类型。	frozen	b94eb6905e2dbe335e288a2eea2685279c5d635971384b29bacda5066298a144
CHEM-000077	MT-F2BDF488FE05	黄油嘴	exact_current_name	补充角度属性后已覆盖全部黄油嘴SKU，含角度规格的旧名称归入本类型。	frozen	aceb38af486ee44dc2163542184ecb58b1708dd30b2d1155979b111459de7d74
CHEM-000078	MT-533BD564EE08	洗洁精	exact_current_name	洗涤剂类型独立，容量归SKU属性。	frozen	a7f290392a9b6227bd4a32a5c7f3f73c526dc6f10201ba5688d12926ecc4ce73
CHEM-000079	MT-7A84B38CEDD9	人工草皮	exact_current_name	人工草皮为仿草皮铺装材料，草高等为SKU属性。	frozen	32bbad01b6ff124e01f67888eec8fb6c41933bff42653a6e696f8955076e77ba
CHEM-000080	MT-8E0745C32BBC	胶枪	exact_current_name	胶枪名称合格，适用材料设为必填	frozen	d4b8362bdc70bf3c25f5c5545ab5589edd17d98d40039d446dc5c8cdba864ab7
CHEM-000081	MT-EB54F5C192D0	机油	exact_current_name	机油为独立内燃机润滑油类型。	frozen	c0529d28cda4c60b5737aba78c60c28bfa34d152fef2a71b2e08a546a01fcf31
CHEM-000083	MT-2C6F9D2B1067	泡棉双面胶带	exact_current_name	该族现有双面胶带均为海绵/泡沫/泡沫棉泡棉基材；更名为泡棉双面胶带，与胶粘密封族通用双面胶带形成清晰边界。	frozen	5c6cc0fc19999debd2bd894ea0469af51fd6914629a71d1ca131459cdaeb4af6
CHEM-000085	MT-31866361124C	防锈润滑剂	exact_current_name	名称合格，品牌和容量留在SKU属性。	frozen	0983c30b12999a7a77b64b0d8c9bdc3ca040b12246681acf1540d9f2f9cbf6b9
CHEM-000087	MT-96A19CDD2689	快速接头胶垫	exact_current_name	旧名称过宽，证据均为快速接头胶垫，标准名收窄为快速接头胶垫。	frozen	3a08e67845e21ea34ee99fe6a939b412ac20d198202049421a3d361cac7923ec
CHEM-000088	MT-96A19CDD2689	快速接头胶垫	exact_current_name	旧名称过宽，证据均为快速接头胶垫，标准名收窄为快速接头胶垫。	frozen	1a95641b51fcf201a8b34ac6a6255a98add62d0067c9d62de94320fde429b42c
CHEM-000089	MT-5665A4B7B843	橡胶加工件	exact_current_name	名称稳定，截面和材质留在SKU属性。	frozen	28e7e36878d8cfc2ea53b9bd3bd2fcd7b0d57c21b5013f987c9fc3184c76dcbc
CHEM-000090	MT-336F13215B77	清洗机专用油	exact_current_name	清洗机专用油为独立设备专用油类型。	frozen	7c90f865465514b1eb8753ac960528d2c8650059820518004efc607509cb8a93
CHEM-000091	MT-B1F91331D072	高压清洗机滤网	exact_current_name	现有名称已是稳定类型，外径放入SKU属性。	frozen	02208e190012f8b686c60eb130128b1f3d206b39080442014f940349eb413565
CHEM-000092	MT-2849DC3D05E4	润滑脂	exact_current_name	克虏伯NB52只证明品牌/型号，不足以推断设备专用，保留为未标注用途的润滑脂。	frozen	8559053ffaaa8529aab91bbdad8d0840303307cda9b41e7a7b20fa6a1dcab222
CHEM-000093	MT-8EFBFA8E3D41	泵头	exact_current_name	现有名称已是稳定类型，品牌和型号放入SKU属性。	frozen	41feb1128203641bc2eac75c1d63b3d2c497b473fb6e55b5e1a2bb8b7b6ebc26
CHEM-000095	MT-7B5749411F6B	齿轮油	exact_current_name	齿轮油为独立齿轮传动用油类型。	frozen	9b6253c54e7d2b3160a30535c53e6caf0afe1d7531541b3e060cc6aa1cb98452
CHEM-000099	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	30146c709bd9adec448a902881bc3e9ba863a5e8e2f1f020582ada31cc115ffe
CHEM-000101	MT-4F7924C8DD76	封箱胶带	exact_current_name	标准名称稳定，按宽度/长度/颜色区分SKU。	frozen	bcfc0dfd1e6088af978386ebdf2f6a46a8968b0827e00a219a566560aabb857c
CHEM-000102	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	3aea637a84f0ff9e47b70e7076e5df42d4879c19a1ac356376cde0bf162a3c1e
CHEM-000103	MT-0981473E7197	稀释剂	exact_current_name	稀释剂为独立油漆稀释剂类型。	frozen	da8e146398c204648a24dc299b18587faa787ea63caa1948fedb788d284fe523
CHEM-000107	MT-E5CE27BC4AAB	滚筒刷	exact_current_name	滚筒刷为稳定刷涂耗材类型，规格和宽度入属性。	frozen	98124fe73364cbc0b2ecfdc9206c2a73146d59611fe2683421816a43df4b0e38
CHEM-000108	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	1a8f5ffa7f5691baf1b608ce3e3599999d5b7f4ecd7ebf01b0138ce06f6378b4
CHEM-000110	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	2ce62687bb6548be5b62192d6ab8c6c94c0e26dc2875675283e4fa252f0eec79
CHEM-000111	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	ce2471e3acc706ebd36550e7aed0445a53a362ccdd77cfb54379e8e321095c2b
CHEM-000112	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	d72890295ffe89cc4fc8b68f9c2f69e115c362ac9744e2bd829a56577c52cba8
CHEM-000113	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	0d216189b266fe3c562d3abdfcca3ea67e8419e61a0f1ea88bbca96b896ee65f
CHEM-000114	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	789c8fe018afbe285d89ba3d59e89820b7bce87d8bd89ca4f41be38e9c7e0ce4
CHEM-000115	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	83802e992fe4d459732ea9b7e9f1a236ed9c026ec8d3d05f7b191a675843a222
CHEM-000117	MT-E5CE27BC4AAB	滚筒刷	exact_current_name	滚筒刷为稳定刷涂耗材类型，规格和宽度入属性。	frozen	64d35edbc2b3d11aa4bc4b762ecfc09d656f4857c3d30a5ed2360c269b83b25b
CHEM-000120	MT-0508F13A1EA0	油漆	exact_current_name	现有SKU以颜色/金属效果区分，均属通用油漆，无需拆分。	frozen	d73bc22a79bce4afca4e5de6cac2cd141907c1c517b9dde0f7eddac6050a8fd1
CHEM-000121	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	f9031fecd1543264347bf9dd11dcea2765ed470439e980493816e1c5d30c7565
CHEM-000122	MT-D894CDB2CC17	平板输送带	exact_current_name	现有名称已是稳定类型，宽度、厚度、长度、材质放入SKU属性。	frozen	83462c27a7df252d25bee04a46cc9afa3acd4aef26cffb71a1c9467e2cd616a9
CHEM-000123	MT-0508F13A1EA0	油漆	exact_current_name	现有SKU以颜色/金属效果区分，均属通用油漆，无需拆分。	frozen	96b70a58d5b72916fa582d17733b1b476ebb9d7cc66ee17a1c34586a0723ee57
CHEM-000125	MT-3BF81E32BAFC	自喷漆	exact_current_name	气雾罐自喷漆商品特征明确。	frozen	2d02dd6f9d728afd3d676e38b585b796adb9cabbe046c96830900e50eead3bba
CHEM-000128	MT-EA5002FF3C63	不干胶标签	exact_current_name	名称稳定、含义明确，直接保留。	frozen	eef54f2358f5d0d249617b8958149ba111e5371400f20e311e6e1c38efff34e0
CHEM-000129	MT-EA5002FF3C63	不干胶标签	exact_current_name	名称稳定、含义明确，直接保留。	frozen	6fa025685308ca538c0eede353061d67e6f7e3d275a143c0e3fa2a674fd9f4d2
CHEM-000132	MT-730ABDA2E578	防锈漆	exact_current_name	以防锈功能为采购入口，类型稳定。	frozen	24d38f961dfd9fc765d2504274e0d5de34803a4ab7bb15a503c724489ba5e444
CHEM-000133	MT-0508F13A1EA0	油漆	exact_current_name	现有SKU以颜色/金属效果区分，均属通用油漆，无需拆分。	frozen	8ce35da60ad36abcb53a611854709f34b2565ba8b18d252332b4ca2797cb8583
CHEM-000134	MT-D6CF0A391F04	除锈剂	exact_current_name	名称合格，品牌和容量留在SKU属性。	frozen	110b18be7c86610a42d543fba17a8bb1a0ff11af94b3e53385c7fe344cb9f792
