item_code	source_item_codes	merged_count	item_name	sku_name	required_specs	item_group	top_group	sub_group	material_family	unit	estimated_rate	currency	price_basis	default_fill_basis	aliases	brand	model	original_item_name	original_sku_name	original_required_specs	original_unit	updated_at
ADMIN-000001	ADMIN-000001	1	热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	37.50	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	热水壶			热水壶	热水壶 不锈钢 2L	材质：不锈钢；容量：2L	个	2026-07-08
ADMIN-000002	ADMIN-000002	1	洁厕剂	洁厕剂 500ml	容量：500ml	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	瓶	9.75	CNY	按500ml瓶装估价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	洁厕灵；洁厕剂			洁厕剂	洁厕剂 500ml	容量：500ml	瓶	2026-07-08
ADMIN-000003	ADMIN-000003	1	水壶	水壶 6.5升不锈钢	材质：不锈钢；容量：6.5升	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	60.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	6.5升不锈钢水壶；水壶			水壶	水壶 6.5升不锈钢	材质：不锈钢；容量：6.5升	个	2026-07-08
ADMIN-000004	ADMIN-000004	1	水桶	水桶 20L	容量：20L	包装覆盖周转/容器周转箱	包装覆盖周转	容器周转箱	容器周转箱	个	29.00	CNY	按个估价，20L水桶；按物料族“容器周转箱”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.4500；金额按四舍五入保留两位小数。	无需补齐	水桶			水桶	水桶 20L	容量：20L	个	2026-07-08
ADMIN-000005	ADMIN-000005	1	垃圾袋	垃圾袋 120*140cm	尺寸：120*140cm	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	0.78	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	大垃圾袋；垃圾袋；大垃圾袋子；120垃圾袋；垃圾袋1.2m*1.4m			垃圾袋	垃圾袋 120*140cm	尺寸：120*140cm	个	2026-07-08
ADMIN-000006	ADMIN-000006	1	记号笔	记号笔 黑色	颜色：黑色；墨水类型：油性	清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	2.50	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	墨水类型按常见油性补齐	记号笔；黑色笔；黑色记号笔；得力黑色记号笔	得力		记号笔	记号笔 黑色	颜色：黑色	支	2026-07-08
ADMIN-000007	ADMIN-000007	1	油污清洗剂	油污清洗剂 重油污 25KG/桶 宝雅	包装：25KG/桶；用途：重油污	化工胶粘涂料/清洗脱漆剂	化工胶粘涂料	清洗脱漆剂	清洗脱漆剂	桶	157.20	CNY	按1桶25KG估价；按物料族“清洗脱漆剂”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=1.3100；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	宝雅重油污清洗剂;重油污清洗剂；去重油污清洗剂;重油污清洗剂；重油污清洗剂	宝雅		油污清洗剂	油污清洗剂 25KG	包装：25KG；用途：重油污	KG	2026-07-08
ADMIN-000008	ADMIN-000008	1	垃圾袋	垃圾袋 120*140cm 厚	尺寸：120*140cm；厚度：厚	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	1.17	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	120*140厚垃圾袋；垃圾袋			垃圾袋	垃圾袋 120*140cm 厚	尺寸：120*140cm；厚度：厚	个	2026-07-08
ADMIN-000009	ADMIN-000009	1	方凳	方凳 50cm	材质：塑料；规格/尺寸：50cm	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	15.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	加厚50CM塑料方凳；塑料方凳			方凳	方凳 50cm	材质：塑料；规格/尺寸：50cm	个	2026-07-08
ADMIN-000011	ADMIN-000011	1	记号笔	记号笔 白色	颜色：白色；墨水类型：油性	清洁办公后勤/办公文具	清洁办公后勤	办公文具	办公文具	支	2.00	CNY	按支计价；按物料族“办公文具”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=1.0000；金额按四舍五入保留两位小数。	墨水类型按常见油性补齐	白色记号笔；记号笔			记号笔	记号笔 白色	颜色：白色	支	2026-07-08
ADMIN-000012	ADMIN-000012	1	床垫	床垫 单人	尺寸：单人；材质：海绵	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	150.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	床垫			床垫	床垫 单人	尺寸：单人；材质：海绵	个	2026-07-08
ADMIN-000014	ADMIN-000014	1	电视支架	电视支架 70寸	适配尺寸：70寸	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	75.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	70寸电视支架；电视支架			电视支架	电视支架 70寸	适配尺寸：70寸	个	2026-07-08
ADMIN-000015	ADMIN-000015	1	电源线	电源线 C13 1.8米	接口：C13；长度：1.8米	电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	20.17	CNY	按C13电源线1.8米市场均价10元/条估价；按物料族“电线电缆”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.0171；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	打印机电源线			电源线	电源线 C13 1.8米	接口：C13；长度：1.8米	条	2026-07-08
ADMIN-000016	ADMIN-000016	1	数据线	数据线 USB 2.0 A-B 1.5m	接口：USB 2.0 A-B；长度：1.5m	电气电料/电线电缆	电气电料	电线电缆	电线电缆	条	16.14	CNY	按USB2.0 A-B数据线1.5米市场均价8元/条估价；按物料族“电线电缆”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=2.0171；金额按四舍五入保留两位小数。	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	打印机数据线			数据线	数据线 USB 2.0 A-B 1.5m	接口：USB 2.0 A-B；长度：1.5m	条	2026-07-08
ADMIN-000017	ADMIN-000017	1	办公椅	办公椅 网布	材质：网布	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	把	112.50	CNY	按把估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	多功能办公椅；办公椅；得力多功能椅子	得力		办公椅	办公椅 网布	材质：网布	把	2026-07-08
ADMIN-000018	ADMIN-000018	1	鼠标	鼠标 无线	连接方式：无线	清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	45.00	CNY	按个计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	无需补齐	小米鼠标；鼠标；无线鼠标	小米		鼠标	鼠标 无线	连接方式：无线	个	2026-07-08
ADMIN-000021	ADMIN-000021	1	除甲醛机	除甲醛机	用途：办公室；适用面积：100-200㎡	清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	个	450.00	CNY	按个计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	适用面积按典型办公室除醛机100-200㎡补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	办公室除甲醛机；除甲醛机			除甲醛机	除甲醛机	用途：办公室	个	2026-07-08
ADMIN-000022	ADMIN-000022	1	多功能打印机	惠普多功能打印机	品牌：惠普；类型：激光多功能一体机	清洁办公后勤/办公设备	清洁办公后勤	办公设备	办公设备	台	1800.00	CNY	按台计价；按物料族“办公设备”抽样复核中位数调整；样本数=1；可靠性=low；调整系数=0.9000；金额按四舍五入保留两位小数。	类型按常见激光多功能一体机补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	惠普多功能打印机；多功能打印机	惠普		多功能打印机	惠普多功能打印机	品牌：惠普	台	2026-07-08
ADMIN-000023	ADMIN-000023	1	办公桌	办公桌 1.2米*0.6米 板式	尺寸：1.2米*0.6米；材质：板式	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	张	150.00	CNY	按张估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	办公桌			办公桌	办公桌 1.2米*0.6米 板式	尺寸：1.2米*0.6米；材质：板式	张	2026-07-08
ADMIN-000026	ADMIN-000026	1	棉布	棉布 大块	规格：大块	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	7.13	CNY	按kg计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	大块棉布			棉布	棉布 大块	规格：大块	kg	2026-07-08
ADMIN-000027	ADMIN-000027	1	吸油棉	吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：PP	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	张	2.38	CNY	按张计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	40*50*5吸油棉；吸油棉；5MM厚吸油棉；吸油棉40cm*50cm*5mm			吸油棉	吸油棉 400*500*5mm	规格/尺寸：400*500*5mm；材质：PP	张	2026-07-08
ADMIN-000029	ADMIN-000029	1	拖把	拖把	规格：通用；材质：棉布	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	7.13	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	材质按常见棉拖把补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	拖把			拖把	拖把	规格：通用	把	2026-07-08
ADMIN-000030	ADMIN-000030	1	抹布	抹布 通用	材质：棉质	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	条	1.43	CNY	按条计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	抹布			抹布	抹布 通用	材质：棉质（默认）	条	2026-07-08
ADMIN-000031	ADMIN-000031	1	垃圾桶	垃圾桶 120L	容量：120L；材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	38.00	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	材质按常见塑料垃圾桶补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	大垃圾桶；垃圾桶120L			垃圾桶	垃圾桶 120L	容量：120L	个	2026-07-08
ADMIN-000032	ADMIN-000032	1	垃圾袋	垃圾袋 50*60cm	尺寸：50*60cm	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	0.29	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	垃圾袋子；垃圾袋			垃圾袋	垃圾袋 50*60cm	尺寸：50*60cm	个	2026-07-08
ADMIN-000033	ADMIN-000033	1	电视支架	电视支架 通用	适配尺寸：通用	清洁办公后勤/生活后勤	清洁办公后勤	生活后勤	生活后勤	个	60.00	CNY	按个估价；按物料族“生活后勤”抽样复核中位数调整；样本数=4；可靠性=medium；调整系数=0.7500；金额按四舍五入保留两位小数。	无需补齐	电视支架			电视支架	电视支架 通用	适配尺寸：通用	个	2026-07-08
ADMIN-000034	ADMIN-000034	1	垃圾袋	垃圾袋 100*120cm	尺寸：100*120cm	清洁办公后勤/清洁用品	清洁办公后勤	清洁用品	清洁用品	个	0.49	CNY	按个计价；按物料族“清洁用品”抽样复核中位数调整；样本数=2；可靠性=low；调整系数=0.9750；金额按四舍五入保留两位小数。	无需补齐	100*120垃圾袋；垃圾袋；垃圾袋1m*1.2m			垃圾袋	垃圾袋 100*120cm	尺寸：100*120cm	个	2026-07-08
ADMIN-000035	ADMIN-000035	1	扫把	扫把 竹 大	材质：竹；规格：大	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	7.13	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	大号竹扫把；竹扫把；大竹扫把			扫把	扫把 竹 大	材质：竹；规格：大	把	2026-07-08
ADMIN-000037	ADMIN-000037	1	扫把	扫把 通用	材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	把	3.80	CNY	按把计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	材质按常见塑料扫把补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	扫把			扫把	扫把 通用	材质：通用	把	2026-07-08
ADMIN-000038	ADMIN-000038	1	扫斗	塑料扫斗	材质：塑料	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	个	2.38	CNY	按个计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐	扫斗			扫斗	塑料扫斗	材质：塑料	个	2026-07-08
ADMIN-000043	ADMIN-000043	1	抹布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质	清洁办公后勤/清洁工具	清洁办公后勤	清洁工具	清洁工具	千克	9.50	CNY	按kg计价；按物料族“清洁工具”抽样复核中位数调整；样本数=3；可靠性=medium；调整系数=0.4750；金额按四舍五入保留两位小数。	无需补齐；正式字段清理：将默认、常见、推定、约等口径词移出SKU名称/必填规格。	大块白抹布；抹布			抹布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质（默认）	kg	2026-07-08
