item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	aliases	brand	model
FAST-000033	螺丝套件	螺丝套件 M20*40	规格：M20*40；材质：碳钢；强度等级：8.8；表面处理：镀锌；套件组成：平垫+弹垫+螺母	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	M20*40螺丝；螺丝组件；螺丝套件		
SPARE-000015-68	6.8级螺栓	6.8级螺栓 M14×50	规格/口径：M14×50；材质：碳钢；强度等级：6.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	14*50螺丝；螺丝；8.8级螺栓；螺栓；6.8级螺栓		
PIPE-000141	直接/直通	镀锌直接 50	材质：镀锌；规格：50	管材管件阀门	直接/接头	直接/接头	个	50镀锌直通；镀锌直通		
PIPE-000456	异径接头/大小头	镀锌异径接头 1寸/6分	材质：镀锌碳钢；连接：螺纹；规格：1寸/6分	管材管件阀门	直接/接头	直接/接头	只	镀锌大小头1寸/6分；镀锌变径接头		
PIPE-000218	接头夹	接头夹 50 铜头铝扣	口径：DN50；材质：铜头铝扣	液压气动	液压接头	液压接头	个	铜头铝套组件；50铜头铝扣；铜头铝合金夹		
PIPE-000106	管加工件	管加工件 80 外丝 钢管	材质：钢管；公称口径：80（DN80）；接口：外丝；长度：按需定尺	定制加工件	定制管路件	定制管路件	根	加工80钢管带牙；带牙钢管加工件		
PIPE-000457	管加工件	管加工件 PVC Φ200*1.5m	材质：PVC；公称口径：Φ200mm；长度：1.5m	定制加工件	定制管路件	定制管路件	根	加工PVC管Φ200*1.5m；PVC管加工件		
PIPE-000257	减压阀	减压阀 DN50	公称直径：DN50	管材管件阀门	阀门	阀门	个	DN50国标减压阀；减压阀		
TOOL-000077	冲击钻头	冲击钻头 30*400	规格/直径: 30mm；长度: 400mm	工具耗材	钻头	钻头	支	方大同30x400冲击钻头；冲击钻头	方大同	
ELEC-000147	按钮指示灯	按钮指示灯 AC220V 红色 22mm	电压：AC220V；颜色：红色；开孔尺寸：22mm	电气电料	低压电器	低压电器	套	启动按钮指示灯		
CHEM-000142	乳胶漆	立邦 白色防水乳胶漆 18KG	品牌：立邦；颜色：白色；特性：防水；包装容量：18KG	化工胶粘涂料	油漆涂料	油漆涂料	桶	立邦白色防水乳胶漆18KG；防水乳胶漆	立邦	
MAT-000228	毛巾	毛巾 34*75cm	材质：棉；规格/尺寸：34*75cm	清洁办公后勤	生活后勤	生活后勤	条	棉毛巾		
PIPE-000325	胶管总成	胶管总成 36*2-2层 3.9米	规格：36*2；层数：2层；长度：3.9米；接头形式：两端接头	液压气动	胶管总成	胶管总成	根	胶管36*2-2层-3.9米；胶管总成		
PIPE-000075	弯头	UPVC弯头 32mm 45°	材质：UPVC；规格/口径：32mm；角度：45度	管材管件阀门	弯头	弯头	个	32*45弯头；UPVC45度弯头		
ELEC-000237	电缆	电缆 YJV 3*2.5+1*1.5 铜芯	型号：YJV；规格：3*2.5+1*1.5	电气电料	电线电缆	电线电缆	米	起帆电缆线3*2.5+1*1.5；电缆	起帆	YJV
ADMIN-000043	抹布	抹布 白色大块	颜色：白色；尺寸：大块；材质：棉质	清洁办公后勤	清洁工具	清洁工具	千克	大块白抹布；抹布		
PIPE-000294	骑马卡	骑马卡 DN200 不锈钢	材质：不锈钢；公称直径：DN200	紧固件与连接件	管卡/抱箍	管卡/抱箍	个	DN200不锈钢骑马卡；骑马卡		
