item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	old_estimated_rate	reviewed_rate	ratio	pct_diff	confidence	old_price_basis	review_price_basis	review_notes
FAST-000022	螺丝套件	螺丝套件 M6*25 8.8级镀锌	规格：M6*25；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.60	0.45	0.7500	-25.00%	medium	按M6*25碳钢8.8级镀锌螺丝套件市场价估价，单位=套	按单套 M6*25 8.8级镀锌螺丝套件常见工程采购价估算	套件组成未明，按螺栓配常规垫件口径
FAST-000025	内六角螺丝	内六角螺丝 M8*45	规格：M8*45；强度等级：12.9；材质：碳钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	1.10	0.80	0.7273	-27.27%	high	按单个市场估价	按单个 M8*45 12.9级发黑内六角螺丝常见工程采购价估算	品牌不明，按国产普通高强度螺丝
FAST-000033	螺丝套件	螺丝套件 M20*40	规格：M20*40；材质：碳钢；强度等级：8.8；表面处理：镀锌；套件组成：平垫+弹垫+螺母	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	1.60	3.80	2.3750	137.50%	high	按套市场估价	按单套 M20*40 8.8级镀锌螺栓含平垫弹垫螺母常见工程采购价估算	品牌不明，按国产普通紧固件
FAST-000053	8.8级螺栓	8.8级螺栓 M20×130	规格/口径：M20×130；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	2.60	4.50	1.7308	73.08%	medium	按单个市场估价	按单个 M20×130 8.8级镀锌碳钢外六角螺栓常见工程采购价估算	未注明标准和是否含螺母垫片，按单螺栓估算
FAST-000067	高强度螺栓	高强度螺栓 M30*80 10.8级发黑	规格：M30*80；强度等级：10.8；材质：合金钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	7.00	8.50	1.2143	21.43%	medium	按10.8级M30*80合金钢发黑螺栓单个市场价估价，单位=个	按单个 M30*80 10.8级发黑高强度螺栓常见工程采购价估算	品牌不明，按国产普通高强度螺栓
FAST-000096	内六角螺丝套件	内六角螺丝套件 M5*10	材质：不锈钢；规格/口径：M5*10；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.60	0.50	0.8333	-16.67%	low	按套市场估价	按单套 M5*10 内六角螺丝配平垫弹垫小规格采购价估算	材质与12.9级发黑表述不完全一致，按普通小规格套件
FAST-000106	自攻螺丝	自攻螺丝 M5*60	直径：M5；长度：60mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	只	0.30	0.20	0.6667	-33.33%	high	按只市场估价	按单只 M5*60 镀锌十字自攻螺丝散采价估算	无
SPARE-000015-68	6.8级螺栓	6.8级螺栓 M14×50	规格/口径：M14×50；材质：碳钢；强度等级：6.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	0.70	0.80	1.1429	14.29%	high	按单个价，单价对应单位=个	按单个 M14*50 镀锌碳钢 6.8级螺栓常见散采价估算	无
SPARE-000019	8.8级螺栓	8.8级螺栓 M12×60	规格/口径：M12×60；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	0.80	1.10	1.3750	37.50%	high	按单个价，单价对应单位=个	按单个 M12×60 8.8级镀锌碳钢螺栓常见工程采购价估算	未注明标准和是否含螺母垫片，按单螺栓估算
SPARE-000031	内六角螺丝	内六角螺丝 M10*40	规格：M10*40；强度等级：12.9；材质：碳钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	1.00	1.20	1.2000	20.00%	high	按单个市场估价	按单个 M10*40 12.9级发黑内六角螺丝常见采购价估算	品牌不明，按国产普通品牌
