material_family	sample_count	high_count	medium_count	low_count	old_avg_rate	reviewed_avg_rate	mean_ratio	median_ratio	suggested_adjustment_factor	suggested_pct_diff	min_ratio	max_ratio	reliability
螺丝/螺栓	11	6	4	1	1.63	2.51	1.4218	1.2000	1.2000	20.00%	0.6667	3.6250	medium
直接/接头	8	4	4	0	5.31	29.38	3.9685	2.9875	2.9875	198.75%	0.8000	9.7143	medium
定制管路件	7	0	1	6	112.86	227.57	2.8549	1.9429	1.9429	94.29%	0.6500	5.4167	low
液压接头	7	0	5	2	19.71	63.29	3.0397	2.5333	2.5333	153.33%	1.8667	7.2000	medium
钻头	6	3	3	0	19.00	33.05	1.9673	1.5889	1.5889	58.89%	0.8929	4.3333	medium
阀门	6	1	4	1	88.67	538.33	4.5624	4.1750	4.1750	317.50%	1.0909	8.5333	medium
低压电器	5	2	3	0	39.00	37.60	1.0192	1.0000	1.0000	0.00%	0.6333	1.4000	high
开关插座	4	4	0	0	20.25	23.88	1.1994	1.1800	1.1800	18.00%	0.9375	1.5000	medium
弯头	4	2	1	1	38.75	102.25	1.7750	1.7733	1.7733	77.33%	0.7200	2.8333	medium
油漆涂料	4	0	4	0	190.00	430.00	2.2666	2.3333	2.3333	133.33%	1.8000	2.6000	medium
生活后勤	4	3	1	0	77.50	55.25	0.8150	0.7500	0.7500	-25.00%	0.6000	1.1600	medium
电线电缆	4	2	2	0	15.62	32.88	2.0450	2.0171	2.0171	101.71%	1.8333	2.3125	medium
胶管总成	4	0	2	2	573.00	413.75	0.8591	0.8846	0.8846	-11.54%	0.5909	1.0764	medium
三通	3	2	1	0	11.67	14.27	1.0556	1.0000	1.0000	0.00%	0.9000	1.2667	medium
卸扣/卡环	3	0	3	0	44.67	132.00	2.7833	2.8333	2.8333	183.33%	2.2667	3.2500	medium
型钢	3	1	1	1	31.67	86.00	5.3944	2.5000	2.5000	150.00%	2.0833	11.6000	medium
定制结构件	3	0	1	2	875.00	1813.33	2.0822	2.0800	2.0800	108.00%	1.5000	2.6667	low
扳手	3	3	0	0	40.00	56.00	1.4889	1.1333	1.1333	13.33%	0.7333	2.6000	medium
接线端子/线鼻子	3	2	1	0	7.67	8.27	1.0611	1.0000	1.0000	0.00%	0.9333	1.2500	medium
测量工具	3	1	2	0	76.67	172.67	2.3222	1.7333	1.7333	73.33%	1.4000	3.8333	medium
清洁工具	3	3	0	0	11.33	7.43	0.6250	0.4750	0.4750	-52.50%	0.4000	1.0000	medium
电工辅材	3	0	3	0	20.00	27.67	1.5556	0.8667	0.8667	-13.33%	0.8000	3.0000	medium
管卡/抱箍	3	2	1	0	4.17	18.23	3.0845	2.4286	2.4286	142.86%	1.2000	5.6250	medium
管材	3	0	3	0	6.33	18.67	2.9833	3.0000	3.0000	200.00%	2.7500	3.2000	medium
胶粘密封	3	2	0	1	31.00	46.00	1.1583	1.5000	1.5000	50.00%	0.3500	1.6250	medium
膨胀锚栓	3	2	1	0	1.47	4.43	2.0845	1.7000	1.7000	70.00%	1.1250	3.4286	medium
门窗五金	3	2	1	0	24.33	35.00	1.9667	2.2500	2.2500	125.00%	1.2500	2.4000	medium
传动件	2	0	2	0	50.00	149.00	2.9800	2.9800	2.9800	198.00%	0.7600	5.2000	low
刷涂耗材	2	2	0	0	4.50	4.75	1.1666	1.1666	1.1666	16.66%	0.8333	1.5000	low
包装袋/吨袋	2	1	1	0	40.25	29.23	0.8125	0.8125	0.8125	-18.75%	0.7250	0.9000	low
垫圈/垫片	2	2	0	0	0.30	0.88	2.9166	2.9166	2.9166	191.66%	2.8333	3.0000	low
套筒	2	2	0	0	7.75	12.00	1.6909	1.6909	1.6909	69.09%	1.2000	2.1818	low
安全带/安全绳	2	1	1	0	92.50	34.10	0.5006	0.5006	0.5006	-49.94%	0.3611	0.6400	low
安全警示	2	2	0	0	20.00	49.00	2.4667	2.4667	2.4667	146.66%	2.4000	2.5333	low
定制板牌件	2	0	2	0	21.00	31.50	1.2500	1.2500	1.2500	25.00%	0.6667	1.8333	low
容器周转箱	2	1	1	0	45.00	64.00	1.4500	1.4500	1.4500	45.00%	1.2000	1.7000	low
密封过滤件	2	1	0	1	16.50	33.50	1.4167	1.4167	1.4167	41.67%	0.6667	2.1667	low
手套	2	2	0	0	4.50	5.50	1.2857	1.2857	1.2857	28.57%	1.0000	1.5714	low
手推搬运设备	2	0	2	0	300.00	350.00	1.2171	1.2171	1.2171	21.71%	0.9143	1.5200	low
检测仪器（候选新增）	2	1	0	1	765.00	1774.00	1.9667	1.9667	1.9667	96.67%	1.6000	2.3333	low
气体减压附件	2	1	1	0	70.00	102.50	1.5312	1.5312	1.5312	53.12%	1.0625	2.0000	low
气动接头	2	2	0	0	3.25	7.25	2.0000	2.0000	2.0000	100.00%	1.0000	3.0000	low
水泥砂石	2	0	2	0	15.00	22.00	1.4000	1.4000	1.4000	40.00%	1.2000	1.6000	low
水龙头/洁具配件	2	0	1	1	310.00	1160.00	2.7000	2.7000	2.7000	170.00%	1.0000	4.4000	low
泵类设备	2	0	2	0	750.00	680.00	1.0200	1.0200	1.0200	2.00%	0.6800	1.3600	low
泵类配件	2	0	2	0	75.00	64.00	0.6333	0.6333	0.6333	-36.67%	0.2667	1.0000	low
消防管件	2	0	2	0	16.50	39.50	2.1750	2.1750	2.1750	117.50%	1.7500	2.6000	low
润滑配件	2	2	0	0	5.50	0.90	0.1607	0.1607	0.1607	-83.93%	0.1500	0.1714	low
润滑防锈	2	1	1	0	60.00	219.50	3.1125	3.1125	3.1125	211.25%	1.4750	4.7500	low
清洁用品	2	2	0	0	3.10	2.50	0.9750	0.9750	0.9750	-2.50%	0.7000	1.2500	low
清洗脱漆剂	2	1	1	0	27.50	36.50	1.3100	1.3100	1.3100	31.00%	1.1200	1.5000	low
焊割工具	2	2	0	0	25.00	30.50	1.2334	1.2334	1.2334	23.34%	1.1667	1.3000	low
焊材	2	1	1	0	17.75	18.75	3.0000	3.0000	3.0000	200.00%	1.0000	5.0000	low
