sample_group	family_total_count	family_sample_count	item_code	item_name	sku_name	required_specs	top_group	sub_group	material_family	unit	estimated_rate	currency	price_basis	default_fill_basis	aliases	brand	model	source_item_codes	merged_count
螺丝/螺栓	104	11	FAST-000022	螺丝套件	螺丝套件 M6*25 8.8级镀锌	规格：M6*25；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.60	CNY	按M6*25碳钢8.8级镀锌螺丝套件市场价估价，单位=套	无需补齐	M6*25螺丝；螺丝组件；螺丝套件			FAST-000022	1
螺丝/螺栓	104	11	FAST-000025	内六角螺丝	内六角螺丝 M8*45	规格：M8*45；强度等级：12.9；材质：碳钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	1.10	CNY	按单个市场估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	M8*45内六角螺丝；内六角螺丝；螺丝			FAST-000025	1
螺丝/螺栓	104	11	FAST-000033	螺丝套件	螺丝套件 M20*40	规格：M20*40；材质：碳钢；强度等级：8.8；表面处理：镀锌；套件组成：平垫+弹垫+螺母	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	1.60	CNY	按套市场估价	补充了套件组成：平垫+弹垫+螺母；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	M20*40螺丝；螺丝组件；螺丝套件			FAST-000033	1
螺丝/螺栓	104	11	FAST-000053	8.8级螺栓	8.8级螺栓 M20×130	规格/口径：M20×130；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	2.60	CNY	按单个市场估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	M20*130螺丝；螺丝；8.8级螺栓；螺栓			FAST-000053	1
螺丝/螺栓	104	11	FAST-000067	高强度螺栓	高强度螺栓 M30*80 10.8级发黑	规格：M30*80；强度等级：10.8；材质：合金钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	7.00	CNY	按10.8级M30*80合金钢发黑螺栓单个市场价估价，单位=个	无需补齐	M30*80/10.8级螺丝；高强度螺丝；螺丝			FAST-000067	1
螺丝/螺栓	104	11	FAST-000096	内六角螺丝套件	内六角螺丝套件 M5*10	材质：不锈钢；规格/口径：M5*10；强度等级：12.9；表面处理：发黑；套件组成：平垫+弹垫	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	套	0.60	CNY	按套市场估价	补充了套件组成：平垫+弹垫；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	不锈钢内六角螺丝M5*10带平弹垫；内六角螺丝套件；螺丝套件			FAST-000096	1
螺丝/螺栓	104	11	FAST-000106	自攻螺丝	自攻螺丝 M5*60	直径：M5；长度：60mm；材质：碳钢；表面处理：镀锌；驱动类型：十字	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	只	0.30	CNY	按只市场估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	自攻螺丝60mm；自攻螺丝；螺丝			FAST-000106	1
螺丝/螺栓	104	11	SPARE-000015-68	6.8级螺栓	6.8级螺栓 M14×50	规格/口径：M14×50；材质：碳钢；强度等级：6.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	0.70	CNY	按单个价，单价对应单位=个	材质和表面处理按常见碳钢镀锌补齐	14*50螺丝；螺丝；8.8级螺栓；螺栓；6.8级螺栓			SPARE-000015-68	1
螺丝/螺栓	104	11	SPARE-000019	8.8级螺栓	8.8级螺栓 M12×60	规格/口径：M12×60；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	0.80	CNY	按单个价，单价对应单位=个	材质和表面处理按常见碳钢镀锌补齐	12*60螺丝；螺丝；8.8级螺栓；螺栓			SPARE-000019	1
螺丝/螺栓	104	11	SPARE-000031	内六角螺丝	内六角螺丝 M10*40	规格：M10*40；强度等级：12.9；材质：碳钢；表面处理：发黑	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	1.00	CNY	按单个市场估价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	10*40内六角；内六角螺丝；螺丝			SPARE-000031	1
螺丝/螺栓	104	11	SPARE-000082	8.8级螺栓	8.8级螺栓 M16×160	规格/口径：M16×160；材质：碳钢；强度等级：8.8；表面处理：镀锌	紧固件与连接件	螺丝/螺栓	螺丝/螺栓	个	1.60	CNY	按单个价，单价对应单位=个	材质和表面处理按常见碳钢镀锌补齐	16*160螺丝；螺丝；8.8级螺栓；螺栓			SPARE-000082	1
直接/接头	71	8	PIPE-000088	直接/直通	PPR直接 4分	材质：PPR；规格：4分	管材管件阀门	直接/接头	直接/接头	个	1.00	CNY	按单个估价，单价对应单位=个	无需补齐	4分热熔接头；PPR热熔接头			PIPE-000088	1
直接/接头	71	8	PIPE-000141	直接/直通	镀锌直接 50	材质：镀锌；规格：50	管材管件阀门	直接/接头	直接/接头	个	4.00	CNY	按单个估价，单价对应单位=个	无需补齐	50镀锌直通；镀锌直通			PIPE-000141	1
直接/接头	71	8	PIPE-000171	异径接头/大小头	碳钢焊接异径接头 80*50	材质：碳钢；连接：焊接；规格：80mm*50mm	管材管件阀门	直接/接头	直接/接头	个	8.00	CNY	常见碳钢焊接大小头价	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	80*50大小头；异径接头			PIPE-000171	1
直接/接头	71	8	PIPE-000288	软接头	橡胶软接头 4寸 胶接	口径：4寸（DN100）；材质：橡胶；连接方式：胶接	管材管件阀门	直接/接头	直接/接头	套	12.00	CNY	按DN100橡胶软接头估价，单位套	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	4寸胶接头；胶接头			PIPE-000288	1
直接/接头	71	8	PIPE-000428	直接/直通	镀锌外丝直接 3寸	材质：镀锌；接口：外丝；规格：3寸	管材管件阀门	直接/接头	直接/接头	个	7.00	CNY	按单个估价，单价对应单位=个	无需补齐	镀锌外丝直接头3寸；镀锌外丝直接			PIPE-000428	1
直接/接头	71	8	PIPE-000430	直接/直通	镀锌内丝直接 2寸	材质：镀锌；接口：内丝；规格：2寸	管材管件阀门	直接/接头	直接/接头	个	5.00	CNY	按单个估价，单价对应单位=个	无需补齐	镀锌内丝直接头2寸；镀锌内丝直接2寸；镀锌内丝直接			PIPE-000430	1
直接/接头	71	8	PIPE-000456	异径接头/大小头	镀锌异径接头 1寸/6分	材质：镀锌碳钢；连接：螺纹；规格：1寸/6分	管材管件阀门	直接/接头	直接/接头	只	4.00	CNY	按单个估价，单价对应单位=只	无需补齐	镀锌大小头1寸/6分；镀锌变径接头			PIPE-000456	1
直接/接头	71	8	PIPE-000464	直接/直通	PPR直接 32	材质：PPR；规格：32	管材管件阀门	直接/接头	直接/接头	个	1.50	CNY	按单个估价，单价对应单位=个	无需补齐	PPR直接			PIPE-000464	1
液压接头	69	7	PIPE-000050	卡套三通	不锈钢卡套三通 6*12	规格：6*12；材质：不锈钢	液压气动	液压接头	液压接头	个	12.00	CNY	按常见不锈钢卡套三通单价估算	无需补齐；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	卡6*12不锈钢三通；不锈钢卡套三通			PIPE-000050	1
液压接头	69	7	PIPE-000155	快速接头	快速接头 GR6-25S DN25	型号：GR6-25S；口径：DN25；材质：碳钢	液压气动	液压接头	液压接头	套	25.00	CNY	按每套快速接头估价，单价对应单位=套	口径单位补齐	GR6-25S液压快速接头；液压快速接头			PIPE-000155	1
液压接头	69	7	PIPE-000174	堵头	高压钢制堵头 3/4英寸	口径：3/4英寸；材质：钢；压力等级：高压	液压气动	液压接头	液压接头	个	6.00	CNY	按常见高压堵头单价估算	补齐材质：钢；压力等级：高压；层级字段锁定：物料名称/分组取自 release_v0_3，DeepSeek 仅补SKU、规格、单位和测试价。	3/4高压堵头；高压堵头			PIPE-000174	1
液压接头	69	7	PIPE-000218	接头夹	接头夹 50 铜头铝扣	口径：DN50；材质：铜头铝扣	液压气动	液压接头	液压接头	个	15.00	CNY	按单个接头夹估价，单价对应单位=个	口径单位补齐	铜头铝套组件；50铜头铝扣；铜头铝合金夹			PIPE-000218	1
