item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
FAST-000033	3.80	CNY	套	high	按单套 M20*40 8.8级镀锌螺栓含平垫弹垫螺母常见工程采购价估算	品牌不明，按国产普通紧固件
SPARE-000015-68	0.80	CNY	个	high	按单个 M14*50 镀锌碳钢 6.8级螺栓常见散采价估算	无
PIPE-000141	9.50	CNY	个	high	按单个 DN50 镀锌内丝直接常见工程管件采购价估算	无
PIPE-000456	5.50	CNY	只	high	按单只 1寸转6分镀锌螺纹异径接头常见采购价估算	无
PIPE-000218	38.00	CNY	个	low	按单个 DN50 铜头铝扣接头夹组件小批量采购价估算	结构形式不完全明确，按普通国产组件
PIPE-000106	120.00	CNY	根	low	按单根 DN80 钢管外丝定制加工短管含套丝加工费估算	长度未给，按常见短节加工件
PIPE-000457	150.00	CNY	根	medium	按单根 Φ200 PVC 管 1.5米含裁切加工常见采购价估算	壁厚和压力等级不明，按普通排水管级别
PIPE-000257	480.00	CNY	个	low	按单个 DN50 国产普通减压阀工程采购价估算	连接形式和阀体材质不明
TOOL-000077	38.00	CNY	支	medium	按单支 30*400 方大同冲击钻头常见五金采购价估算	钻柄形式未明确
ELEC-000147	12.00	CNY	套	high	按单套 AC220V 红色 22mm 按钮指示灯常见低压电器采购价估算	无
CHEM-000142	360.00	CNY	桶	medium	按单桶立邦白色防水乳胶漆 18KG 常见工程采购价估算	具体系列未明确
MAT-000228	8.00	CNY	条	high	按单条 34*75cm 棉毛巾普通后勤采购价估算	无
PIPE-000325	360.00	CNY	根	low	按单根 36*2 两层 3.9米两端接头液压胶管总成估算	接头规格和压力等级不明
PIPE-000075	2.20	CNY	个	high	按单个 32mm UPVC 45度弯头常见给排水管件采购价估算	无
ELEC-000237	12.50	CNY	米	high	按每米起帆 YJV 铜芯 3*2.5+1*1.5 电缆常见采购价估算	铜价波动会影响单价
ADMIN-000043	9.50	CNY	千克	high	按每千克白色大块棉质抹布普通后勤采购价估算	无
PIPE-000294	45.00	CNY	个	medium	按单个 DN200 不锈钢骑马卡工程管卡采购价估算	不锈钢牌号和厚度不明
MAT-000115	75.00	CNY	个	high	按单个中型国产普通闭门器五金采购价估算	品牌不明
TOOL-000119	28.00	CNY	把	high	按单把 60cm 铝合金水平尺常见工具采购价估算	无
PIPE-000475	22.00	CNY	米	medium	按每米 80mm 高压水带常见工程采购价估算	压力等级和材质层数不明
PIPE-000069	3.00	CNY	个	high	按单个 32mm UPVC 三通常见给排水管件采购价估算	无
CONST-000039	12.00	CNY	千克	medium	按每千克 3mm 绝缘橡胶板常见电工辅材采购价估算	耐压等级未明确
MAT-000198	260.00	CNY	个	medium	按单个 25T 卸扣常见吊装索具采购价估算	品牌和执行标准不明
TOOL-000244	4.50	CNY	把	high	按单把 2.5寸羊毛刷普通刷涂耗材采购价估算	无
PIPE-000283	65.00	CNY	个	medium	按单个 DN100 铝合金内扣式 1.6MPa 消防接头采购价估算	接口制式细节不明
SAFE-000051	6.50	CNY	平方米	medium	按每平方米 4m*6m 通用型油布折算采购价估算	材质和克重不明
METAL-000016	8.00	CNY	块	medium	按单块 30*60mm 不锈钢定制铭牌小批量加工价估算	蚀刻印字工艺和数量不明
MAT-000141	48.00	CNY	个	high	按单个 100mm 表盘 M20*1.5 60公斤压力表常见采购价估算	无
CONST-000006	220.00	CNY	张	medium	按单张 2440*1220*30mm 黑色建筑模板常见采购价估算	材质层数和覆膜质量不明
CHEM-000165	0.60	CNY	个	high	按单个 45度 M6*1.0 黄油嘴常见小五金采购价估算	无
FAST-000041	26.00	CNY	个	medium	按单个 M48 8级碳钢螺母常见紧固件采购价估算	表面处理未明确
TOOL-000162	48.00	CNY	把	high	按单把 6磅手锤常见工具采购价估算	无
WELD-000008	26.00	CNY	把	high	按单把 500A 电焊钳普通焊割工具采购价估算	无
MAT-CEM-000008	32.00	CNY	包	medium	按单包 50kg 袋装 42.5 水泥零星采购价估算	区域和水泥品牌会影响价格
SAFE-000004	8.00	CNY	副	high	按单副 11号遮光墨绿色焊工眼镜劳保采购价估算	无
SAFE-000019	3.50	CNY	包	high	按单包 10cm 双头 100支棉签普通采购价估算	无
MAT-000024	58.00	CNY	个	medium	按单个 1.2*1.2*1.5m 2吨吨袋常见包装采购价估算	新旧料和吊带结构不明
SPARE-000126	2.00	CNY	只	high	按单只 63*5 NBR O型圈常见密封件采购价估算	无
ELEC-000153	520.00	CNY	个	medium	按单个 500*600*300 不锈钢室外配电箱壳体采购价估算	不锈钢牌号和板厚不明
MAT-000016	24.00	CNY	根	high	按单根 2T*1.5米扁平吊装带常见吊装索具采购价估算	无
METAL-000064	155.00	CNY	条	medium	按单条 22mm HRB400 12米螺纹钢按理论重量和零星采购价估算	钢材行情波动较大
CHEM-000056	3.00	CNY	个	high	按单支黑色 1.0mm 油漆笔普通文具耗材采购价估算	无
SAFE-000127	12.00	CNY	瓶	medium	按单瓶 20ml 红花油常见急救用品采购价估算	品牌不明
MAT-000083	85.00	CNY	个	medium	按单个 G1/2 AFC 气源处理双联件普通气动元件采购价估算	品牌和过滤精度不明
SAFE-000013	12.00	CNY	盒	high	按单盒三层一次性口罩 50只普通劳保采购价估算	无
SAFE-000035	65.00	CNY	个	high	按单个 4KG 干粉灭火器常见消防器材采购价估算	无
MAT-000144	0.40	CNY	只	high	按单只 M6*28 弹簧钢弹性销常见紧固件采购价估算	无
SAFE-000058	55.00	CNY	套	high	按单套加厚雨衣套装常见劳保采购价估算	无
SPARE-000122	950.00	CNY	台	medium	按单台 5.5kW 380V 国产普通三相电机采购价估算	能效等级和安装形式不明
SAFE-000021	12.00	CNY	个	high	按单个 58cm 草帽普通劳保采购价估算	无
PIPE-000271	130.00	CNY	个	medium	按单个 65*50 法兰式橡胶软连接采购价估算	压力等级和法兰标准不明
TOOL-000271	78.00	CNY	套	medium	按单套 4-52mm 宝塔钻头开孔器常见工具采购价估算	套件组成和材质不明
CHEM-000050	10.50	CNY	千克	medium	按每千克 2cm 普通橡胶板材料采购价估算	胶料品质和硬度不明
SPARE-000096	15.00	CNY	个	low	按单个 86*65mm 合成纤维设备垫块小批量备件价估算	厚度和承载要求不明
SPARE-000100	1680.00	CNY	个	medium	按单台 2.2kW 380V 约2000m3/h 1500Pa 鼓风机采购价估算	风机形式和品牌不明
