domain	candidate_term	decision	suggested_family	split_rule	family_attributes	include_examples	exclude_examples	priority	confidence	reason
紧固件与连接件	螺丝	split	螺丝；膨胀锚栓；花篮螺丝；螺丝刀；螺杆；定制金属加工件	按实物功能和长词优先拆分；先识别膨胀、花篮/花兰、螺杆、螺丝刀、取出器、定制加工，再落普通螺丝	材质；规格；直径；长度；头型；槽型；螺纹形式；强度等级；表面处理；套件组成；包装	六角螺丝；内六角螺丝；自攻螺丝；钻尾螺丝；高强度螺丝套件	膨胀螺丝；花篮螺丝；花兰螺丝；一字螺丝刀；十字螺丝刀；螺丝取出器；螺杆泵水封	P0	high	候选覆盖普通紧固件、锚栓、索具拉紧器和工具，必须用长词优先防混族。
紧固件与连接件	膨胀锚栓	solidify	膨胀锚栓	膨胀螺丝、爆炸螺丝、膨胀钩统一归入；规则优先于普通螺丝	规格；直径；长度；材质；表面处理；头型/钩型；强度等级；包装	膨胀螺丝；膨胀钩；镀锌膨胀钩；爆炸螺丝	普通螺丝；钻尾螺丝；花篮螺丝；螺丝刀	P0	high	候选集中在紧固锚固件，现有样例已明确归并到膨胀锚栓。
紧固件与连接件	膨胀螺丝	solidify	膨胀锚栓	作为膨胀锚栓别名命中；不得再落普通螺丝	规格；直径；长度；材质；表面处理；强度等级；包装	膨胀螺丝；镀锌膨胀螺丝；爆炸螺丝	六角螺丝；自攻螺丝；钻尾螺丝；花篮螺丝	P0	high	膨胀螺丝本质是锚固件，和普通机螺丝采购属性不同。
紧固件与连接件	螺母	solidify	螺母	自锁气管接头螺母按气动接头配件排除	材质；规格；螺纹；强度等级；防松形式；表面处理；包装	螺母；防松螺母；自锁螺母；高强度螺母；不锈钢螺母	自锁气管接头螺母；气管接头螺母	P0	high	普通螺母覆盖集中，少量气动接头部件用排除词处理。
紧固件与连接件	螺杆	split	螺杆；泵类备件；泵类设备	紧固用螺杆、丝杆、通丝归螺杆；含螺杆泵整机或泵配件时按设备/备件拆出	材质；规格；直径；长度；螺纹形式；强度等级；表面处理	螺杆；长螺杆；全螺纹丝杆；通丝螺杆；高强度全牙螺杆	螺杆泵；螺杆泵水封；螺杆泵电机套装	P0	high	螺杆既有紧固件也有螺杆泵语义，不能按单词直接合并。
紧固件与连接件	螺栓	split	螺丝；花篮螺丝	普通六角/内六角螺栓按螺丝族；花篮螺栓按吊装索具拉紧器	材质；规格；直径；长度；头型；螺纹形式；强度等级；表面处理；套件组成	六角螺栓组件；内六角螺栓；高强度螺栓	花篮螺栓；膨胀螺栓；螺杆泵	P1	medium	现有螺栓低频但横跨普通紧固件和花篮拉紧器，规则要先拆长词。
紧固件与连接件	钻尾丝	solidify	螺丝	钻尾丝、钻尾螺丝按螺丝族命中，钻尾作为类型属性	材质；规格；直径；长度；头型；钻尾形式；表面处理；包装	钻尾丝；钻尾螺丝；燕尾螺丝	鱼尾螺丝；膨胀螺丝；花篮螺丝	P1	high	钻尾是螺丝子类型，边界清楚但不需要单独脱离螺丝大族。
紧固件与连接件	自攻螺丝	solidify	螺丝	自攻丝、自攻螺丝归螺丝族，自攻作为类型属性	材质；规格；直径；长度；头型；槽型；表面处理；包装	自攻螺丝；六角自攻螺丝；自攻丝	螺丝刀；膨胀螺丝；花篮螺丝	P1	high	自攻类样例稳定归紧固件螺丝，规则可作为普通螺丝子类型。
紧固件与连接件	六角	attribute_only	螺丝	仅在六角螺丝、内六角螺丝、六角螺栓等紧固件词组中作为头型/槽型属性；命中扳手、套筒、直接时排除	头型；槽型；规格；材质；强度等级	六角螺丝；内六角螺丝；六角螺栓组件	内六角扳手；内六角扳手套装；加长六角套筒；镀锌外丝六角直接	P2	high	六角描述形制，不是物料族；候选跨工具和管件，必须只作属性。
紧固件与连接件	套件	attribute_only	螺丝	仅螺丝套件、螺栓组件等归螺丝族并记录组成；其他设备/工具套装按各自实物族处理	套件组成；规格；材质；强度等级；表面处理；包装	T型螺丝套件；螺丝套件；六角螺栓组件；高强度螺丝套件	内六角扳手套装；电焊机套装；螺杆泵电机套装；水龙头花洒套装	P2	high	套件只是包装/组成状态，不应成为独立物料族。
