group_id	item_name	sku_count	old_groups	stock_uoms	quality_levels	agent_use_policies	sample_skus_specs_aliases
IMG-0001	502瞬干胶	1	化工耗材/胶粘剂	个	needs_review:1	clarify_specs_before_use:1	CHEM-000066 | 型号/俗称：502 | 502胶水
IMG-0002	502胶水	1	化工耗材/胶粘剂	支	needs_review:1	clarify_specs_before_use:1	CHEM-000003 | 类型：502 | 502胶水
IMG-0003	588密封胶	1	化工耗材/胶粘剂	支	usable:1	confirm_before_use:1	CHEM-000026 | 型号：588 | 588胶
IMG-0004	5号电池	1	电气/电池	节	usable:1	confirm_before_use:1	ELEC-000188 | 品牌：南孚；规格：5号 | 南孚电池5号
IMG-0005	7号电池	1	电气/电池	节	needs_review:1	clarify_specs_before_use:1	ELEC-000231 | 品牌：南孚；规格：7号 | 南孚电池7号
IMG-0006	AB胶	2	化工耗材/胶粘剂；胶粘剂/结构胶	套；支	needs_review:2	clarify_specs_before_use:2	CHEM-000022 | 品牌/型号：卡夹特；类型：AB胶 | 卡夹特AB胶 || CHEM-000104 | 品牌：三和；类型：AB胶 | 三和AB胶
IMG-0007	BV电线	4	电气材料/电线电缆	米	needs_review:3；usable:1	clarify_specs_before_use:3；confirm_before_use:1	ELEC-000015 | 品牌：起帆；型号：BV；截面积：2.5平方 | 起帆BV2.5平方电线；BV2.5起帆平方电线 || ELEC-000016 | 品牌：起帆；型号：BV；截面积：10平方 | 起帆BV10平方电线 || ELEC-000017 | 品牌：起帆；型号：BV；截面积：25平方 | 起帆BV25平方电线 || ELEC-000034 | 型号：BV；截面积：2.5平方 | BV2.5平方电线
IMG-0008	B型槽钢	3	金属材料/型材；钢材/型钢	米	needs_review:2；usable:1	clarify_specs_before_use:2；confirm_before_use:1	METAL-000123 | 规格：20#B | 20#B型槽钢 || METAL-000124 | 规格：16#B | 16#B型槽钢 || METAL-000168 | 型号：B型；规格：10# | 10#B型槽钢
IMG-0009	DT铜鼻子	4	电气材料/电缆附件	个	usable:4	confirm_before_use:4	ELEC-000114 | 型号：DT；适配线径：150mm2；材质：铜 | DT150平方铜鼻子 || ELEC-000115 | 型号：DT；适配线径：120mm2；材质：铜 | DT120平方铜鼻子 || ELEC-000116 | 型号：DT；适配线径：95mm2；材质：铜 | DT95平方铜鼻子 || ELEC-000117 | 型号：DT；适配线径：70mm2；材质：铜 | DT70平方铜鼻子
IMG-0010	LED充电头灯	1	电气材料/照明	个	needs_review:1	clarify_specs_before_use:1	ELEC-000084 | 类型：头灯；供电：充电；光源：LED | LED充电头灯
IMG-0011	LED塔灯	1	电气/照明灯具	台	needs_review:1	clarify_specs_before_use:1	ELEC-000171 | 品牌：欧普；类型：LED塔灯；电压：380V；功率：1KW | 欧普LED380V-1KW塔灯
IMG-0012	LED声光报警器	1	电气/报警器	只	needs_review:1	clarify_specs_before_use:1	ELEC-000252 | 光源：LED；电压：24V | LED声光报警器24V
IMG-0013	LED强光手电筒	1	工具/照明工具	只	needs_review:1	clarify_specs_before_use:1	TOOL-000339 | 供电方式：充电式；光源：LED；类型：强光 | 充电式LED强光手电筒
IMG-0014	LED探照灯	1	工具/照明工具	个	needs_review:1	clarify_specs_before_use:1	TOOL-000342 | 结构：手提式；光源：LED | 手提式探照灯LED
IMG-0015	LED浴室灯	1	电气材料/照明	个	usable:1	confirm_before_use:1	ELEC-000075 | 功率：50W；类型：浴室灯 | 50WLED浴室灯
IMG-0016	LED灯带	1	电气材料/照明	米	needs_review:1	clarify_specs_before_use:1	ELEC-000078 | 品牌：雷士；电压：36V；灯珠：120珠 | 雷士36V120珠灯带LED
IMG-0017	LED灯泡	7	电气/照明灯具；电气材料/照明	个；只	needs_review:7	clarify_specs_before_use:7	ELEC-000014 | 品牌：公牛；功率：40W | 40WLED公牛灯泡 || ELEC-000044 | 品牌：公牛；功率：20W | 公牛20WLED灯泡 || ELEC-000130 | 功率：40W；类型：LED | LED40W灯泡 || ELEC-000138 | 功率：50W；类型：LED | 50WLED灯泡 || ELEC-000168 | 品牌：飞利浦；功率：40W | 飞利浦led灯泡40W || ELEC-000169 | 品牌：飞利浦；功率：50W | 飞利浦led灯泡50W || ELEC-000236 | 类型：LED；功率：30W；接口：螺口 | LED30W螺口灯泡
IMG-0018	LED灯管	1	电气材料/照明	个	needs_review:1	clarify_specs_before_use:1	ELEC-000067 | 功率：38W；类型：LED灯管 | 38WLED灯管
IMG-0019	LED防爆机床方形灯	1	电气材料/防爆照明	套	needs_review:1	clarify_specs_before_use:1	ELEC-000040 | 长度：1220MM；类型：LED；功能：防爆；形状：方形；用途：机床 | 1220MMLED防爆机床方形灯
IMG-0020	OT铜端子	2	电气材料/电缆附件	个	usable:2	confirm_before_use:2	ELEC-000118 | 型号：OT25-8；线径规格：25mm2；孔径：8mm；材质：铜 | OT25-8铜端子 || ELEC-000119 | 型号：OT6-6；线径规格：6mm2；孔径：6mm；材质：铜 | OT6-6铜端子
IMG-0021	O型圈	1	密封件/O型圈	只	needs_review:1	clarify_specs_before_use:1	SPARE-000126 | 规格：63*5 | O型圈63*5
IMG-0022	O型圈套装	1	密封件/O型圈	盒	needs_review:1	clarify_specs_before_use:1	SPARE-000120 | 品牌：派克；套装：ABC | 派克O型圈套装ABC
IMG-0023	PAC污水处理剂	1	化工原料/水处理剂	吨	usable:1	confirm_before_use:1	MAT-000129 | 类型：PAC；含量：28% | 28%PAC污水处理剂
IMG-0024	PC板	1	塑料板材/PC板	块	standard:1	auto_select_allowed:1	CONST-000024 | 材质：PC；颜色：透明；尺寸：1m*1.5m；厚度：3mm | 透明PC板1m*1.5m*3mm
