group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0001	502瞬干胶	化工耗材/胶粘剂	1	化工胶粘涂料	胶粘剂	no		high	502瞬干胶为胶粘剂；旧类目“化工耗材”按标准归并。
IMG-0002	502胶水	化工耗材/胶粘剂	1	化工胶粘涂料	胶粘剂	no		high	502胶水本质为胶粘剂；旧类目“化工耗材”按标准归并。
IMG-0003	588密封胶	化工耗材/胶粘剂	1	化工胶粘涂料	密封材料	no		high	588胶用于密封粘接，应归密封材料；旧胶粘剂口径偏粗。
IMG-0004	5号电池	电气/电池	1	电气电料	电气辅材	no		medium	电池为电气供电辅材；标准无电池二级，用电气辅材承接。
IMG-0005	7号电池	电气/电池	1	电气电料	电气辅材	no		medium	电池为电气供电辅材；标准无电池二级，用电气辅材承接。
IMG-0006	AB胶	化工耗材/胶粘剂；胶粘剂/结构胶	2	化工胶粘涂料	胶粘剂	no		high	AB胶属于结构胶粘剂；旧“化工耗材”不作为标准分类。
IMG-0007	BV电线	电气材料/电线电缆	4	电气电料	电线电缆	no		high	BV为常用电线型号，按电线电缆归类。
IMG-0008	B型槽钢	金属材料/型材；钢材/型钢	3	金属材料	型钢	no		high	槽钢是型钢，旧钢材/型材口径与标准一致。
IMG-0009	DT铜鼻子	电气材料/电缆附件	4	电气电料	接线端子	no		high	铜鼻子用于电缆端接，按接线端子归类。
IMG-0010	LED充电头灯	电气材料/照明	1	电气电料	照明灯具	no		medium	便携头灯本质为照明灯具，供电方式是规格属性。
IMG-0011	LED塔灯	电气/照明灯具	1	电气电料	照明灯具	no		high	LED塔灯是现场照明灯具；旧电气照明归并到电气电料。
IMG-0012	LED声光报警器	电气/报警器	1	弱电安防	报警设备	no		high	声光报警器属于报警设备；旧电气报警器需转弱电安防。
IMG-0013	LED强光手电筒	工具/照明工具	1	电气电料	照明灯具	no		medium	强光手电是便携照明器具，旧“工具”按实物转照明灯具。
IMG-0014	LED探照灯	工具/照明工具	1	电气电料	照明灯具	no		medium	探照灯本质为照明器具，旧“工具”口径不作为分类。
IMG-0015	LED浴室灯	电气材料/照明	1	电气电料	照明灯具	no		high	浴室灯是照明灯具，功率仅为规格。
IMG-0016	LED灯带	电气材料/照明	1	电气电料	照明灯具	no		high	LED灯带属于照明灯具；旧电气材料归并到电气电料。
IMG-0017	LED灯泡	电气/照明灯具；电气材料/照明	7	电气电料	照明灯具	no		high	样例均为LED灯泡，功率/品牌为规格差异。
IMG-0018	LED灯管	电气材料/照明	1	电气电料	照明灯具	no		high	LED灯管属于照明灯具。
IMG-0019	LED防爆机床方形灯	电气材料/防爆照明	1	电气电料	照明灯具	no		high	防爆机床灯仍属照明灯具，防爆/机床为用途属性。
IMG-0020	OT铜端子	电气材料/电缆附件	2	电气电料	接线端子	no		high	OT铜端子用于导线端接，按接线端子归类。
IMG-0021	O型圈	密封件/O型圈	1	设备备件	通用机械备件	no		medium	O型圈是设备密封备件；标准无密封件二级，用通用机械备件承接。
IMG-0022	O型圈套装	密封件/O型圈	1	设备备件	通用机械备件	no		medium	O型圈套装是维修密封备件；标准无密封件二级，用通用机械备件承接。
IMG-0023	PAC污水处理剂	化工原料/水处理剂	1	化工胶粘涂料	水处理剂	no		high	PAC是污水处理药剂；推荐二级无水处理剂，新增二级。
IMG-0024	PC板	塑料板材/PC板	1	建筑材料	装饰材料	no		medium	透明PC板属施工用塑料板材，可按装饰板材管理；旧塑料板材非标准一级。
IMG-0025	PET条码不干胶标签	标签耗材/不干胶标签	2	包装覆盖周转	标签耗材	no		medium	条码不干胶用于标识包装；推荐二级无标签耗材，新增二级。
IMG-0026	PE管卡箍组件	定制件/管路组件	1	定制加工件	管路接头	no		high	样例标注定制带卡箍管路组件，归定制管路件。
IMG-0027	PPR三通	PPR管件/三通；工程材料/PPR管件；管件/PPR管件	4	管材管件阀门	三通	no		high	PPR三通是标准管件；旧工程材料过宽。
IMG-0028	PPR内牙三通	工程材料/PPR管件	2	管材管件阀门	三通	no		high	内牙只是连接形式，物料族仍为PPR三通。
IMG-0029	PPR内牙弯头	工程材料/PPR管件	2	管材管件阀门	弯头	no		high	内牙只是连接形式，物料族仍为PPR弯头。
IMG-0030	PPR内牙直通	工程材料/PPR管件	1	管材管件阀门	直接	no		high	内牙直通为PPR直接类管件。
IMG-0031	PPR堵头	管件/PPR管件	4	管材管件阀门	堵头	no		high	PPR堵头/闷头是管端封堵件；推荐二级无堵头，新增二级。
IMG-0032	PPR外接直通	PPR管件/直通	1	管材管件阀门	直接	no		high	外接直通为PPR直接类管件。
IMG-0033	PPR外牙直通	工程材料/PPR管件	1	管材管件阀门	直接	no		high	外牙直通为PPR直接类管件。
