item_code	item_name	required_specs	optional_specs	item_group	stock_uom	purchase_uom	conversion_factor	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_refs	governance_note	updated_at
HW-LOCK-000001	门锁	用途：办公室门		清洁办公后勤/门窗五金	个			办公室门锁	HW-LOCK-000001 门锁 五金备件/门锁锁具 个 用途：办公室门 办公室门锁 办公室门			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=1；purchase_2024_source_rows=2；draft_sku_id=SKU-DRAFT-000001	缺失规格：型号；规格；锁体型号；整理依据：锁体型号/开孔规格缺失，无法区分不同门锁SKU；导入口径：do_not_import_missing_specs；重分类：五金备件/门锁锁具 -> 清洁办公后勤/门窗五金；分类置信度：high；门锁为门窗锁具五金，旧五金备件过泛。	2026-07-03
ELEC-000001	漏电断路器	品牌：施耐德；极数：4P；电流：250A；类型：漏电二合一		电气电料/低压电器	个			4P*250A施耐德漏电二合一	ELEC-000001 漏电断路器 电气材料/低压电器 个 品牌：施耐德 极数：4P 电流：250A 类型：漏电二合一 4P*250A施耐德漏电二合一 施耐德 4P 250A 漏电二合一	施耐德		active	standard	auto_select_allowed	purchase_2024_candidate_rows=2；purchase_2024_source_rows=3；draft_sku_id=SKU-DRAFT-000002	导入口径：import_ready；重分类：电气材料/低压电器 -> 电气电料/低压电器；分类置信度：high；漏电断路器属于低压电器。	2026-07-03
ELEC-000002	热缩管	规格：3cm		电气电料/绝缘材料	米			3CM热缩管	ELEC-000002 热缩管 电气材料/绝缘材料 米 规格：3cm 3CM热缩管 3cm			active	standard	auto_select_allowed	purchase_2024_candidate_rows=3；purchase_2024_source_rows=4；draft_sku_id=SKU-DRAFT-000003	导入口径：import_ready；重分类：电气材料/绝缘材料 -> 电气电料/绝缘材料；分类置信度：high；热缩管属于电缆绝缘材料。	2026-07-03
ELEC-000003	热缩管	规格：2cm		电气电料/绝缘材料	米			2CM热缩管	ELEC-000003 热缩管 电气材料/绝缘材料 米 规格：2cm 2CM热缩管 2cm			active	standard	auto_select_allowed	purchase_2024_candidate_rows=4；purchase_2024_source_rows=5；draft_sku_id=SKU-DRAFT-000004	导入口径：import_ready；重分类：电气材料/绝缘材料 -> 电气电料/绝缘材料；分类置信度：high；热缩管属于电缆绝缘材料。	2026-07-03
ELEC-000004	热缩管	规格：1.5cm		电气电料/绝缘材料	米			1.5CM热缩管	ELEC-000004 热缩管 电气材料/绝缘材料 米 规格：1.5cm 1.5CM热缩管 1.5cm			active	standard	auto_select_allowed	purchase_2024_candidate_rows=5；purchase_2024_source_rows=6；draft_sku_id=SKU-DRAFT-000005	导入口径：import_ready；重分类：电气材料/绝缘材料 -> 电气电料/绝缘材料；分类置信度：high；热缩管属于电缆绝缘材料。	2026-07-03
ELEC-000005	电工胶布	品牌：3M；颜色：透明		电气电料/绝缘材料	个			3M透明电胶布	ELEC-000005 电工胶布 电气材料/绝缘材料 个 品牌：3M 颜色：透明 3M透明电胶布 3M 透明	3M		active	standard	auto_select_allowed	purchase_2024_candidate_rows=6；purchase_2024_source_rows=7；draft_sku_id=SKU-DRAFT-000006	导入口径：import_ready；重分类：电气材料/绝缘材料 -> 电气电料/绝缘材料；分类置信度：high；电工胶布是电气绝缘材料。	2026-07-03
CHEM-000001	聚氨酯堵漏剂	包装规格：20kg		化工胶粘涂料/密封材料	桶			聚氨酯堵漏剂20KG	CHEM-000001 聚氨酯堵漏剂 化工耗材/堵漏剂 桶 包装规格：20kg 聚氨酯堵漏剂20KG 20kg			active	standard	auto_select_allowed	purchase_2024_candidate_rows=7；purchase_2024_source_rows=8；draft_sku_id=SKU-DRAFT-000007	导入口径：import_ready；重分类：化工耗材/堵漏剂 -> 化工胶粘涂料/密封材料；分类置信度：high；聚氨酯堵漏剂用于防水堵漏密封，化工耗材旧口径不保留。	2026-07-03
ELEC-000006	灯管	功率：36W		电气电料/照明灯具	套			36W灯管	ELEC-000006 灯管 电气材料/照明 套 功率：36W 36W灯管 36W			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=8；purchase_2024_source_rows=9；draft_sku_id=SKU-DRAFT-000008	缺失规格：长度；整理依据：灯管类型（LED/荧光）及长度缺失，36W不足以唯一确定SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/照明 -> 电气电料/照明灯具；分类置信度：high；灯管属于照明灯具。	2026-07-03
ELEC-000007	USB插座	品牌：公牛；USB电流：2.1A		电气电料/插头插座	个			2.1AUSB公牛插座；2.1ASUB公牛插座	ELEC-000007 USB插座 电气材料/插座开关 个 品牌：公牛 USB电流：2.1A 2.1AUSB公牛插座 2.1ASUB公牛插座 公牛 2.1A	公牛		candidate	usable	confirm_before_use	purchase_2024_candidate_rows=9；purchase_2024_source_rows=10；draft_sku_id=SKU-DRAFT-000009	缺失规格：型号；整理依据：输入别名疑似将USB写作SUB，按名称和规格归一为USB；导入口径：confirm_then_import；重分类：电气材料/插座开关 -> 电气电料/插头插座；分类置信度：high；USB插座属于插座类电气材料。	2026-07-03
ELEC-000008	线盒	安装方式：明装		电气电料/电气辅材	个			明装线盒	ELEC-000008 线盒 电气材料/电气辅材 个 安装方式：明装 明装线盒 明装			candidate	needs_review	clarify_specs_before_use	purchase_2024_candidate_rows=10；purchase_2024_source_rows=11；draft_sku_id=SKU-DRAFT-000010	缺失规格：规格；尺寸；整理依据：规格尺寸缺失，明装线盒无法按尺寸区分SKU；导入口径：do_not_import_missing_specs；重分类：电气材料/电气辅材 -> 电气电料/电气辅材；分类置信度：high；明装线盒为电气安装辅材。	2026-07-03
