item_code	item_name	sku_name	required_specs	optional_specs	item_group	top_group	sub_group	material_family	stock_uom	purchase_uom	conversion_factor	aliases	search_keywords	brand	model	status	quality_level	agent_use_policy	source_refs	source_item_codes	merged_count	governance_note	updated_at
SAFE-000013	口罩	口罩 一次性	材质：无纺布		劳保防护/呼吸防护	劳保防护	呼吸防护	呼吸防护	只			一次性口罩	SAFE-000013 口罩 一次性 口罩 呼吸防护 劳保防护 材质：无纺布 只 一次性口罩 SAFE-000103			active	standard	auto_select_allowed	canonical=SAFE-000013；source_item_codes=SAFE-000013；SAFE-000103；merged_count=2；sku_governance=batch_all_sku_governance_20260703	SAFE-000013；SAFE-000103	2	来源单位一致；补齐依据：材质按一次性口罩常见材质推断为无纺布；单位从“个”统一为“只”；合并依据：同为一次性口罩，材质未明确且规格缺失，推断相同	2026-07-04
SAFE-000106	口罩	口罩 棉	材质：棉		劳保防护/呼吸防护	劳保防护	呼吸防护	呼吸防护	只			棉口罩	SAFE-000106 口罩 棉 口罩 呼吸防护 劳保防护 材质：棉 只 棉口罩			active	standard	auto_select_allowed	canonical=SAFE-000106；source_item_codes=SAFE-000106；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000106	1	来源单位一致	2026-07-04
SAFE-000102	口罩	口罩 棉纱	材质：棉纱		劳保防护/呼吸防护	劳保防护	呼吸防护	呼吸防护	只			棉纱口罩	SAFE-000102 口罩 棉纱 口罩 呼吸防护 劳保防护 材质：棉纱 只 棉纱口罩			active	standard	auto_select_allowed	canonical=SAFE-000102；source_item_codes=SAFE-000102；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000102	1	来源单位一致	2026-07-04
SAFE-000098	防尘面罩	3M防尘面罩	品牌：3M		劳保防护/呼吸防护	劳保防护	呼吸防护	呼吸防护	只			3M防尘面罩；防尘面罩	SAFE-000098 3M防尘面罩 防尘面罩 呼吸防护 劳保防护 品牌：3M 只 3M	3M		active	standard	auto_select_allowed	canonical=SAFE-000098；source_item_codes=SAFE-000098；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000098	1	来源单位一致；补齐依据：原始缺失型号/防护等级，根据品牌唯一信息生成初始SKU	2026-07-04
SAFE-000099	防尘面罩滤芯	防尘面罩滤芯	适配品牌：3M；适配类型：防尘面罩		劳保防护/呼吸防护	劳保防护	呼吸防护	呼吸防护	只			3M防尘面罩过滤芯；防尘面罩过滤芯	SAFE-000099 防尘面罩滤芯 呼吸防护 劳保防护 适配品牌：3M 适配类型：防尘面罩 只 3M 3M防尘面罩过滤芯 防尘面罩过滤芯	3M		active	standard	auto_select_allowed	canonical=SAFE-000099；source_item_codes=SAFE-000099；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000099	1	来源单位一致；补齐依据：原始缺失型号规格，根据常见防尘面罩滤芯，保留品牌与适配作为最小关键规格。	2026-07-04
SAFE-000118	五点式安全带	五点式安全带	规格：通用		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	条			五点式安全带	SAFE-000118 五点式安全带 安全带/安全绳 劳保防护 规格：通用 条			active	standard	auto_select_allowed	canonical=SAFE-000118；source_item_codes=SAFE-000118；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000118	1	来源单位一致；补齐依据：无额外关键规格，使用物料名称作为标准SKU名称；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	2026-07-04
SAFE-000120	五点式安全带	五点式安全带 大钩	挂钩：大钩；类型：五点式		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	条			全身大钩安全带；安全带	SAFE-000120 五点式安全带 大钩 五点式安全带 安全带/安全绳 劳保防护 挂钩：大钩 类型：五点式 条 全身大钩安全带 安全带			active	standard	auto_select_allowed	canonical=SAFE-000120；source_item_codes=SAFE-000120；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000120	1	来源单位一致；补齐依据：依据原始规格中挂钩信息及governance_note修正类型为五点式	2026-07-04
SAFE-000080	五点式安全带	五点式安全带 带缓冲	缓冲：是		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	条			五点式缓冲安全带；五点式安全带	SAFE-000080 五点式安全带 带缓冲 五点式安全带 安全带/安全绳 劳保防护 缓冲：是 条 五点式缓冲安全带			active	standard	auto_select_allowed	canonical=SAFE-000080；source_item_codes=SAFE-000080；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000080	1	来源单位一致；补齐依据：依据原始规格中缓冲信息，保留为关键差异	2026-07-04
SAFE-000015	五点式安全带	五点式安全带 欧式	款式：欧式		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	条			五点式欧式安全带；五点式安全带	SAFE-000015 五点式安全带 欧式 五点式安全带 安全带/安全绳 劳保防护 款式：欧式 条 五点式欧式安全带			active	standard	auto_select_allowed	canonical=SAFE-000015；source_item_codes=SAFE-000015；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000015	1	来源单位一致；补齐依据：依据原始规格中款式信息，保留为关键差异	2026-07-04
SAFE-000139	安全绳	安全绳 Φ10	直径：Φ10		劳保防护/安全带/安全绳	劳保防护	安全带/安全绳	安全带/安全绳	米			安全绳Φ10；安全绳	SAFE-000139 安全绳 Φ10 安全绳 安全带/安全绳 劳保防护 直径：Φ10 米 安全绳Φ10			active	standard	auto_select_allowed	canonical=SAFE-000139；source_item_codes=SAFE-000139；merged_count=1；sku_governance=batch_all_sku_governance_20260703	SAFE-000139	1	来源单位一致	2026-07-04
