type_id	attribute_key	display_name	requirement	value_type	unit	enum_values	affects_sku_identity	display_order	description	source_evidence
MT-A9DCE2483432	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-A9DCE2483432	layer_count	层数	required	text			true	2	层数（呼吸防护）按来源证据填写。	source_required_specs/brand/model
MT-A9DCE2483432	包装数量	包装数量	required	text			true	3	包装数量（呼吸防护）按来源证据填写。	source_required_specs/brand/model
MT-86E00E488E42	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-86E00E488E42	brand	品牌	required	text			true	2	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-86E00E488E42	类型	类型	required	text			true	3	类型（呼吸防护）按来源证据填写。	source_required_specs/brand/model
MT-00FB6BF0EEE6	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-00FB6BF0EEE6	brand	品牌	required	text			true	2	品牌；缺失时保持为空并进入补录。	source_required_specs/brand/model
MT-00FB6BF0EEE6	包装数量	包装数量	required	text			true	3	包装数量（呼吸防护）按来源证据填写。	source_required_specs/brand/model
MT-00FB6BF0EEE6	适配品牌	适配品牌	required	text			true	4	适配品牌（呼吸防护）按来源证据填写。	source_required_specs/brand/model
MT-00FB6BF0EEE6	适配类型	适配类型	required	text			true	5	适配类型（呼吸防护）按来源证据填写。	source_required_specs/brand/model
MT-EE4ABDB0A7F6	承重	承重	required	text			true	1	承重（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-EE4ABDB0A7F6	挂钩	挂钩	required	text			true	2	挂钩（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-EE4ABDB0A7F6	款式	款式	required	text			true	3	款式（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-EE4ABDB0A7F6	类型	类型	required	text			true	4	类型（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-EE4ABDB0A7F6	缓冲	缓冲	required	text			true	5	缓冲（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-4F78822ABABC	length	长度	required	text			true	1	长度（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-4F78822ABABC	diameter	直径	required	text			true	2	直径（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-4F78822ABABC	material	材质	required	text			true	3	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-4F78822ABABC	承重	承重	required	text			true	4	承重（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-4F78822ABABC	挂钩	挂钩	required	text			true	5	挂钩（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-4F78822ABABC	类型	类型	required	text			true	6	类型（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-89717F4D947D	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-89717F4D947D	length	长度	required	text			true	2	长度（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-89717F4D947D	material	材质	required	text			true	3	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-89717F4D947D	承重	承重	required	text			true	4	承重（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-89717F4D947D	锁具	锁具	required	text			true	5	锁具（安全带/安全绳）按来源证据填写。	source_required_specs/brand/model
MT-6D09B377701E	material	材质	required	text			true	1	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
MT-6D09B377701E	color	颜色	required	text			true	2	颜色（安全帽/头部防护）按来源证据填写。	source_required_specs/brand/model
MT-6D09B377701E	类型	类型	required	text			true	3	类型（安全帽/头部防护）按来源证据填写。	source_required_specs/brand/model
MT-DE02CACB686F	specification	规格	required	text			true	1	用于区分同类物料的规格或型号，必须保留原始证据。	source_required_specs/brand/model
MT-DE02CACB686F	material	材质	required	text			true	2	物料材质，按来源记录填写，不得凭空推断。	source_required_specs/brand/model
