type_id	top_group	material_family	standard_name	classification_key	definition	includes	excludes	governance_status	revision	source_hash	prompt_version	generator_model	reviewer_model	required_attribute_keys	sku_count	unsafe_reason
MT-A9DCE2483432	劳保防护	呼吸防护	口罩	劳保防护|呼吸防护|口罩	口罩 的标准物料类型；分类层级为 劳保防护 / 呼吸防护。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	72fec9700cd77526f3664e991d7b229db29b234dabebbc3cc567d40557ece261	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	material,layer_count,包装数量	3	高风险分类:劳保防护
MT-86E00E488E42	劳保防护	呼吸防护	防尘面罩	劳保防护|呼吸防护|防尘面罩	防尘面罩 的标准物料类型；分类层级为 劳保防护 / 呼吸防护。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	98fb955e4456b55121dbe4f0a49230949800ef7d5fe3d41e283b38f986ed0101	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	material,brand,类型	1	高风险分类:劳保防护
MT-00FB6BF0EEE6	劳保防护	呼吸防护	防尘面罩滤芯	劳保防护|呼吸防护|防尘面罩滤芯	防尘面罩滤芯 的标准物料类型；分类层级为 劳保防护 / 呼吸防护。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	f307aa56e316f612602fa9a06bb7c9a63b0d318bb4e30f9ecdf31c17a7dd2de9	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	specification,brand,包装数量,适配品牌,适配类型	1	高风险分类:劳保防护
MT-EE4ABDB0A7F6	劳保防护	安全带/安全绳	五点式安全带	劳保防护|安全带/安全绳|五点式安全带	五点式安全带 的标准物料类型；分类层级为 劳保防护 / 安全带/安全绳。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	210656eac9ae0766aa7d4febcaef14674e3c379f16989e03691d0d94982c2388	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	承重,挂钩,款式,类型,缓冲	4	高风险分类:劳保防护；安全/压力/化学相关物料
MT-4F78822ABABC	劳保防护	安全带/安全绳	安全绳	劳保防护|安全带/安全绳|安全绳	安全绳 的标准物料类型；分类层级为 劳保防护 / 安全带/安全绳。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	5072a604c662212d1a80a9680b4957c6ac9951bc775ce5f23e2baefdcf7c246d	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	length,diameter,material,承重,挂钩,类型	6	高风险分类:劳保防护；安全/压力/化学相关物料
MT-89717F4D947D	劳保防护	安全带/安全绳	防坠器	劳保防护|安全带/安全绳|防坠器	防坠器 的标准物料类型；分类层级为 劳保防护 / 安全带/安全绳。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	b7bf1b9ea40f5b1047545008895e98df13c5be7e28dc01b7b13bab9a89f79894	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	specification,length,material,承重,锁具	1	高风险分类:劳保防护；安全/压力/化学相关物料
MT-6D09B377701E	劳保防护	安全帽/头部防护	安全帽配件	劳保防护|安全帽/头部防护|安全帽配件	安全帽配件 的标准物料类型；分类层级为 劳保防护 / 安全帽/头部防护。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	46f9150610845f119a0f0561dad2132174d3fd8b4b2ed12e7092e2a61e40dd69	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	material,color,类型	1	高风险分类:劳保防护
MT-DE02CACB686F	劳保防护	安全帽/头部防护	草帽	劳保防护|安全帽/头部防护|草帽	草帽 的标准物料类型；分类层级为 劳保防护 / 安全帽/头部防护。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	52b1ad295abaab83089ba6fbe68fa0eaa34e4bc9910ec02a650e4ad9193b281e	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	specification,material,头围	1	高风险分类:劳保防护
MT-C83489A43472	劳保防护	急救用品	创可贴	劳保防护|急救用品|创可贴	创可贴 的标准物料类型；分类层级为 劳保防护 / 急救用品。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	0140f07a0fccd54f371e73a4716bc713578eee68f73e1dacafeac0b5a1f6cb76	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	size,包装数量	1	高风险分类:劳保防护
MT-41E4A4D4AFD8	劳保防护	急救用品	医用绷带	劳保防护|急救用品|医用绷带	医用绷带 的标准物料类型；分类层级为 劳保防护 / 急救用品。	来源发布 SKU 的标准名称归一化结果；原始名称保留在 aliases/source_item_name。	品牌、型号、规格、强度、包装等 SKU 属性不得新建为分类。	needs_review	1	cbca137e5c7d1aea1e4cb2b06b32e7bfc70e706580d1027ecb11e546cea29031	material-entry-rules-v1.1	deterministic-rule-engine	human_required_for_flagged_rows	specification,length,width,material	1	高风险分类:劳保防护
