item_code	type_id	standard_name	mapping_method	mapping_evidence	mapping_status	source_hash	classification_key	missing_required_specs
ADMIN-000001	MT-5990003719CD	热水壶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	01322e459836824ab2d2d8911eca849c1f71b71ee1acb00482e21fa8beecd58d	清洁办公后勤|生活后勤|热水壶	
ADMIN-000002	MT-6F69B2153999	洁厕剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	79fb6672cb10ff280a869e1a0219034657bb9ed8649eb5c0cdd01080edc01f77	清洁办公后勤|清洁用品|洁厕剂	
ADMIN-000003	MT-3410A61B004F	水壶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	c6421b3d5f9f74ab62477c61601eb4a7c5b67a97763ca6fae01bb76767267df7	清洁办公后勤|生活后勤|水壶	
ADMIN-000004	MT-6440E1A47D19	水桶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	a9e7eb5551d18c83e0925c6999e9d3d02c89c23f5d11179bd260b7b4c8bc6c9f	包装覆盖周转|容器周转箱|水桶	material,配置
ADMIN-000005	MT-799E958401BE	垃圾袋	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	bd8c51a641775930e934a816a9d45aeea711f280bf02ee6c2bf2d527f83e20a5	清洁办公后勤|清洁用品|垃圾袋	thickness,color
ADMIN-000006	MT-2498232B4D7E	记号笔	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	77a5aba8efc558c47e31c5a0dc0658b64e31bbacefa6d81a653fcce28d61b34f	清洁办公后勤|办公文具|记号笔	类型
ADMIN-000007	MT-CA342C4A2A7B	油污清洗剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	ac919c6a4bc5d3db6744308160a82b9f1c288e72afb1b0d6fcfb63af2b09f5c8	化工胶粘涂料|清洗脱漆剂|油污清洗剂	specification
ADMIN-000008	MT-799E958401BE	垃圾袋	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	1e0fff4276d48c6bcd0c2bd1dc7cfce5d83079c8cb69a7541f4757201bb2d393	清洁办公后勤|清洁用品|垃圾袋	color
ADMIN-000009	MT-25436426AC05	方凳	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	fcc74028656f4ad7dc7ec0372310d527b7d1554767211186565c42cdffad3c75	清洁办公后勤|生活后勤|方凳	
ADMIN-000011	MT-2498232B4D7E	记号笔	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	d8b725a0ad43e497adf9f3125c2d3a3d98782b97cbf9196732af188d77a0ec7e	清洁办公后勤|办公文具|记号笔	brand,类型
ADMIN-000012	MT-01B4F8AD6C13	床垫	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	36b607f8700ff2719449530fec170e0169320bda6ccddd845cee35771aeb9d2c	清洁办公后勤|生活后勤|床垫	
ADMIN-000014	MT-04CEAB8F45F5	电视支架	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	2143732531f627a20aa615e68ec3df927d0b994a2af965465e6ed8cc5b4c1239	清洁办公后勤|生活后勤|电视支架	
ADMIN-000015	MT-528F273E0750	电源线	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	052612be656246bb92d3cc557e4999ac37d66aeeae8fd185bab1038853b6b908	电气电料|电线电缆|电源线	
ADMIN-000016	MT-3CC60E30CE3D	数据线	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	3575abf7c67f2f96b4ed4d3dd5c22517b585d7a3ed333f152582a9951ad75659	电气电料|电线电缆|数据线	
ADMIN-000017	MT-7D62591959B8	办公椅	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	5820dd5f9bfff5cd988f01d6a7667b6f24812f01b87daa03a0bcfbccad43c6a5	清洁办公后勤|生活后勤|办公椅	
ADMIN-000018	MT-4E72715171F6	鼠标	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	37ecf58bcdcaa6441d4d65988427fb9a76d2164f9bcaa66b399dc5c84bcfa9a7	清洁办公后勤|办公设备|鼠标	
ADMIN-000021	MT-DFDDA9E16AF7	除甲醛机	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	ee576d61cc441248fabad31857dc37485ef3b1224522eb3ae528f894c3a5e730	清洁办公后勤|办公设备|除甲醛机	
ADMIN-000022	MT-CF9D1CCEC939	多功能打印机	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	e01cfe1bf9dfa06b7dfc3e9fe1f94f0d3b267869d4b0a7ada69e0378c674c235	清洁办公后勤|办公设备|多功能打印机	
ADMIN-000023	MT-73BDB3C6ADA5	办公桌	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	7f89b35ddf16cff31f8062b6a8c106955f944c2b56c3531384fddef6b7e033da	清洁办公后勤|生活后勤|办公桌	
ADMIN-000026	MT-393522BDEB38	棉布	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	b0f353b3b64cc07b7dc3a9707bee9724010f4c6d4653f23f42eaf7949bbd85ed	清洁办公后勤|清洁工具|棉布	
ADMIN-000027	MT-C819DCBEF975	吸油棉	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	5d1b242d4ef8e8819276fc6fcccdd1bb5357effb1dbdce9c8c21ca62107d246b	清洁办公后勤|清洁工具|吸油棉	
ADMIN-000029	MT-E6DACEDE0D16	拖把	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	7aaa6bb0859d7339212e90ac192a8e59157362034ec79f3d2524d5dd8f45d855	清洁办公后勤|清洁工具|拖把	
ADMIN-000030	MT-1429511649B0	抹布	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	fbd36bd90d3c8af9a65249ccb30aa2fed2682a2521c1d8d86ba1fef72b8a1021	清洁办公后勤|清洁工具|抹布	size,color
ADMIN-000031	MT-2DE1EAF77847	垃圾桶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	f9817ee7953cc2c1a93054b05748de4942638384fbc09c7663794dad6bcac866	清洁办公后勤|清洁工具|垃圾桶	配置
ADMIN-000032	MT-799E958401BE	垃圾袋	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	0b3c16c455c2e9198ce82e6b50bc5f7a2056f569eb9afdda864912f15154d939	清洁办公后勤|清洁用品|垃圾袋	thickness,color
ADMIN-000033	MT-04CEAB8F45F5	电视支架	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	ca4a74e39be49f7e9f198f18ffccf001d5dca074336062919cdd44ac9fb27b2f	清洁办公后勤|生活后勤|电视支架	
ADMIN-000034	MT-799E958401BE	垃圾袋	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	5be24bba3ef64c76a16bf2ee32b1a4270485e186e442c98893b0794b2f5513fc	清洁办公后勤|清洁用品|垃圾袋	thickness,color
ADMIN-000035	MT-89EA56C0DE30	扫把	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	25f92b989605700c9436db49c2d4e129364a63a2d0837a435f1d8de92b231496	清洁办公后勤|清洁工具|扫把	
ADMIN-000037	MT-89EA56C0DE30	扫把	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	e36a398976e220aba405f3b77e3e8603c06511ff545082ea7345dfe50ad5eed2	清洁办公后勤|清洁工具|扫把	specification
ADMIN-000038	MT-B37BC36AC74C	扫斗	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	901fd093fb8e42ef8287dc39f131ec6d233131b3aded28fefaa678fcfd1c5077	清洁办公后勤|清洁工具|扫斗	
ADMIN-000043	MT-1429511649B0	抹布	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	8cffc72a557e6ecdf693f29049a341ceb7e2ea8adff960bfefb4d5cba524234c	清洁办公后勤|清洁工具|抹布	
ADMIN-000044	MT-BA5351C6B1B1	喷壶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	bc9d5893a5cfb9ae58b6e3ebf859771f117c0f6ef94c2354405a7cdf815d6a50	清洁办公后勤|清洁工具|喷壶	
ADMIN-000045	MT-BA5351C6B1B1	喷壶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	f637f103e213e92ed657a49a402c2d1b3c80b79196837e63090101378fcaa5da	清洁办公后勤|清洁工具|喷壶	
ADMIN-000048	MT-9DEEC1667DAA	烟灰桶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	99f0b6e613ae003b8b92df1d8486db3a8b8365f064fa87fd8e2cf8431e848679	清洁办公后勤|清洁工具|烟灰桶	size
ADMIN-000050	MT-CA342C4A2A7B	油污清洗剂	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	0e77ccd59c366c21d57c58ca8fed3d87790e44972632637958c2c9b42351fd3a	化工胶粘涂料|清洗脱漆剂|油污清洗剂	specification,brand
ADMIN-000051	MT-4B4A5277BC40	洗洁精	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	721aa3230ba1dfdb5a1a34316e1853bb5e44b04bd95d2940bfb8aa7c6611dead	清洁办公后勤|清洁用品|洗洁精	specification
ADMIN-000053	MT-6DBAD60CEC81	牙膏	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	1ecb3527df97b64af9a1cced53f058b4ec265dbf57216a466f2e2b3ca5fcb2ef	清洁办公后勤|生活后勤|牙膏	
ADMIN-000054	MT-158DB247A2E3	拖鞋	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	frozen	6e13bc120b3d2921432b068d32b469c2e38bc5edcb2d2a4dab8e5b7efefc2e1d	清洁办公后勤|生活后勤|拖鞋	
ADMIN-000056	MT-2DE1EAF77847	垃圾桶	deterministic_v1_1_normalization	source item_name/item_group/material_family plus source_required_specs	needs_review	666d895dc2536f4299f681b9fdca51417e4234eea47d6df629f43e99d8e9f00a	清洁办公后勤|清洁工具|垃圾桶	配置
