code	source_name	normalized_name	parent_code	parent_name	chapter_code	chapter_context	page	suggested_top_group	suggested_material_family	candidate_families	matching_rule	confidence	review_status
73170000	钢铁制的钉、平头钉、图钉、波 纹钉、U形钉（税目83.05的货品 除外）及类似品，不论钉头是否 用其他材料制成，但不包括铜头 钉	钢铁制的钉、平头钉、图钉、波 纹钉、U形钉（税目83.05的货品 除外）及类似品，不论钉头是否 用其他材料制成，但不包括铜头 钉	7317	钢铁制的钉、平头钉、图钉、波 纹钉、U形钉（税目83.05的货品 除外）及类似品，不论钉头是否 用其他材料制成，但不包括铜头 钉	73	HS第73章	945	紧固件与连接件	钉类	紧固件与连接件/钉类	hs7317-nail	0.95	candidate
73181100	螺纹制品： 方头螺钉	螺纹制品： 方头螺钉	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	945	紧固件与连接件	螺丝/螺栓	紧固件与连接件/螺丝/螺栓	hs7318-fastener	0.96	candidate
73181200	其他木螺钉	其他木螺钉	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	945	紧固件与连接件	螺丝/螺栓	紧固件与连接件/螺丝/螺栓	hs7318-fastener	0.96	candidate
73181300	钩头螺钉及环头螺钉	钩头螺钉及环头螺钉	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	945	紧固件与连接件	螺丝/螺栓	紧固件与连接件/螺丝/螺栓	hs7318-fastener	0.96	candidate
73181400	自攻螺钉	自攻螺钉	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	945	紧固件与连接件	螺丝/螺栓	紧固件与连接件/螺丝/螺栓	hs7318-fastener	0.96	candidate
73181510	其他螺钉及螺栓，不论是否带有 螺母或垫圈： 抗拉强度在800兆帕及以上的	其他螺钉及螺栓，不论是否带有 螺母或垫圈： 抗拉强度在800兆帕及以上的	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	945	紧固件与连接件	螺丝/螺栓	紧固件与连接件/螺丝/螺栓	hs7318-fastener	0.96	candidate
73181590	其他	其他	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	946	紧固件与连接件	螺丝/螺栓	紧固件与连接件/螺丝/螺栓	hs7318-fastener	0.96	candidate
73181600	螺母	螺母	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	946	紧固件与连接件	螺母	紧固件与连接件/螺母	hs731816-nut	0.99	candidate
73181900	其他	其他	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	946				none	0.0	unmapped
73182100	无螺纹制品： 弹簧垫圈及其他防松垫圈	无螺纹制品： 弹簧垫圈及其他防松垫圈	7318	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	73	HS第73章	946	紧固件与连接件	垫圈/垫片	紧固件与连接件/垫圈/垫片	hs731821-washer	0.99	candidate
