code	attribute_decision	reviewer	override_attributes	comment	source_name	parent_name	attribute_status	attributes
73170000					钢铁制的钉、平头钉、图钉、波 纹钉、U形钉（税目83.05的货品 除外）及类似品，不论钉头是否 用其他材料制成，但不包括铜头 钉	钢铁制的钉、平头钉、图钉、波 纹钉、U形钉（税目83.05的货品 除外）及类似品，不论钉头是否 用其他材料制成，但不包括铜头 钉	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""钉"", ""value"": ""钉类""}, ""head_type"": {""confidence"": ""0.90"", ""evidence"": ""平头"", ""value"": ""平头""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73181100					螺纹制品： 方头螺钉	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""螺钉"", ""value"": ""螺钉""}, ""head_type"": {""confidence"": ""0.90"", ""evidence"": ""方头"", ""value"": ""方头""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""thread_form"": {""confidence"": ""0.92"", ""evidence"": ""螺纹制品"", ""value"": ""螺纹""}}"
73181200					其他木螺钉	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""螺钉"", ""value"": ""螺钉""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""thread_form"": {""confidence"": ""0.92"", ""evidence"": ""木螺钉"", ""value"": ""木螺钉""}}"
73181300					钩头螺钉及环头螺钉	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""螺钉"", ""value"": ""螺钉""}, ""head_type"": {""confidence"": ""0.90"", ""evidence"": ""钩头"", ""value"": ""钩头""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73181400					自攻螺钉	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""螺钉"", ""value"": ""螺钉""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""thread_form"": {""confidence"": ""0.92"", ""evidence"": ""自攻螺钉"", ""value"": ""自攻螺钉""}}"
73181510					其他螺钉及螺栓，不论是否带有 螺母或垫圈： 抗拉强度在800兆帕及以上的	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.40"", ""evidence"": ""螺钉、螺栓"", ""value"": ""螺钉 | 螺栓""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""tensile_strength"": {""confidence"": ""0.98"", ""evidence"": ""抗拉强度在800兆帕及以上"", ""value"": "">=800 MPa""}}"
73181590					其他	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73181600					螺母	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""螺母"", ""value"": ""螺母""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73181900					其他	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}}"
73182100					无螺纹制品： 弹簧垫圈及其他防松垫圈	钢铁制的螺钉、螺栓、螺母、方 头螺钉、钩头螺钉、铆钉、销、 开尾销、垫圈（包括弹簧垫圈） 及类似品	review_required	"{""fastener_kind"": {""confidence"": ""0.90"", ""evidence"": ""垫圈"", ""value"": ""垫圈""}, ""material"": {""confidence"": ""0.78"", ""evidence"": ""钢铁制"", ""value"": ""钢铁制（来源父级证据）""}, ""thread_form"": {""confidence"": ""0.92"", ""evidence"": ""无螺纹制品"", ""value"": ""无螺纹""}}"
