code	decision	top_group	material_family	reviewer	comment	source_name	suggested_top_group	suggested_material_family	review_status	confidence	chapter_context	parent_code
73170000		紧固件与连接件	钉类			钢铁制的钉、平头钉、图钉、波 纹钉、U形钉（税目83.05的货品 除外）及类似品，不论钉头是否 用其他材料制成，但不包括铜头 钉	紧固件与连接件	钉类	candidate	0.95	HS第73章	7317
73181100		紧固件与连接件	螺丝/螺栓			螺纹制品： 方头螺钉	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
73181200		紧固件与连接件	螺丝/螺栓			其他木螺钉	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
73181300		紧固件与连接件	螺丝/螺栓			钩头螺钉及环头螺钉	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
73181400		紧固件与连接件	螺丝/螺栓			自攻螺钉	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
73181510		紧固件与连接件	螺丝/螺栓			其他螺钉及螺栓，不论是否带有 螺母或垫圈： 抗拉强度在800兆帕及以上的	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
73181590		紧固件与连接件	螺丝/螺栓			其他	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
73181600		紧固件与连接件	螺母			螺母	紧固件与连接件	螺母	candidate	0.99	HS第73章	7318
73181900						其他			unmapped	0.0	HS第73章	7318
73182100		紧固件与连接件	垫圈/垫片			无螺纹制品： 弹簧垫圈及其他防松垫圈	紧固件与连接件	垫圈/垫片	candidate	0.99	HS第73章	7318
73182200		紧固件与连接件	垫圈/垫片			其他垫圈	紧固件与连接件	垫圈/垫片	candidate	0.99	HS第73章	7318
73182300		紧固件与连接件	扣件/连接件			铆钉	紧固件与连接件	扣件/连接件	candidate	0.88	HS第73章	7318
73182400		紧固件与连接件	销/卡簧			销及开尾销	紧固件与连接件	销/卡簧	candidate	0.96	HS第73章	7318
73182900		紧固件与连接件	螺丝/螺栓			其他	紧固件与连接件	螺丝/螺栓	candidate	0.96	HS第73章	7318
74151000		紧固件与连接件	钉类			钉、平头钉、图钉、U形钉及类 似品	紧固件与连接件	钉类	candidate	0.92	HS第74章	7415
74152100		紧固件与连接件	垫圈/垫片			其他无螺纹制品： 垫圈（包括弹簧垫圈）	紧固件与连接件	垫圈/垫片	candidate	0.94	HS第74章	7415
74152900						其他			unmapped	0.0	HS第74章	7415
74153310		紧固件与连接件	螺丝/螺栓			其他螺纹制品： --螺钉；螺栓及螺母： 木螺钉	紧固件与连接件	螺丝/螺栓	candidate	0.9	HS第74章	7415
74153390						其他			unmapped	0.0	HS第74章	7415
74153900						其他			unmapped	0.0	HS第74章	7415
