code	source_name	normalized_name	parent_code	parent_name	chapter_code	chapter_context	page	suggested_top_group	suggested_material_family	candidate_families	matching_rule	confidence	review_status
01012100	马： 改良种用	马： 改良种用	010121	马： / 改良种用	01	HS第01章	17				none	0.0	unmapped
01012900	其他	其他	010129	马： / 其他	01	HS第01章	17				none	0.0	unmapped
01013010	驴： 改良种用	驴： 改良种用	010130	驴	01	HS第01章	17				none	0.0	unmapped
01013090	其他	其他	010130	驴	01	HS第01章	17				none	0.0	unmapped
01019000	其他	其他	010190	其他	01	HS第01章	18				none	0.0	unmapped
01022100	家牛： 改良种用	家牛： 改良种用	010221	家牛： / 改良种用	01	HS第01章	18				none	0.0	unmapped
01022900	其他	其他	010229	家牛： / 其他	01	HS第01章	18				none	0.0	unmapped
01023100	水牛： 改良种用	水牛： 改良种用	010231	水牛： / 改良种用	01	HS第01章	18				none	0.0	unmapped
01023900	其他	其他	010239	水牛： / 其他	01	HS第01章	18				none	0.0	unmapped
01029010	其他： 改良种用	其他： 改良种用	010290	其他	01	HS第01章	18				none	0.0	unmapped
01029090	其他	其他	010290	其他	01	HS第01章	19				none	0.0	unmapped
01031000	改良种用	改良种用	010310	改良种用	01	HS第01章	19				none	0.0	unmapped
01039110	其他： --重量在50千克以下： 重量在10千克以下	其他： --重量在50千克以下： 重量在10千克以下	010391	其他： / 重量在50千克以下	01	HS第01章	19				none	0.0	unmapped
01039120	重量在10千克及以上，但在50 千克以下	重量在10千克及以上，但在50 千克以下	010391	其他： / 重量在50千克以下	01	HS第01章	19				none	0.0	unmapped
01039200	重量在50千克及以上	重量在50千克及以上	010392	其他： / 重量在50千克及以上	01	HS第01章	19				none	0.0	unmapped
01041010	绵羊： 改良种用	绵羊： 改良种用	010410	绵羊	01	HS第01章	19				none	0.0	unmapped
01041090	其他	其他	010410	绵羊	01	HS第01章	20				none	0.0	unmapped
01042010	山羊： 改良种用	山羊： 改良种用	010420	山羊	01	HS第01章	20				none	0.0	unmapped
01042090	其他	其他	010420	山羊	01	HS第01章	20				none	0.0	unmapped
