source_sheet,source_row,raw_material_name,raw_spec,unit,supplier,purchase_date,quantity,unit_price,amount,remark,raw_row_json
Sheet1,3506,薄膜,薄膜,㎡,,2024-09-14T00:00:00,300,,,,"{""日期"": ""2024-09-14T00:00:00"", ""商品名称及规格"": ""薄膜"", ""单位"": ""㎡"", ""数量"": 300}"
Sheet1,3507,振动棒380V-Φ50-6m,振动棒380V-Φ50-6m,根,,2024-09-14T00:00:00,3,,,,"{""日期"": ""2024-09-14T00:00:00"", ""商品名称及规格"": ""振动棒380V-Φ50-6m"", ""单位"": ""根"", ""数量"": 3}"
Sheet1,3508,镀锌钢丝绳Φ12,镀锌钢丝绳Φ12,米,,2024-09-19T00:00:00,200,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""镀锌钢丝绳Φ12"", ""单位"": ""米"", ""数量"": 200}"
Sheet1,3509,镀锌膨胀钩M16*130,镀锌膨胀钩M16*130,只,,2024-09-19T00:00:00,10,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""镀锌膨胀钩M16*130"", ""单位"": ""只"", ""数量"": 10}"
Sheet1,3510,镀锌花兰螺丝m14*350,镀锌花兰螺丝m14*350,只,,2024-09-19T00:00:00,8,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""镀锌花兰螺丝m14*350"", ""单位"": ""只"", ""数量"": 8}"
Sheet1,3511,镀锌花兰扣m14,镀锌花兰扣m14,只,,2024-09-19T00:00:00,25,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""镀锌花兰扣m14"", ""单位"": ""只"", ""数量"": 25}"
Sheet1,3512,水塔1T,水塔1T,个,,2024-09-19T00:00:00,1,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""水塔1T"", ""单位"": ""个"", ""数量"": 1}"
Sheet1,3513,镀锌内丝直接2寸,镀锌内丝直接2寸,只,,2024-09-19T00:00:00,20,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""镀锌内丝直接2寸"", ""单位"": ""只"", ""数量"": 20}"
Sheet1,3514,一端丝芽一端焊接焊管,一端丝芽一端焊接焊管,根,,2024-09-19T00:00:00,8,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""一端丝芽一端焊接焊管"", ""单位"": ""根"", ""数量"": 8}"
Sheet1,3515,起帆电缆线3*1.5+1,起帆电缆线3*1.5+1,米,,2024-09-19T00:00:00,100,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""起帆电缆线3*1.5+1"", ""单位"": ""米"", ""数量"": 100}"
Sheet1,3516,起帆电缆线3*16+1*10,起帆电缆线3*16+1*10,米,,2024-09-19T00:00:00,100,,,,"{""日期"": ""2024-09-19T00:00:00"", ""商品名称及规格"": ""起帆电缆线3*16+1*10"", ""单位"": ""米"", ""数量"": 100}"
