"raw_name","proposed_item_code","standard_name","item_group","specs","unit"
"办公室门锁","REVIEW-MAT-00001","办公室门锁","五金备件/门锁锁具","用途: 办公室门；规格型号缺失","个"
"4P*250A施耐德漏电二合一","REVIEW-MAT-00002","漏电断路器","电气材料/低压电器","品牌: 施耐德；极数: 4P；电流: 250A；类型: 漏电二合一","个"
"3CM热缩管","REVIEW-MAT-00003","热缩管","电气材料/绝缘材料","规格: 3CM","米"
"2CM热缩管","REVIEW-MAT-00004","热缩管","电气材料/绝缘材料","规格: 2CM","米"
"1.5CM热缩管","REVIEW-MAT-00005","热缩管","电气材料/绝缘材料","规格: 1.5CM","米"
"3M透明电胶布","REVIEW-MAT-00006","透明电工胶布","电气材料/绝缘材料","品牌: 3M；颜色: 透明","个"
"聚氨酯堵漏剂20KG","REVIEW-MAT-00007","聚氨酯堵漏剂","化工耗材/堵漏剂","包装规格: 20KG；类型: 堵漏剂","桶"
"36W灯管","REVIEW-MAT-00008","灯管","电气材料/照明","功率: 36W","套"
"2.1ASUB公牛插座","REVIEW-MAT-00009","USB插座","电气材料/插座开关","品牌: 公牛；USB电流: 2.1A","个"
"明装线盒","REVIEW-MAT-00010","明装线盒","电气材料/电气辅材","安装方式: 明装","个"
"P230电箱","REVIEW-MAT-00011","电箱","电气材料/配电箱","型号/规格: P230","个"
"公牛五孔插座","REVIEW-MAT-00012","五孔插座","电气材料/插座开关","品牌: 公牛；类型: 五孔","个"
"公牛4位开关","REVIEW-MAT-00013","四位开关","电气材料/插座开关","品牌: 公牛；位数: 4位","个"
"公牛1位开关","REVIEW-MAT-00014","一位开关","电气材料/插座开关","品牌: 公牛；位数: 1位","个"
"公牛2位开关","REVIEW-MAT-00015","二位开关","电气材料/插座开关","品牌: 公牛；位数: 2位","个"
"40WLED公牛灯泡","REVIEW-MAT-00016","LED灯泡","电气材料/照明","品牌: 公牛；功率: 40W","个"
"起帆BV2.5平方电线","REVIEW-MAT-00017","BV电线","电气材料/电线电缆","品牌: 起帆；型号: BV；截面积: 2.5平方","米"
"BV2.5起帆平方电线","REVIEW-MAT-00017","BV电线","电气材料/电线电缆","品牌: 起帆；型号: BV；截面积: 2.5平方","米"
"起帆BV10平方电线","REVIEW-MAT-00018","BV电线","电气材料/电线电缆","品牌: 起帆；型号: BV；截面积: 10平方","米"
"起帆BV25平方电线","REVIEW-MAT-00019","BV电线","电气材料/电线电缆","品牌: 起帆；型号: BV；截面积: 25平方","米"
"1T紧线器","REVIEW-MAT-00020","紧线器","工具器具/电力工具","额定载荷: 1T","套"
"4*9木方","REVIEW-MAT-00021","木方","建筑材料/模板木方","规格: 4*9","米"
"4*4木方","REVIEW-MAT-00022","木方","建筑材料/模板木方","规格: 4*4","米"
"2寸铁钉","REVIEW-MAT-00023","铁钉","五金备件/紧固件","长度: 2寸","斤"
"4寸不锈钢合页","REVIEW-MAT-00024","不锈钢合页","五金备件/门窗五金","材质: 不锈钢；规格: 4寸","套"
"墙纸大卷","REVIEW-MAT-00025","墙纸","装修材料/墙面材料","包装/规格: 大卷","卷"
"热水壶","REVIEW-MAT-00026","热水壶","办公生活用品/小电器","类型: 热水壶","个"
"公元25PPR管","REVIEW-MAT-00027","PPR管","工程材料/PPR管件","品牌: 公元；规格: 25","米"
"公元25PPR直通","REVIEW-MAT-00028","PPR直通","工程材料/PPR管件","品牌: 公元；规格: 25；类型: 直通","个"
