raw_name,normalized_raw_name,candidate_count,candidate_codes,import_ready_candidate_codes,requires_confirmation,ambiguity_reason,candidate_contexts
0.5彩钢瓦,0.5彩钢瓦,1,REVIEW-MAT-00547,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00547 | 彩钢瓦 | 工程建材/板材型材/板材 | 厚度/规格: 0.5 | 平方
06/08-25滤芯,06/08-25滤芯,1,REVIEW-MAT-00996,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00996 | 滤芯 | 设备备件与加工件/过滤密封/过滤件 | 型号: 06/08-25 | 个
1*0.84彩钢瓦,1*0.84彩钢瓦,1,REVIEW-MAT-00511,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00511 | 彩钢瓦 | 工程建材/板材型材/板材 | 规格: 1*0.84 | 米
1.1千W台式沙轮机,1.1千w台式沙轮机,1,REVIEW-MAT-00360,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00360 | 台式砂轮机 | 工具器具/电动工具/电钻角磨机 | 功率: 1.1kW；类型: 台式砂轮机 | 台
1.1千瓦深井潜水泵,1.1千瓦深井潜水泵,1,REVIEW-MAT-00495,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00495 | 深井潜水泵 | 设备备件与加工件/设备专用备件/设备备件 | 功率: 1.1kW；类型: 深井潜水泵 | 台
1.22*2.44*3.0黑模板,1.22*2.44*3.0黑模板,1,REVIEW-MAT-00381,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00381 | 黑模板 | 工程建材/其他/模板木方 | 尺寸: 1.22*2.44；厚度: 3.0；颜色: 黑 | 张
1.2药芯焊丝,1.2药芯焊丝,1,REVIEW-MAT-01275,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01275 | 药芯焊丝 | 焊接焊割/焊割耗材/割嘴焊嘴 | 直径: 1.2mm；类型: 药芯焊丝 | 个
1.2镀锌铁皮,1.2镀锌铁皮,1,REVIEW-MAT-00684,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-00684 | 镀锌铁皮 | 金属原材料/其他/板材 | 厚度: 1.2；表面: 镀锌 | 米
1.3m-30撬棍,1.3m-30撬棍,1,REVIEW-MAT-01106,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01106 | 撬棍 | 工具器具/手动工具/通用手动工具 | 长度: 1.3m；规格: 30 | 支
1.5-10世达内六角扳手,1.5-10世达内六角扳手,1,REVIEW-MAT-01190,,true,唯一候选暂未进入可导入池；需要先完成物料治理。,REVIEW-MAT-01190 | 内六角扳手套装 | 工具器具/手动工具/通用手动工具 | 品牌: 世达；规格范围: 1.5-10 | 套
1.5CM热缩管,1.5cm热缩管,1,REVIEW-MAT-00005,REVIEW-MAT-00005,false,唯一可导入候选。,REVIEW-MAT-00005 | 热缩管 | 电气与自动化/绝缘材料/热缩绝缘 | 规格: 1.5CM | 米
