section,key,label,count,percent,description
主分类,需复核-人工标记,需复核-人工标记,2186,93.86%,
主分类,冲突-低精度,冲突-低精度,36,1.55%,低精度/缺规格项与高精度项并存，需要补齐规格。
主分类,冲突-别名一对多,冲突-别名一对多,29,1.25%,同一个原始叫法命中多个候选，检索或建档时必须确认。
主分类,可导入-直接可用,可导入-直接可用,28,1.20%,无阻塞冲突且不需要人工复核。
主分类,需复核-备注问题,需复核-备注问题,25,1.07%,
主分类,可导入-按规格拆分,可导入-按规格拆分,22,0.94%,同名同分组下存在多个规格，已按规格保留为独立物料。
主分类,冲突-单位不一致,冲突-单位不一致,3,0.13%,同名同规格存在非同义单位，需要补单位换算或拆分。
合并来源,单条候选保留,单条候选保留,2303,98.88%,
合并来源,多条候选自动合并,多条候选自动合并,26,1.12%,
置信度,低置信度 0.70-0.89,低置信度 0.70-0.89,1364,58.57%,
置信度,极低置信度 < 0.70,极低置信度 < 0.70,822,35.29%,
置信度,高置信度 >= 0.95,高置信度 >= 0.95,143,6.14%,
人工复核标记,需要复核,需要复核,2186,93.86%,
人工复核标记,无需复核,无需复核,143,6.14%,
备注问题,备注无开放问题,备注无开放问题,2218,95.23%,
备注问题,备注有待确认问题,备注有待确认问题,111,4.77%,
一级分组,工具器具,工具器具,332,14.26%,
一级分组,电气与自动化,电气与自动化,256,10.99%,
一级分组,工程建材,工程建材,225,9.66%,
一级分组,设备备件与加工件,设备备件与加工件,199,8.54%,
一级分组,液压气动,液压气动,158,6.78%,
一级分组,管道管件,管道管件,145,6.23%,
一级分组,行政办公与清洁,行政办公与清洁,139,5.97%,
一级分组,化工油漆胶粘,化工油漆胶粘,136,5.84%,
一级分组,紧固件,紧固件,113,4.85%,
一级分组,五金备件,五金备件,104,4.47%,
一级分组,吊装索具,吊装索具,96,4.12%,
一级分组,劳保用品,劳保用品,93,3.99%,
一级分组,焊接焊割,焊接焊割,72,3.09%,
一级分组,金属原材料,金属原材料,60,2.58%,
一级分组,阀门,阀门,43,1.85%,
一级分组,包装与标识,包装与标识,31,1.33%,
一级分组,安全防护,安全防护,31,1.33%,
一级分组,消防器材,消防器材,23,0.99%,
一级分组,润滑系统,润滑系统,21,0.90%,
一级分组,仪器仪表,仪器仪表,16,0.69%,
一级分组,弱电安防,弱电安防,10,0.43%,
一级分组,仓储物流,仓储物流,8,0.34%,
一级分组,密封件,密封件,6,0.26%,
一级分组,待治理,待治理,6,0.26%,
一级分组,生产辅料,生产辅料,4,0.17%,
一级分组,环保,环保,2,0.09%,
冲突类型,specs_conflict,specs_conflict,1335,57.32%,规格冲突，可能是不同规格物料，也可能需要人工确认。
冲突类型,无冲突,无冲突,923,39.63%,没有被 merge_conflicts.csv 标记。
冲突类型,low_precision_conflict,low_precision_conflict,321,13.78%,低精度与高精度候选并存。
冲突类型,alias_conflict,alias_conflict,243,10.43%,别名命中多个候选。
冲突类型,unit_conflict,unit_conflict,78,3.35%,单位不一致。
