section,key,label,count,percent,description
治理等级,C,C,2021,86.78%,C-补关键规格
治理等级,D,D,256,10.99%,D-阻塞冲突
治理等级,A,A,48,2.06%,A-可发布候选
治理等级,B,B,4,0.17%,B-简单确认
问题类型,specs_conflict,specs_conflict,691,29.67%,
问题类型,needs_human_review,needs_human_review,571,24.52%,
问题类型,missing_specs,missing_specs,550,23.62%,
问题类型,alias_conflict,alias_conflict,243,10.43%,
问题类型,low_precision_conflict,low_precision_conflict,202,8.67%,
问题类型,none,none,48,2.06%,
问题类型,unit_conflict,unit_conflict,13,0.56%,
问题类型,needs_note_review,needs_note_review,7,0.30%,
问题类型,note_question,note_question,4,0.17%,
匹配规则,default,default,467,20.05%,
匹配规则,tool,tool,332,14.26%,
匹配规则,electrical,electrical,256,10.99%,
匹配规则,equipment_part,equipment_part,238,10.22%,
匹配规则,pipe_and_fitting,pipe_and_fitting,210,9.02%,
匹配规则,fastener,fastener,165,7.08%,
匹配规则,construction_material,construction_material,159,6.83%,
匹配规则,office_cleaning,office_cleaning,139,5.97%,
匹配规则,safety,safety,126,5.41%,
匹配规则,chemical_paint_adhesive,chemical_paint_adhesive,105,4.51%,
匹配规则,welding,welding,72,3.09%,
匹配规则,metal_material,metal_material,60,2.58%,
规则来源,rules_yaml,rules_yaml,1862,79.95%,
规则来源,default,default,467,20.05%,
一级分组,工具器具,工具器具,332,14.26%,
一级分组,电气与自动化,电气与自动化,256,10.99%,
一级分组,工程建材,工程建材,225,9.66%,
一级分组,设备备件与加工件,设备备件与加工件,199,8.54%,
一级分组,液压气动,液压气动,158,6.78%,
一级分组,管道管件,管道管件,145,6.23%,
一级分组,行政办公与清洁,行政办公与清洁,139,5.97%,
一级分组,化工油漆胶粘,化工油漆胶粘,136,5.84%,
一级分组,紧固件,紧固件,113,4.85%,
一级分组,五金备件,五金备件,104,4.47%,
一级分组,吊装索具,吊装索具,96,4.12%,
一级分组,劳保用品,劳保用品,93,3.99%,
一级分组,焊接焊割,焊接焊割,72,3.09%,
一级分组,金属原材料,金属原材料,60,2.58%,
一级分组,阀门,阀门,43,1.85%,
一级分组,包装与标识,包装与标识,31,1.33%,
一级分组,安全防护,安全防护,31,1.33%,
一级分组,消防器材,消防器材,23,0.99%,
一级分组,润滑系统,润滑系统,21,0.90%,
一级分组,仪器仪表,仪器仪表,16,0.69%,
一级分组,弱电安防,弱电安防,10,0.43%,
一级分组,仓储物流,仓储物流,8,0.34%,
一级分组,密封件,密封件,6,0.26%,
一级分组,待治理,待治理,6,0.26%,
一级分组,生产辅料,生产辅料,4,0.17%,
一级分组,环保,环保,2,0.09%,
缺失规格,none,none,1702,73.08%,
缺失规格,品牌,品牌,382,16.40%,
缺失规格,规格,规格,381,16.36%,
缺失规格,材质,材质,335,14.38%,
缺失规格,适用设备,适用设备,331,14.21%,
缺失规格,至少一个: 型号,至少一个: 型号,317,13.61%,
缺失规格,尺寸,尺寸,296,12.71%,
缺失规格,包装规格,包装规格,231,9.92%,
缺失规格,型号,型号,231,9.92%,
缺失规格,至少一个: 规格,至少一个: 规格,227,9.75%,
缺失规格,类型,类型,189,8.12%,
缺失规格,功率,功率,163,7.00%,
缺失规格,厚度,厚度,161,6.91%,
缺失规格,长度,长度,106,4.55%,
缺失规格,图号,图号,91,3.91%,
缺失规格,至少一个: 类型,至少一个: 类型,76,3.26%,
缺失规格,位数,位数,65,2.79%,
缺失规格,电压,电压,65,2.79%,
缺失规格,电流,电流,65,2.79%,
缺失规格,强度等级,强度等级,56,2.40%,
缺失规格,直径,直径,20,0.86%,
缺失规格,颜色,颜色,19,0.82%,
缺失规格,DN,DN,14,0.60%,
缺失规格,口径,口径,14,0.60%,
缺失规格,宽度,宽度,7,0.30%,
缺失规格,至少一个: 材质,至少一个: 材质,7,0.30%,
缺失规格,表面,表面,7,0.30%,
