draft_sku_id	draft_item_code	import_status	放行等级	标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	candidate_count	source_candidate_rows	confirmation_required	confirmation_reason
SKU-DRAFT-000002	ELEC-000001	ready_to_import	A	漏电断路器	品牌：施耐德；极数：4P；电流：250A；类型：漏电二合一		电气材料/低压电器	个	4P*250A施耐德漏电二合一	1	2	否	
SKU-DRAFT-000003	ELEC-000002	ready_to_import	A	热缩管	规格：3cm		电气材料/绝缘材料	米	3CM热缩管	1	3	否	
SKU-DRAFT-000004	ELEC-000003	ready_to_import	A	热缩管	规格：2cm		电气材料/绝缘材料	米	2CM热缩管	1	4	否	
SKU-DRAFT-000005	ELEC-000004	ready_to_import	A	热缩管	规格：1.5cm		电气材料/绝缘材料	米	1.5CM热缩管	1	5	否	
SKU-DRAFT-000006	ELEC-000005	ready_to_import	A	电工胶布	品牌：3M；颜色：透明		电气材料/绝缘材料	个	3M透明电胶布	1	6	否	
SKU-DRAFT-000009	ELEC-000007	confirm_then_import	B	USB插座	品牌：公牛；USB电流：2.1A		电气材料/插座开关	个	2.1AUSB公牛插座；2.1ASUB公牛插座	1	9	是	输入别名疑似将USB写作SUB，按名称和规格归一为USB
SKU-DRAFT-000011	ELEC-000009	confirm_then_import	B	电箱	型号/规格：P230		电气材料/配电箱	个	P230电箱	1	11	是	P230语义未明，按原型号/规格保留
SKU-DRAFT-000020	TOOL-000001	ready_to_import	A	紧线器	额定载荷：1T		工具器具/电力工具	套	1T紧线器	1	20	否	
SKU-DRAFT-000021	CONST-000001	confirm_then_import	B	木方	规格：4*9		建筑材料/模板木方	米	4*9木方	1	21	是	输入规格单位未确认，按原4*9保留
SKU-DRAFT-000022	CONST-000002	confirm_then_import	B	木方	规格：4*4		建筑材料/模板木方	米	4*4木方	1	22	是	输入规格单位未确认，按原4*4保留
SKU-DRAFT-000023	SPARE-000001	ready_to_import	A	铁钉	长度：2寸		五金备件/紧固件	斤	2寸铁钉	1	23	否	
SKU-DRAFT-000024	METAL-000001	ready_to_import	A	不锈钢合页	材质：不锈钢；规格：4寸		五金备件/门窗五金	套	4寸不锈钢合页	1	24	否	
SKU-DRAFT-000028	PIPE-000002	ready_to_import	A	PPR直通	品牌：公元；规格：25；类型：直通		工程材料/PPR管件	个	公元25PPR直通	1	28	否	
SKU-DRAFT-000031	PIPE-000005	ready_to_import	A	PPR管剪刀	品牌：公元；用途：PPR管剪切		工具器具/管道工具	个	公元PPR剪刀	1	31	否	
SKU-DRAFT-000032	MAT-CEM-000001	ready_to_import	A	石子	粒径：4-6mm		建筑材料/水泥砂石	斤	4-6MM石子	1	32	否	
SKU-DRAFT-000040	ELEC-000021	ready_to_import	A	钢钉线卡	规格：20		电气材料/电气辅材	个	20钢钉线卡	1	40	否	
SKU-DRAFT-000042	PIPE-000007	ready_to_import	A	PPR三通	品牌：公元；规格：25；类型：三通		工程材料/PPR管件	个	公元PPR25三通	1	42	否	
SKU-DRAFT-000043	PIPE-000008	confirm_then_import	B	PPR内牙三通	品牌：公元；规格：25；连接：内牙；类型：三通		工程材料/PPR管件	个	公元PPR25内牙三通	1	43	是	内牙口径未说明，按原25规格低精度建候选
SKU-DRAFT-000044	PIPE-000009	ready_to_import	A	PPR内牙直通	品牌：公元；规格：PPR25*4分；连接：内牙；类型：直通		工程材料/PPR管件	个	公元PPR25*4内牙直通	1	44	否	
SKU-DRAFT-000045	PIPE-000010	confirm_then_import	B	PPR内牙弯头	品牌：公元；规格：25；连接：内牙；类型：弯头		工程材料/PPR管件	个	公元PPR25内牙弯头	1	45	是	内牙口径未说明，按原25规格低精度建候选
SKU-DRAFT-000046	MAT-000003	confirm_then_import	B	洗衣机龙头	用途：洗衣机		工程材料/水暖五金	个	洗衣机龙头	1	46	是	材质缺失，洗衣机龙头低精度建候选
SKU-DRAFT-000049	PIPE-000013	confirm_then_import	B	水管钩	规格：25		工程材料/管道辅材	个	25水管钩	1	49	是	材质缺失，水管钩低精度建候选
SKU-DRAFT-000050	ELEC-000022	ready_to_import	A	镀锌电线架	材质：镀锌；位数：4位		电气材料/电气辅材	个	4位镀锌电线架	1	50	否	
SKU-DRAFT-000051	HW-LOCK-000002	ready_to_import	A	挂锁	材质：不锈钢；规格：50		五金备件/锁具	个	50不锈钢挂锁	1	51	否	
SKU-DRAFT-000057	SPARE-000005	ready_to_import	A	合页	材质：不锈钢；规格：4寸；特征：加厚		五金备件/门窗五金	付	4寸不锈钢加厚合页	1	57	否	
SKU-DRAFT-000058	HW-LOCK-000003	ready_to_import	A	抽锁	材质：不锈钢；规格：5寸		五金备件/锁具	个	5寸不锈钢抽锁	1	58	否	
SKU-DRAFT-000064	ADMIN-000003	ready_to_import	A	水壶	材质：不锈钢；容量：6.5升		办公生活用品/小电器	个	6.5升不锈钢水壶	1	64	否	
SKU-DRAFT-000071	ELEC-000023	confirm_then_import	B	空调插座	品牌：公牛；电流：16A；用途：空调		电气材料/插头插座	个	公牛16A空调插座；16A公牛空调插座	1	71	是	明装/暗装未说明，需后续确认；输入提示称与其他行同物料，未在本批合并
SKU-DRAFT-000072	ELEC-000024	ready_to_import	A	插排	品牌：公牛；线长：3米；孔位：8孔		电气材料/插头插座	个	公牛插座3米*8孔	1	72	否	
SKU-DRAFT-000075	ELEC-000027	ready_to_import	A	排气扇	规格：50*50		电气材料/通风设备	台	50*50排气扇	1	75	否	
SKU-DRAFT-000076	ELEC-000028	ready_to_import	A	漏电保护器	品牌：施耐德；极数：2P；电流：63A		电气材料/低压电器	个	2P*63A施耐德漏电保护器	1	76	否	
SKU-DRAFT-000077	ELEC-000029	ready_to_import	A	空气开关	品牌：施耐德；极数：3P；电流：63A		电气材料/低压电器	个	3P*63A施耐德空气开关	1	77	否	
SKU-DRAFT-000078	METAL-000002	ready_to_import	A	洗脸盆	材质：不锈钢；长度：2米；特征：加厚		工程材料/洁具	台	2米加厚不锈钢洗脸盆	1	78	否	
SKU-DRAFT-000080	PIPE-000014	confirm_then_import	B	洗脸盆下水管	用途：洗脸盆；类型：下水管		工程材料/洁具配件	套	洗脸盆下水管	1	80	是	材质、接口规格未注明，需后续确认；输入提示称与其他行同物料，未在本批合并
SKU-DRAFT-000083	SAFE-000001	ready_to_import	A	帆布手套	类型：双重/双层帆布		劳保耗材/手套	双	双重帆布手套	1	83	否	
SKU-DRAFT-000087	MAT-000008	confirm_then_import	B	水龙头	规格：4分；类型：冷热		工程材料/水暖五金	个	4分冷热水龙头	1	88	是	材质缺失，需后续确认；输入提示称与其他行同物料，未在本批合并
SKU-DRAFT-000088	PIPE-000015	ready_to_import	A	PPR过桥弯	品牌：公元；规格：25；类型：过桥弯		工程材料/PPR管件	个	公元25PPR过桥弯	1	89	否	
