proposed_item_code,standard_name,specification,unit,item_group_key,erpnext_item_group,material,thickness,width,form,brand,model,package_spec,alias_names,supplier_names,source_count,status,notes,source_rows
CNS-000001,抗盐膨润土,抗盐膨润土,吨,consumable,耗材,,,,,,,,抗盐膨润土,,12,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2429 | Sheet1:2435 | Sheet1:2438 | Sheet1:2440 | Sheet1:2441 | Sheet1:2442 | Sheet1:2443 | Sheet1:2445 | Sheet1:2446 | Sheet1:2447 | Sheet1:3319 | Sheet1:3613
CNS-000002,帆布手套,帆布手套,付,consumable,耗材,,,,,,,,帆布手套,,11,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2638 | Sheet1:2793 | Sheet1:2814 | Sheet1:2847 | Sheet1:3022 | Sheet1:3080 | Sheet1:3098 | Sheet1:3353 | Sheet1:3408 | Sheet1:3600 | Sheet1:3641
CNS-000003,乙炔,乙炔,瓶,consumable,耗材,,,,,,,,乙炔,,10,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:269 | Sheet1:787 | Sheet1:859 | Sheet1:866 | Sheet1:883 | Sheet1:937 | Sheet1:949 | Sheet1:963 | Sheet1:1041 | Sheet1:2033
CNS-000004,抹布,抹布,Kg,consumable,耗材,,,,,,,,抹布,,10,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2520 | Sheet1:2650 | Sheet1:2681 | Sheet1:2728 | Sheet1:2848 | Sheet1:2941 | Sheet1:2968 | Sheet1:2982 | Sheet1:3432 | Sheet1:3643
CNS-000005,氧气,氧气,瓶,consumable,耗材,,,,,,,,氧气,,9,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:268 | Sheet1:858 | Sheet1:865 | Sheet1:882 | Sheet1:948 | Sheet1:964 | Sheet1:1040 | Sheet1:1332 | Sheet1:2032
CNS-000006,膨润土运费1400元,膨润土运费1400元,项,consumable,耗材,,,,,,,,膨润土运费1400元,,9,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2491 | Sheet1:2496 | Sheet1:2498 | Sheet1:2500 | Sheet1:2501 | Sheet1:2502 | Sheet1:2505 | Sheet1:2506 | Sheet1:2507
CNS-000007,蛇皮袋,蛇皮袋,条,consumable,耗材,,,,,,,,蛇皮袋,,8,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2651 | Sheet1:2755 | Sheet1:2881 | Sheet1:3237 | Sheet1:3360 | Sheet1:3437 | Sheet1:3626 | Sheet1:3649
CNS-000008,PO42.5水泥,PO42.5水泥,包,consumable,耗材,,,,,,,,PO42.5水泥,,7,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:782 | Sheet1:990 | Sheet1:996 | Sheet1:1005 | Sheet1:1008 | Sheet1:1011 | Sheet1:1026
CNS-000009,加厚油布,加厚油布,平方,consumable,耗材,,,,,,,,加厚油布,,7,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:994 | Sheet1:1231 | Sheet1:1458 | Sheet1:1500 | Sheet1:1650 | Sheet1:1803 | Sheet1:1951
CNS-000010,大块棉布,大块棉布,Kg,consumable,耗材,,,,,,,,大块棉布,,7,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:266 | Sheet1:298 | Sheet1:1464 | Sheet1:1851 | Sheet1:1942 | Sheet1:2099 | Sheet1:2267
CNS-000011,格力1级能效空调,格力1级能效空调,台,consumable,耗材,,,,,,,,格力1级能效空调,,7,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2890 | Sheet1:2931 | Sheet1:3053 | Sheet1:3330 | Sheet1:3388 | Sheet1:3442 | Sheet1:3502
CNS-000012,白色调和油漆,白色调和油漆,桶,consumable,耗材,,,,,,,,白色调和油漆,,7,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:367 | Sheet1:447 | Sheet1:471 | Sheet1:577 | Sheet1:621 | Sheet1:1123 | Sheet1:1153
CNS-000013,双快水泥,双快水泥,包,consumable,耗材,,,,,,,,双快水泥,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:1249 | Sheet1:2234 | Sheet1:2323 | Sheet1:2350 | Sheet1:2463 | Sheet1:2817
CNS-000014,小米二代对讲机,小米二代对讲机,部,consumable,耗材,,,,,,,,小米二代对讲机,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:3131 | Sheet1:3219 | Sheet1:3469 | Sheet1:3558 | Sheet1:3572 | Sheet1:3603
CNS-000015,扎带10*500,扎带10*500,包,consumable,耗材,,,,,,,,扎带10*500,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2792 | Sheet1:2861 | Sheet1:2925 | Sheet1:3182 | Sheet1:3220 | Sheet1:3616
CNS-000016,松香水,松香水,桶,consumable,耗材,,,,,,,,松香水,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:431 | Sheet1:476 | Sheet1:535 | Sheet1:971 | Sheet1:1124 | Sheet1:1154
CNS-000017,橡胶手套,橡胶手套,付,consumable,耗材,,,,,,,,橡胶手套,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2639 | Sheet1:2803 | Sheet1:2815 | Sheet1:2836 | Sheet1:3427 | Sheet1:3640
CNS-000018,稀释剂12kg,稀释剂12kg,桶,consumable,耗材,,,,,,,,稀释剂12kg,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2629 | Sheet1:2683 | Sheet1:2695 | Sheet1:2831 | Sheet1:2838 | Sheet1:2850
CNS-000019,运费,运费,项,consumable,耗材,,,,,,,,运费,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2603 | Sheet1:2604 | Sheet1:2605 | Sheet1:2606 | Sheet1:3162 | Sheet1:3201
CNS-000020,铁丝,铁丝,Kg,consumable,耗材,,,,,,,,铁丝,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:134 | Sheet1:922 | Sheet1:1617 | Sheet1:2189 | Sheet1:2282 | Sheet1:2339
CNS-000021,黄砂,黄砂,吨,consumable,耗材,,,,,,,,黄砂,,6,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2853 | Sheet1:3161 | Sheet1:3445 | Sheet1:3521 | Sheet1:3529 | Sheet1:3534
CNS-000022,2T卸扣,2T卸扣,Nos,consumable,耗材,,,,,,,,2T卸扣,,5,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:282 | Sheet1:313 | Sheet1:812 | Sheet1:1549 | Sheet1:1875
CNS-000023,80加厚铜头,80加厚铜头,Nos,consumable,耗材,,,,,,,,80加厚铜头,,5,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:1591 | Sheet1:1626 | Sheet1:1653 | Sheet1:1714 | Sheet1:2270
