"sequence","excel_row","raw_name","standard_name","item_group","specs","unit","status","question"
"1487","1488","维修37千瓦电机","电机维修服务","服务费用/维修服务","设备: 电机；功率: 37kW；服务: 维修","台","服务项","不建库存物料，需关联设备/维修单"
"1488","1489","维修气动扳手","气动扳手维修服务","服务费用/维修服务","设备: 气动扳手；服务: 维修","支","服务项","不建库存物料，需关联工具资产"
"1540","1541","维修气动扳手","气动扳手维修服务","服务费用/维修服务","设备: 气动扳手；服务: 维修","支","服务项","与1489同类，不建库存物料"
"1595","1596","维修5.5 千w水泵线圈换线","水泵维修服务","服务费用/维修服务","设备: 水泵；功率: 5.5kW；内容: 线圈换线","台","服务项","不建库存物料，需关联设备"
"1596","1597","维修推进泵","推进泵维修服务","服务费用/维修服务","设备: 推进泵；服务: 维修","台","服务项","不建库存物料，需关联设备"
"1597","1598","清理生活垃圾","垃圾清运服务","服务费用/清运服务","服务: 清理生活垃圾","车","服务项","不建库存物料，需关联服务合同/区域"
"1732","1733","维修切割机","切割机维修服务","服务费用/维修服务","设备: 切割机；服务: 维修","台","服务项","不建库存物料，需关联设备"
"1745","1746","维修水泵","水泵维修服务","服务费用/维修服务","设备: 水泵；服务: 维修","台","服务项","不建库存物料，需关联设备"
"1746","1747","维修电锤","电锤维修服务","服务费用/维修服务","设备: 电锤；服务: 维修","台","服务项","不建库存物料，需关联工具资产"
"1747","1748","维修增吸泵","增吸泵维修服务","服务费用/维修服务","设备: 增吸泵；服务: 维修","台","服务项","“增吸泵”是否增压泵需确认"
"1760","1761","维修5.5千w水泵换线圈","水泵维修服务","服务费用/维修服务","设备: 水泵；功率: 5.5kW；内容: 换线圈","台","服务项","不建库存物料，需关联设备"
"1761","1762","维修清水泵","清水泵维修服务","服务费用/维修服务","设备: 清水泵；服务: 维修","台","服务项","不建库存物料，需关联设备"
"1762","1763","维修电动工具","电动工具维修服务","服务费用/维修服务","设备: 电动工具；服务: 维修","台","服务项","不建库存物料，需列明工具类型"
"1782","1783","修理潜水泵","潜水泵维修服务","服务费用/维修服务","设备: 潜水泵；服务: 修理","台","服务项","不建库存物料，需关联设备"
"1783","1784","修理手扳葫芦","手扳葫芦维修服务","服务费用/维修服务","设备: 手扳葫芦；服务: 修理","台","服务项","不建库存物料，需关联吊具台账"
"1784","1785","维修三级旋涂泵叶轮","泵叶轮维修服务","服务费用/维修服务","设备: 三级旋涂泵；部件: 叶轮；服务: 维修","台","服务项","“旋涂泵”名称需确认"
"1785","1786","维修叶轮轴","叶轮轴维修服务","服务费用/维修服务","部件: 叶轮轴；服务: 维修","次","服务项","需关联设备/图号"
"1786","1787","送检42.5微膨胀水泥","水泥送检服务","服务费用/检测服务","样品: 42.5微膨胀水泥；服务: 送检","KG","服务项","不建普通物料，若建样品需记录检验项目"
"1803","1804","租液压扳手","液压扳手租赁服务","服务费用/租赁服务","设备: 液压扳手；服务: 租赁","天","服务项","不建库存物料，需关联租赁单"
"1988","1989","维修锂电钻","锂电钻维修服务","服务费用/维修服务","设备: 锂电钻；服务: 维修","个","服务项","不建库存物料，需关联工具资产"
"1989","1990","维修二保焊机","二保焊机维修服务","服务费用/维修服务","设备: 二保焊机；服务: 维修","个","服务项","不建库存物料，需关联设备"
"2026","2027","大气动扳手维修","气动扳手维修服务","服务费用/维修服务","设备: 大气动扳手；服务: 维修","台","服务项","不建库存物料，需关联工具资产"
"2118","2119","大车转运生活垃圾","垃圾转运服务","服务费用/清运服务","服务: 生活垃圾转运；车辆: 大车","次","服务项","不建库存物料，需关联区域/合同"
"2190","2191","二保电焊机维修","二保焊机维修服务","服务费用/维修服务","设备: 二保焊机；服务: 维修","台","服务项","不建库存物料，需关联设备"
"2201","2202","潜水泵维修","潜水泵维修服务","服务费用/维修服务","设备: 潜水泵；服务: 维修","次","服务项","不建库存物料，需关联设备"
"2237","2238","送检22钢筋接头","钢筋接头送检服务","服务费用/检测服务","样品: 22钢筋接头；服务: 送检","个","服务项","不建库存物料，需关联检测项目"
"2255","2256","7.5千瓦污水泵电机维修","污水泵电机维修服务","服务费用/维修服务","设备: 污水泵电机；功率: 7.5kW；服务: 维修","台","服务项","不建库存物料，需关联设备"
"2286","2288","代付胡光国","代付款项","费用/代付款","对象: 胡光国；类型: 代付","1","非物料","不建物料，需走费用/往来"
"2287","2289","代付垃圾清理费","垃圾清理费","服务费用/清运服务","类型: 垃圾清理费；支付: 代付","1","服务项","不建库存物料，需关联费用单"
"2306","2308","代付运输费用","运输费","服务费用/运输服务","类型: 运输费用；支付: 代付","1","服务项","不建库存物料，需关联运输费用单"
"2311","2313","维修注浆泵","注浆泵维修服务","服务费用/设备维修","设备: 注浆泵；类型: 维修","台","服务项","不建库存物料，需关联维修工单/设备"
"2467","2469","油管+接头一批物流费260元","物流费","服务费用/运输服务","关联物料: 油管+接头；金额: 260元","项","服务项","不建库存物料，作为采购附加费用"
"2468","2470","DN200接头顺丰快递46元","快递费","服务费用/快递费","关联物料: DN200接头；承运: 顺丰；金额: 46元","项","服务项","不建库存物料"
"2469","2471","钢丝绳运费96元","运费","服务费用/运输服务","关联物料: 钢丝绳；金额: 96元","项","服务项","不建库存物料"
"2470","2472","密封胶物流快递费120元","物流快递费","服务费用/快递费","关联物料: 密封胶；金额: 120元","项","服务项","不建库存物料"
"2471","2473","齿轮油运费80元","运费","服务费用/运输服务","关联物料: 齿轮油；金额: 80元","项","服务项","不建库存物料"
"2472","2474","空压机管顺丰邮费110元","快递费","服务费用/快递费","关联物料: 空压机管；承运: 顺丰；金额: 110元","项","服务项","不建库存物料"
"2473","2475","接头顺丰快递21元","快递费","服务费用/快递费","关联物料: 接头；承运: 顺丰；金额: 21元","项","服务项","不建库存物料"
"2474","2476","5捆丙轮吊布运费110元","运费","服务费用/运输服务","关联物料: 丙轮吊布；数量描述: 5捆；金额: 110元","项","服务项","`丙轮`疑似`丙纶`，不建库存物料"
"2475","2477","胶管运费190元","运费","服务费用/运输服务","关联物料: 胶管；金额: 190元","项","服务项","不建库存物料"
"2476","2478","T型螺丝顺丰运费59元","快递费","服务费用/快递费","关联物料: T型螺丝；承运: 顺丰；金额: 59元","项","服务项","不建库存物料"
"2477","2479","氟胶O型盒装顺丰快递30元","快递费","服务费用/快递费","关联物料: 氟胶O型圈套装；承运: 顺丰；金额: 30元","项","服务项","原始`O型盒装`需保留，不建库存物料"
"2478","2480","接头顺丰快递42元","快递费","服务费用/快递费","关联物料: 接头；承运: 顺丰；金额: 42元","项","服务项","不建库存物料"
"2479","2481","膨润土运费800元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 800元","项","服务项","不建库存物料"
"2480","2482","加工离心机滤网运费110元","运费","服务费用/运输服务","关联物料: 离心机滤网；金额: 110元","项","服务项","不建库存物料"
"2481","2483","抗盐膨润土运费1400元","运费","服务费用/运输服务","关联物料: 抗盐膨润土；金额: 1400元","项","服务项","不建库存物料"
"2482","2484","接头顺丰快递56元","快递费","服务费用/快递费","关联物料: 接头；承运: 顺丰；金额: 56元","项","服务项","不建库存物料"
"2483","2485","普赛达密封胶运费130元","运费","服务费用/运输服务","关联物料: 普赛达密封胶；金额: 130元","项","服务项","不建库存物料"
"2484","2486","T型螺丝顺丰快递85元","快递费","服务费用/快递费","关联物料: T型螺丝；承运: 顺丰；金额: 85元","项","服务项","不建库存物料"
"2485","2487","管夹运费48元","运费","服务费用/运输服务","关联物料: 管夹；金额: 48元","项","服务项","不建库存物料"
"2486","2488","密封胶运费130元","运费","服务费用/运输服务","关联物料: 密封胶；金额: 130元","项","服务项","不建库存物料"
"2487","2489","超高压接运费130元","运费","服务费用/运输服务","关联物料: 超高压接头；金额: 130元","项","服务项","原始`接`疑似`接头`，不建库存物料"
"2488","2490","胶管运费60元","运费","服务费用/运输服务","关联物料: 胶管；金额: 60元","项","服务项","不建库存物料"
"2489","2491","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2490","2492","T型螺丝运费57元","运费","服务费用/运输服务","关联物料: T型螺丝；金额: 57元","项","服务项","不建库存物料"
"2491","2493","密封胶10箱上海发运费130元","运费","服务费用/运输服务","关联物料: 密封胶；数量: 10箱；发货地: 上海；金额: 130元","项","服务项","不建库存物料"
"2492","2494","密封胶10箱广东发运费206元","运费","服务费用/运输服务","关联物料: 密封胶；数量: 10箱；发货地: 广东；金额: 206元","项","服务项","不建库存物料"
"2493","2495","六联管夹邮费35元","邮费","服务费用/快递费","关联物料: 六联管夹；金额: 35元","项","服务项","不建库存物料"
"2494","2496","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2495","2497","风筒运费100元","运费","服务费用/运输服务","关联物料: 风筒；金额: 100元","项","服务项","不建库存物料"
"2496","2498","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2497","2499","密封胶运费153元","运费","服务费用/运输服务","关联物料: 密封胶；金额: 153元","项","服务项","不建库存物料"
"2498","2500","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2499","2501","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2500","2502","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2501","2503","膨润土运费1700元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1700元","项","服务项","不建库存物料"
"2502","2504","螺纹钢运费1400元","运费","服务费用/运输服务","关联物料: 螺纹钢；金额: 1400元","项","服务项","不建库存物料"
"2503","2505","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2504","2506","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2505","2507","膨润土运费1400元","运费","服务费用/运输服务","关联物料: 膨润土；金额: 1400元","项","服务项","不建库存物料"
"2506","2508","工字钢运费","运费","服务费用/运输服务","关联物料: 工字钢","项","服务项","金额缺失，不建库存物料"
"2507","2509","货拉拉从上海到南京运费802.5元","运费","服务费用/运输服务","承运: 货拉拉；起点: 上海；终点: 南京；金额: 802.5元","项","服务项","不建库存物料"
"2508","2510","送电机运份一次130元","运费","服务费用/运输服务","关联物料: 电机；次数: 1次；金额: 130元","项","服务项","原始`运份`疑似`运费`，不建库存物料"
"2509","2511","送管道泵运费一次110元","运费","服务费用/运输服务","关联物料: 管道泵；次数: 1次；金额: 110元","项","服务项","不建库存物料"
"2510","2512","顺丰快递送球阀运费48元","快递费","服务费用/快递费","承运: 顺丰；关联物料: 球阀；金额: 48元","项","服务项","不建库存物料"
"2511","2513","货拉拉送安全阀395元","运费","服务费用/运输服务","承运: 货拉拉；关联物料: 安全阀；金额: 395元","项","服务项","不建库存物料"
"2512","2514","送模板运费180元","运费","服务费用/运输服务","关联物料: 模板；金额: 180元","项","服务项","不建库存物料"
"2513","2515","送双快水泥运费160","运费","服务费用/运输服务","关联物料: 双快水泥；金额: 160元","项","服务项","不建库存物料"
"2575","2577","修理45KW电机","电机维修服务","服务费用/设备维修","设备: 电机；功率: 45kW；类型: 修理","台","服务项","不建库存物料，需关联维修记录"
"2576","2578","修理7.5KW液下泵电机带换配件","液下泵电机维修服务","服务费用/设备维修","设备: 液下泵电机；功率: 7.5kW；包含: 更换配件","台","服务项","配件明细可另建物料，不建整项库存物料"
"2601","2603","运费","运费","服务费用/运输服务","类型: 运费","项","服务项","不建库存物料，关联单据缺失"
"2602","2604","运费","运费","服务费用/运输服务","类型: 运费","项","服务项","不建库存物料，关联单据缺失"
"2603","2605","运费","运费","服务费用/运输服务","类型: 运费","项","服务项","不建库存物料，关联单据缺失"
"2604","2606","运费","运费","服务费用/运输服务","类型: 运费","项","服务项","不建库存物料，关联单据缺失"
"2605","2607","顺丰快递","快递费","服务费用/快递费","承运: 顺丰","项","服务项","不建库存物料，关联物料/金额缺失"
"2606","2608","送水桶","运费","服务费用/运输服务","关联物料: 水桶；动作: 送货","项","服务项","不建库存物料，金额缺失"
"2607","2609","从定安路拉电机到维修点","运输费","服务费用/运输服务","关联设备: 电机；起点: 定安路；终点: 维修点","项","服务项","不建库存物料，金额缺失"
"2608","2610","从维修点送到机施","运输费","服务费用/运输服务","起点: 维修点；终点: 机施","项","服务项","不建库存物料，关联设备/金额缺失"
"2609","2611","送密封胶运费","运费","服务费用/运输服务","关联物料: 密封胶；动作: 送货","项","服务项","不建库存物料，金额缺失"
"2610","2612","送胶管运费","运费","服务费用/运输服务","关联物料: 胶管；动作: 送货","项","服务项","不建库存物料，金额缺失"
"2613","2615","2台空调维修1310元","空调维修服务","服务费用/设备维修","设备: 空调；数量: 2台；金额: 1310元","项","服务项","不建库存物料，需关联设备/维修单"
"2642","2644","修理7.5KW液下泵","液下泵维修服务","服务费用/设备维修","设备: 液下泵；功率: 7.5KW；类型: 修理","台","服务项","不建库存物料，需关联维修记录"
"2682","2684","修理电焊机","电焊机维修服务","服务费用/设备维修","设备: 电焊机；类型: 修理","台","服务项","不建库存物料，需关联维修记录"
"2737","2740","机施安4个窗户玻璃1840元","窗户玻璃安装服务","服务费用/安装服务","位置/对象: 机施；数量: 4个窗户；金额: 1840元","项","服务项","如单独采购玻璃需拆物料和安装费"
"2940","2943","修理电焊机","电焊机维修服务","服务费用/设备维修","设备: 电焊机；类型: 修理","台","服务项","不建库存物料，需关联维修记录"
"3026","3029","运费1000","运费","服务费用/运输服务","类型: 运费；金额: 1000","项","服务项","不建库存物料，关联物料缺失"
"3158","3162","运费","运费","服务费用/运输服务","类型: 运费","项","服务项","不建库存物料，关联物料/金额缺失"
"3175","3179","加工扣压接头","扣压接头加工服务","服务费用/加工服务","加工: 扣压；对象: 接头","套","服务项","若形成固定接头总成需补规格后建档"
"3197","3201","运费","运费","服务费用/运输服务","类型: 运费","项","服务项","不建库存物料，关联物料/金额缺失"
"3225","3229","维修二保焊机","二保焊机维修服务","服务费用/设备维修","设备: 二保焊机；类型: 维修","台","服务项","不建库存物料，需关联维修记录"
"3248","3253","运费560","运费","服务费用/运输服务","类型: 运费；金额: 560","项","服务项","不建库存物料，关联物料缺失"
"3294","3299","修理电焊机","电焊机维修服务","服务费用/设备维修","设备: 电焊机；类型: 修理","台","服务项","不建库存物料，需关联维修记录"
"3315","3320","运费1次","运费","服务费用/运输服务","类型: 运费；次数: 1次","项","服务项","不建库存物料，关联物料/金额缺失"
"3345","3350","安装人工费（包含上门车路费）","安装人工费","服务费用/安装服务","包含: 上门车路费；类型: 安装人工","项","服务项","不建库存物料"
"3384","3389","4台空调不锈钢支架+打4个空调孔560元","空调安装辅材及打孔服务","服务费用/安装服务","关联: 空调；内容: 不锈钢支架+打孔；数量: 4台/4孔；金额: 560元","项","服务项","如支架单独库存需拆分建物料"
"3441","3446","装卸费+运费460元","装卸运费","服务费用/运输装卸","类型: 装卸费+运费；金额: 460元","项","服务项","不建库存物料"
"3518","3523","运费1次","运费","服务/物流费用","次数: 1次","项","费用/服务","非库存物料"
"3525","3530","运费1次","运费","服务/物流费用","次数: 1次","项","费用/服务","非库存物料"
"3528","3533","装卸费+运费430","装卸及运费","服务/物流费用","金额/备注: 430；类型: 装卸费+运费","项","费用/服务","非库存物料，金额不应进入物料名称"
"3530","3535","运费1次","运费","服务/物流费用","次数: 1次","项","费用/服务","非库存物料"
"3600","3605","1.2米螺旋泵杆维修","螺旋泵杆维修","服务/设备维修","设备: 螺旋泵杆；长度: 1.2米；类型: 维修","根","费用/服务","若形成备件需补图纸/材质"
"3609","3614","运费1次","运费","服务/物流费用","次数: 1次","项","费用/服务","非库存物料"
"3617","3623","维修对讲机","对讲机维修","服务/设备维修","维修对象: 对讲机","部","费用/服务","非库存物料"
"3653","3659","修理水泵","水泵维修","服务/设备维修","维修对象: 水泵","台","费用/服务","非库存物料"
"3655","3661","运费180","运费","服务/物流费用","金额/备注: 180","项","费用/服务","非库存物料，金额不应进入物料名称"
"3657","3663","拉水泥罐到工地来回运输2次3000元","水泥罐运输服务","服务/物流费用","内容: 拉水泥罐到工地来回运输；次数: 2次；金额/备注: 3000元","项","费用/服务","非库存物料，金额不应进入物料名称"
"3659","3665","运费1500元","运费","服务/物流费用","金额/备注: 1500元","项","费用/服务","非库存物料，金额不应进入物料名称"
"3661","3667","运费1500元","运费","服务/物流费用","金额/备注: 1500元","项","费用/服务","非库存物料，金额不应进入物料名称"
