merged_item_code,standard_name,reviewed_group_paths,canonical_group_path,specs,unit,source_count,source_statuses,alias_names,source_rows,notes,merged_from_codes,merge_reason,merge_confidence,needs_human_review,import_ready,resolution_status,resolution_reason,related_conflict_types,blocking_conflict_types
REVIEW-MAT-00003,热缩管,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,规格: 3CM,米,1,可建档,3CM热缩管,Sheet1:5,,REVIEW-MAT-00003,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00004,热缩管,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,规格: 2CM,米,1,可建档,2CM热缩管,Sheet1:6,,REVIEW-MAT-00004,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00005,热缩管,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,规格: 1.5CM,米,1,可建档,1.5CM热缩管,Sheet1:7,,REVIEW-MAT-00005,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00006,透明电工胶布,电气材料/绝缘材料,电气与自动化/绝缘材料/热缩绝缘,品牌: 3M；颜色: 透明,个,1,可建档,3M透明电胶布,Sheet1:8,,REVIEW-MAT-00006,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00042,PPR三通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 三通,个,1,可建档,公元PPR25三通,Sheet1:67,,REVIEW-MAT-00042,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00044,PPR内牙直通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: PPR25*4分；连接: 内牙；类型: 直通,个,1,可建档,公元PPR25*4内牙直通,Sheet1:69,,REVIEW-MAT-00044,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00045,PPR内牙弯头,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；连接: 内牙；类型: 弯头,个,1,可建档,公元PPR25内牙弯头,Sheet1:70,,REVIEW-MAT-00045,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00058,不锈钢抽锁,五金备件/锁具,五金备件/门锁锁具/门锁锁具,材质: 不锈钢；规格: 5寸,个,1,可建档,5寸不锈钢抽锁,Sheet1:89,,REVIEW-MAT-00058,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00064,不锈钢水壶,办公生活用品/小电器,行政办公与清洁/生活后勤/生活用品,材质: 不锈钢；容量: 6.5升,个,1,可建档,6.5升不锈钢水壶,Sheet1:99,,REVIEW-MAT-00064,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00072,插排,电气材料/插头插座,电气与自动化/插头插座/插头插座,品牌: 公牛；线长: 3米；孔位: 8孔,个,2,可合并 | 可建档,公牛插座3米*8孔,Sheet1:112；Sheet1:234,与第111行同物料,REVIEW-MAT-00072,single_candidate;source_status_contains_merge,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00089,PPR过桥弯,工程材料/PPR管件,工程建材/水暖建材/水暖五金,品牌: 公元；规格: 25；类型: 过桥弯,个,1,可建档,公元25PPR过桥弯,Sheet1:142,,REVIEW-MAT-00089,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00090,PPR异径直接,工程材料/PPR管件,工程建材/水暖建材/水暖五金,规格: 32*25；类型: 大小头/异径,个,1,可建档,PPR32*25大小头,Sheet1:146,,REVIEW-MAT-00090,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00096,PPR三通,工程材料/PPR管件,工程建材/水暖建材/水暖五金,规格: 25；类型: 三通,个,1,可合并,25PPR三通,Sheet1:152,与第66行同类，缺品牌,REVIEW-MAT-00096,single_candidate;source_status_contains_merge,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00097,PPR内牙弯头,工程材料/PPR管件,工程建材/水暖建材/水暖五金,规格: PPR25*4分；连接: 内牙；类型: 弯头,个,1,可建档,PPR25*4内牙弯头,Sheet1:153,,REVIEW-MAT-00097,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00116,玻璃刮,清洁用品/清洁工具,行政办公与清洁/清洁用品/清洁工具耗材,类型: 玻璃刮,支,1,可建档,玻璃刮,Sheet1:189,,REVIEW-MAT-00116,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00127,玻璃胶枪,工具器具/涂装工具,工具器具/涂装工具/刷辊喷涂,用途: 打玻璃胶,个,1,可建档,玻璃胶枪,Sheet1:220,,REVIEW-MAT-00127,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00131,不锈钢内接,工程材料/水暖管件,工程建材/水暖建材/水暖五金,规格: 4分；材质: 不锈钢；连接: 内接,个,1,可建档,4分不锈钢内接,Sheet1:231,,REVIEW-MAT-00131,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00132,不锈钢外接,工程材料/水暖管件,工程建材/水暖建材/水暖五金,规格: 4分；材质: 不锈钢；连接: 外接,个,1,可建档,4分不锈钢外接,Sheet1:232,,REVIEW-MAT-00132,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00133,不锈钢三通,工程材料/水暖管件,工程建材/水暖建材/水暖五金,规格: 4分；材质: 不锈钢；类型: 三通,个,1,可建档,4分不锈钢三通,Sheet1:233,,REVIEW-MAT-00133,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00153,垃圾夹,清洁用品/清洁工具,行政办公与清洁/清洁用品/清洁工具耗材,类型: 垃圾夹,个,1,可建档,垃圾夹,Sheet1:271,,REVIEW-MAT-00153,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00162,电焊快速接头,焊接耗材/焊机配件,焊接焊割/焊割设备工具/焊机割炬,规格: 35-50,套,1,可建档,35-50电焊快速接头,Sheet1:293,,REVIEW-MAT-00162,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00168,除胶剂,化工耗材/清洗剂,化工油漆胶粘/油品化学品/清洗化学品,品牌: 得力；容量: 500ML,支,1,可建档,得力500ML除胶剂,Sheet1:302,,REVIEW-MAT-00168,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00170,变压USB插座,电气材料/插头插座,电气与自动化/插头插座/插头插座,品牌: 公牛；输入: 220V；输出: 36V；功能: USB,套,1,可建档,公牛220V转36VUSB插座,Sheet1:304,,REVIEW-MAT-00170,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00211,不锈钢名牌,定制件/标识铭牌,设备备件与加工件/金属加工件/金属加工件,定制: 是；材质: 不锈钢；规格: 120*60,个,1,可建档-定制件,定做不锈钢名牌120*60,Sheet1:373,图文内容不作为物料规格,REVIEW-MAT-00211,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00212,不锈钢名牌,定制件/标识铭牌,设备备件与加工件/金属加工件/金属加工件,定制: 是；材质: 不锈钢；规格: 100*80,个,1,可建档-定制件,定做不锈钢名牌100*80,Sheet1:374,图文内容不作为物料规格,REVIEW-MAT-00212,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00213,不锈钢名牌,定制件/标识铭牌,设备备件与加工件/金属加工件/金属加工件,定制: 是；材质: 不锈钢；规格: 30*60,个,1,可建档-定制件,定做不锈钢名牌30*60,Sheet1:375,图文内容不作为物料规格,REVIEW-MAT-00213,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00217,喷漆,化工耗材/涂料,化工油漆胶粘/油漆涂料/涂料油漆,品牌: 三和；颜色: 黄色,支,1,可建档,三和黄色喷漆,Sheet1:381,,REVIEW-MAT-00217,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00218,喷漆,化工耗材/涂料,化工油漆胶粘/油漆涂料/涂料油漆,品牌: 三和；颜色: 天蓝色,支,1,可建档,三和天蓝色喷漆,Sheet1:382,,REVIEW-MAT-00218,single_candidate,1.00,false,true,ready_distinct_specs,同名同分组下存在多个规格，已按规格保留为独立物料。,specs_conflict,
REVIEW-MAT-00229,乳胶手套,劳保耗材/手套,劳保用品/手部防护/手套,材质: 乳胶；特征: 加厚,双,1,可建档,加厚乳胶手套,Sheet1:401,,REVIEW-MAT-00229,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
REVIEW-MAT-00288,自封袋,包装材料/自封袋,包装与标识/袋箱膜包装/袋箱膜,规格: 10#,个,1,可建档,10#自封袋,Sheet1:492,,REVIEW-MAT-00288,single_candidate,1.00,false,true,ready,无阻塞冲突且不需要人工复核。,,
