draft_sku_id	draft_item_code	code_prefix	release_status	放行等级	标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	candidate_count	source_candidate_rows	source_file_rows	grade_counts	matched_category	import_decision	missing_specs	整理依据	dedupe_key
SKU-DRAFT-000001	HW-LOCK-000001	HW-LOCK	needs_missing_specs	C	门锁	用途：办公室门		五金备件/门锁锁具	个	办公室门锁	1	1	2	C:1	锁具	do_not_import_missing_specs	型号；规格；锁体型号	锁体型号/开孔规格缺失，无法区分不同门锁SKU	门锁|用途:办公室门|五金备件/门锁锁具|个
SKU-DRAFT-000002	ELEC-000001	ELEC	ready	A	漏电断路器	品牌：施耐德；极数：4P；电流：250A；类型：漏电二合一		电气材料/低压电器	个	4P*250A施耐德漏电二合一	1	2	3	A:1	电气材料	import_ready			漏电断路器|品牌:施耐德|极数:4p|电流:250a|类型:漏电二合一|电气材料/低压电器|个
SKU-DRAFT-000003	ELEC-000002	ELEC	ready	A	热缩管	规格：3cm		电气材料/绝缘材料	米	3CM热缩管	1	3	4	A:1	电气材料	import_ready			热缩管|规格:30mm|电气材料/绝缘材料|米
SKU-DRAFT-000004	ELEC-000003	ELEC	ready	A	热缩管	规格：2cm		电气材料/绝缘材料	米	2CM热缩管	1	4	5	A:1	电气材料	import_ready			热缩管|规格:20mm|电气材料/绝缘材料|米
SKU-DRAFT-000005	ELEC-000004	ELEC	ready	A	热缩管	规格：1.5cm		电气材料/绝缘材料	米	1.5CM热缩管	1	5	6	A:1	电气材料	import_ready			热缩管|规格:15mm|电气材料/绝缘材料|米
SKU-DRAFT-000006	ELEC-000005	ELEC	ready	A	电工胶布	品牌：3M；颜色：透明		电气材料/绝缘材料	个	3M透明电胶布	1	6	7	A:1	电气材料	import_ready			电工胶布|品牌:3m|颜色:透明|电气材料/绝缘材料|个
SKU-DRAFT-000007	CHEM-000001	CHEM	ready	A	聚氨酯堵漏剂	包装规格：20kg		化工耗材/堵漏剂	桶	聚氨酯堵漏剂20KG	1	7	8	A:1	化工油漆胶粘	import_ready			聚氨酯堵漏剂|包装规格:20kg|化工耗材/堵漏剂|桶
SKU-DRAFT-000008	ELEC-000006	ELEC	needs_missing_specs	C	灯管	功率：36W		电气材料/照明	套	36W灯管	1	8	9	C:1	电气材料	do_not_import_missing_specs	长度	灯管类型（LED/荧光）及长度缺失，36W不足以唯一确定SKU	灯管|功率:36w|电气材料/照明|套
SKU-DRAFT-000009	ELEC-000007	ELEC	needs_confirmation	B	USB插座	品牌：公牛；USB电流：2.1A		电气材料/插座开关	个	2.1AUSB公牛插座；2.1ASUB公牛插座	1	9	10	B:1	电气材料	confirm_then_import	型号	输入别名疑似将USB写作SUB，按名称和规格归一为USB	usb插座|usb电流:2.1a|品牌:公牛|电气材料/插座开关|个
SKU-DRAFT-000010	ELEC-000008	ELEC	needs_missing_specs	C	线盒	安装方式：明装		电气材料/电气辅材	个	明装线盒	1	10	11	C:1	电气材料	do_not_import_missing_specs	规格；尺寸	规格尺寸缺失，明装线盒无法按尺寸区分SKU	线盒|安装方式:明装|电气材料/电气辅材|个
SKU-DRAFT-000011	ELEC-000009	ELEC	needs_confirmation	B	电箱	型号/规格：P230		电气材料/配电箱	个	P230电箱	1	11	12	B:1	电气材料	confirm_then_import	品牌；型号	P230语义未明，按原型号/规格保留	电箱|型号/规格:p230|电气材料/配电箱|个
SKU-DRAFT-000012	ELEC-000010	ELEC	needs_missing_specs	C	五孔插座	品牌：公牛；类型：五孔		电气材料/插座开关	个	公牛五孔插座	1	12	13	C:1	电气材料	do_not_import_missing_specs	型号；电压；电流；安装方式	明装/暗装未说明，可能影响插座SKU区分	五孔插座|品牌:公牛|类型:五孔|电气材料/插座开关|个
SKU-DRAFT-000013	ELEC-000011	ELEC	needs_missing_specs	C	四位开关	品牌：公牛；位数：4位		电气材料/插座开关	个	公牛4位开关	1	13	14	C:1	电气材料	do_not_import_missing_specs	型号；电压；电流；安装方式	明装/暗装未说明，可能影响开关SKU区分	四位开关|位数:4位|品牌:公牛|电气材料/插座开关|个
SKU-DRAFT-000014	ELEC-000012	ELEC	needs_missing_specs	C	一位开关	品牌：公牛；位数：1位		电气材料/插座开关	个	公牛1位开关	1	14	15	C:1	电气材料	do_not_import_missing_specs	型号；电压；电流；安装方式	明装/暗装未说明，可能影响开关SKU区分	一位开关|位数:1位|品牌:公牛|电气材料/插座开关|个
SKU-DRAFT-000015	ELEC-000013	ELEC	needs_missing_specs	C	二位开关	品牌：公牛；位数：2位		电气材料/插座开关	个	公牛2位开关	1	15	16	C:1	电气材料	do_not_import_missing_specs	型号；电压；电流；安装方式	明装/暗装未说明，可能影响开关SKU区分	二位开关|位数:2位|品牌:公牛|电气材料/插座开关|个
SKU-DRAFT-000016	ELEC-000014	ELEC	needs_missing_specs	C	LED灯泡	品牌：公牛；功率：40W		电气材料/照明	个	40WLED公牛灯泡	1	16	17	C:1	电气材料	do_not_import_missing_specs	规格	色温/灯头规格缺失，可能影响LED灯泡SKU区分	led灯泡|功率:40w|品牌:公牛|电气材料/照明|个
SKU-DRAFT-000017	ELEC-000015	ELEC	needs_missing_specs	C	BV电线	品牌：起帆；型号：BV；截面积：2.5平方		电气材料/电线电缆	米	起帆BV2.5平方电线；BV2.5起帆平方电线	1	17	18	C:1	电气材料	do_not_import_missing_specs	颜色	颜色缺失，BV电线通常需按颜色区分SKU	bv电线|品牌:起帆|型号:bv|截面积:2.5平方|电气材料/电线电缆|米
SKU-DRAFT-000018	ELEC-000016	ELEC	needs_missing_specs	C	BV电线	品牌：起帆；型号：BV；截面积：10平方		电气材料/电线电缆	米	起帆BV10平方电线	1	18	19	C:1	电气材料	do_not_import_missing_specs	颜色	颜色缺失，BV电线通常需按颜色区分SKU	bv电线|品牌:起帆|型号:bv|截面积:10平方|电气材料/电线电缆|米
