标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
办公室门锁	用途：办公室门		五金备件/门锁锁具	个	办公室门锁	B	用途明确但锁体型号/开孔规格缺失，按低精度候选整理。
漏电断路器	品牌：施耐德；极数：4P；额定电流：250A；功能类型：漏电二合一		电气材料/低压电器	个	4P*250A施耐德漏电二合一	A	
热缩管	规格：30mm		电气材料/绝缘材料	米	3CM热缩管	A	
热缩管	规格：20mm		电气材料/绝缘材料	米	2CM热缩管	A	
热缩管	规格：15mm		电气材料/绝缘材料	米	1.5CM热缩管	A	
电工胶布	品牌：3M；颜色：透明		电气材料/绝缘材料	个	3M透明电胶布；透明电工胶布	A	将土名“电胶布”归一为电工胶布，颜色作为必填规格。
聚氨酯堵漏剂	包装规格：20kg	类型：堵漏剂	化工耗材/堵漏剂	桶	聚氨酯堵漏剂20KG	A	
灯管	功率：36W		电气材料/照明	套	36W灯管	C	仅有功率，LED/荧光灯类型和长度缺失，不能唯一确定灯管规格。
USB插座	品牌：公牛；USB输出电流：2.1A		电气材料/插座开关	个	2.1ASUB公牛插座；USB插座	B	原别名疑似将 USB 误写为 SUB，按输入名称归一为 USB插座。
明装线盒	安装方式：明装		电气材料/电气辅材	个	明装线盒	B	规格尺寸缺失，按明装线盒低精度候选整理；提示称可与第14行同物料，试跑仅覆盖前10行未合并。
