标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
门锁	用途：办公室门		五金备件/门锁锁具	个	办公室门锁	B	按办公室门用途低精度建候选；锁体型号/开孔规格待确认
漏电断路器	品牌：施耐德；极数：4P；额定电流：250A；类型：漏电二合一		电气材料/低压电器	个	4P*250A施耐德漏电二合一	A	
热缩管	规格：30mm		电气材料/绝缘材料	米	3CM热缩管	A	原始规格为3CM，换算为30mm；未判定具体规格类型
热缩管	规格：20mm		电气材料/绝缘材料	米	2CM热缩管	A	原始规格为2CM，换算为20mm；未判定具体规格类型
热缩管	规格：15mm		电气材料/绝缘材料	米	1.5CM热缩管	A	原始规格为1.5CM，换算为15mm；未判定具体规格类型
电工胶布	品牌：3M；颜色：透明		电气材料/绝缘材料	个	3M透明电胶布；透明电工胶布	A	
聚氨酯堵漏剂	包装规格：20kg	类型：堵漏剂	化工耗材/堵漏剂	桶	聚氨酯堵漏剂20KG	A	
灯管	功率：36W		电气材料/照明	套	36W灯管	C	光源类型、长度缺失，36W不足以区分灯管SKU
USB插座	品牌：公牛；USB电流：2.1A		电气材料/插座开关	个	2.1ASUB公牛插座	B	别名中SUB疑似USB，按名称和规格归一为USB插座
明装线盒	安装方式：明装		电气材料/电气辅材	个	明装线盒	B	按明装线盒低精度建候选；规格尺寸缺失，输入提示可与第14行合并
