标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
钢丝绳绳夹	适配钢丝绳直径：6mm	材质：待补；表面处理：待补	吊装索具/钢丝绳配件/钢丝绳绳夹	个	钢丝绳卡扣；6MM钢丝绳扣子；绳卡	B	依据 manual_governance_batch_002.tsv ISSUE-00104；适配钢丝绳直径决定SKU，6mm不能与10厘合并；材质和表面处理缺失，后续采购验收需补齐。
钢丝绳绳夹	适配钢丝绳直径：10mm	材质：待补；表面处理：待补	吊装索具/钢丝绳配件/钢丝绳绳夹	个	钢丝绳卡扣；10厘卡扣；绳卡	B	依据 manual_governance_batch_002.tsv ISSUE-00104；10厘按适配钢丝绳直径10mm归一，需与6mm拆为不同SKU；材质和表面处理缺失。
膨胀螺栓	螺纹规格：M12；长度：80mm	材质：待补；表面处理：待补；强度等级：待补	紧固件/锚固件/膨胀锚栓	个	膨胀螺丝；M12*80膨胀螺丝；膨胀锚栓；爆炸螺丝	B	依据 manual_governance_batch_001.tsv ISSUE-00005/ISSUE-00006；M12*80为完整规格，可按螺纹规格和长度拆SKU；材质、表面处理和强度等级缺失。
膨胀螺栓	螺纹规格：M14；长度：120mm	材质：待补；表面处理：待补；强度等级：待补	紧固件/锚固件/膨胀锚栓	个	膨胀螺丝；14*120膨胀螺丝；膨胀锚栓；爆炸螺丝	B	依据 manual_governance_batch_001.tsv ISSUE-00005/ISSUE-00006；14*120归一为M14*120，规格完整时可独立成SKU；材质、表面处理和强度等级缺失。
交通路锥	高度：1000mm	材质：待补；重量：待补；反光膜等级：待补	安全文明施工/交通警示/路锥	个	路锥；路锥1米；1米路锥将军帽	B	依据 manual_governance_batch_002.tsv ISSUE-00111；高度决定路锥SKU，1米归一为1000mm；材质、重量和反光膜等级缺失。
交通路锥	高度：900mm	材质：待补；重量：待补；反光膜等级：待补	安全文明施工/交通警示/路锥	个	路锥；90cm路锥	B	依据 manual_governance_batch_002.tsv ISSUE-00111；90cm归一为900mm，高度与1000mm不同需拆SKU；材质、重量和反光膜等级缺失。
砂纸	粒度：P80	纸张尺寸：待补；背基材质：待补；耐水性：待补	工具治具/打磨耗材/砂纸	张	80砂纸；80#砂纸	B	依据 manual_governance_batch_002.tsv ISSUE-00133/ISSUE-00135；粒度决定砂纸SKU，80和80#归一为P80；尺寸和背基材质缺失。
砂纸	粒度：P600	纸张尺寸：待补；背基材质：待补；耐水性：待补	工具治具/打磨耗材/砂纸	张	600砂纸	B	依据 manual_governance_batch_002.tsv ISSUE-00133；粒度决定砂纸SKU，600归一为P600，不能与P80合并；尺寸和背基材质缺失。
毛刷	宽度：3寸	刷毛材质：待补；柄型：待补	工具治具/涂装工具/刷类	支	毛刷；3寸毛刷；3寸 毛刷	A	依据 manual_governance_batch_002.tsv ISSUE-00167/ISSUE-00168/ISSUE-00169；3寸规格明确，个/支只是单位同义，统一单位支；可按宽度拆SKU。
羊毛刷	宽度：4寸	柄型：待补；等级：待补	工具治具/涂装工具/刷类	支	羊毛刷；4寸羊毛刷；4寸 羊毛刷；羊毛刷4寸	A	依据 manual_governance_batch_002.tsv ISSUE-00175/ISSUE-00176/ISSUE-00177；标准名已包含羊毛材质，4寸宽度明确，个/支/只/把统一为支；同规格别名可合并。
