编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02101	不锈钢内六角螺丝套件	材质: 不锈钢；头型: 内六角；规格: M5*30；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢内六角螺丝M5*30带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02102	不锈钢内六角螺丝套件	材质: 不锈钢；头型: 内六角；规格: M5*10；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢内六角螺丝M5*10带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02103	不锈钢内六角螺丝套件	材质: 不锈钢；头型: 内六角；规格: M5*16；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢内六角螺丝M5*16带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02104	不锈钢螺母	材质: 不锈钢；规格: M5	紧固件/螺母	只	不锈钢M5螺母	不锈钢牌号/牙距缺失
REVIEW-MAT-02105	不锈钢螺丝套件	材质: 不锈钢；规格: M6*20；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢M6*20螺丝带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02106	脱漆剂	类型: 脱漆剂	化工耗材/脱漆剂	瓶	脱漆剂	品牌/容量/SDS缺失
REVIEW-MAT-02107	加厚油布	特征: 加厚；尺寸: 6m*6m	覆盖材料/油布	块	加厚油布6m*6m	材质/克重/防水等级缺失
REVIEW-MAT-02108	高强度全螺纹丝杆	强度等级: 10.9；规格: M12*1m；原始: 全芽	紧固件/螺杆	根	10.9级M12*1m全芽丝杆	`全芽`疑似全牙，材质/表面处理缺失
REVIEW-MAT-02109	五点式安全带	类型: 五点式	安全防护/安全带	副	五点式安全带	执行标准/承载等级缺失
REVIEW-MAT-02110	螺丝套件	强度等级: 8.8；规格: M20*200；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M20*200螺丝带平 弹垫	材质/螺母是否包含缺失
REVIEW-MAT-02111	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 6分；长度: 100mm	管件/镀锌管件	只	镀锌外丝直接6分*100mm	材质/压力等级缺失
REVIEW-MAT-02112	不锈钢双外丝变径接头	材质: 304不锈钢；连接: 双外丝；规格: 2寸/1.5寸	管件/不锈钢管件	只	304不锈钢双外丝变径2寸/1.5寸	压力等级缺失
REVIEW-MAT-02113	不锈钢双外丝变径接头	材质: 304不锈钢；连接: 双外丝；规格: 1.5寸/1.2寸	管件/不锈钢管件	只	304不锈钢双外丝变径1.5寸/1.2寸	压力等级缺失
REVIEW-MAT-02114	泥浆管接头加工件	加工: 是；连接: 焊接；管径: Φ168；用途: 泥浆管	定制件/管路接头	个	加工焊接泥浆管接头Φ168	状态：可建档-定制件；材质/壁厚/图纸缺失
REVIEW-MAT-02115	轴向压力表	类型: 轴向；仪表: 压力表	仪表/压力仪表	只	轴向压力表	量程/接口/表径缺失
REVIEW-MAT-02116	PVC钢丝软管	材质: PVC；结构: 钢丝增强；规格: 1寸	管材/塑料软管	米	PVC钢丝软管1寸	压力等级/壁厚缺失
REVIEW-MAT-02117	卡箍	规格: 50；类型: 卡箍	管夹/卡箍	只	卡箍50	材质/适配管径缺失
